_time, dvc_name, id, message
2018-07-29T18:12:01.343365+0200,SWITCH,%SYSMGR-2-HASWITCHOVER_PRE_START,"This supervisor is becoming active (pre-start phase)."
2018-07-29T18:12:05.557346+0200,SWITCH,%SYSMGR-2-HASWITCHOVER_START,"Supervisor 7 is becoming active."
2018-07-29T18:13:22.765197+0200,SWITCH,%SYSMGR-2-SWITCHOVER_OVER, Switchover completed.
2018-07-29T18:13:26.790434+0200,SWITCH,%PORT-5-IF_UP, Interface mgmt0 on slot 7 is up
2018-07-29T18:13:32.503189+0200,SWITCH,%CALLHOME-2-EVENT, SUP_FAILURE
2018-07-29T18:13:45.123618+0200,SWITCH,%TACACS-3-TACACS_ERROR_MESSAGE, All servers failed to respond
2018-07-29T18:13:58.974692+0200,SWITCH,%ETHPORT-5-IF_UP, Interface Ethernet111/1/14 is up in mode access
2018-07-29T18:16:03.968069+0200,SWITCH,%ETHPORT-5-IF_DOWN_CFG_CHANGE, Interface Ethernet111/1/14 is down(Config change)
2018-07-29T18:17:08.362246+0200,SWITCH,%ETHPORT-5-IF_UP, Interface Ethernet111/1/14 is up in mode access
2018-07-29T18:17:08.174114+0200,SWITCH,%ASCII-CFG-2-ACFG_CONFIGURATION_APPLY_ERROR, Error encountered while Ascii configuration was being applied.
2018-07-29T18:17:08.113676+0200,SWITCH,%IPS-5-PORT_IPCFG_FAILED, Cannot configure ip address for interface Ethernet122/1/17.
2018-07-29T18:17:10.234543+0200,SWITCH,%IPS-5-PORT_IPCFG_FAILED, Cannot configure ip address for interface Ethernet122/1/18.
2018-07-29T18:18:00.642641+0200,SWITCH,%IPS-5-PORT_IPCFG_FAILED, Cannot configure ip address for interface Ethernet122/1/23.
