_time, dest_ip, message
2018-05-18T20:20:08.970167+0200, 172.16.0.166, login attempt [supervisor/supervisor] failed
2018-05-18T20:20:08.972486+0200, 172.16.0.166, Warning: state changed and new state returned
2018-05-18T20:20:09.358109+0200, 172.16.0.166, login attempt [888888/888888] failed
2018-05-18T20:20:09.360366+0200, 172.16.0.166, Warning: state changed and new state returned
2018-05-18T20:20:09.746176+0200, 172.16.0.166, login attempt [root/1001chin] succeeded
2018-05-18T20:20:09.748442+0200, 172.16.0.166, Initialized emulated server as architecture: linux-x64-lsb
2018-05-18T20:20:10.128684+0200, 172.16.0.166, Opening TTY Log: log/tty/20180518-202010-None-0i.log
2018-05-18T20:20:10.169172+0200, 172.16.0.166, Warning: state changed and new state returned
2018-05-18T20:20:10.285395+0200, 172.16.0.166, CMD: enable
2018-05-18T20:20:10.287766+0200, 172.16.0.166, Command found: enable
2018-05-18T20:20:10.288075+0200, 172.16.0.166, Reading txtcmd from "txtcmds/bin/enable"
2018-05-18T20:20:10.288945+0200, 172.16.0.166, CMD: system
2018-05-18T20:20:10.291129+0200, 172.16.0.166, Command not found: system
2018-05-18T20:20:10.293199+0200, 172.16.0.166, CMD: shell
2018-05-18T20:20:10.295354+0200, 172.16.0.166, Command not found: shell
2018-05-18T20:20:10.297232+0200, 172.16.0.166, CMD: sh
2018-05-18T20:20:10.299414+0200, 172.16.0.166, Command found: sh
2018-05-18T20:20:10.418199+0200, 172.16.0.166, CMD: cat /proc/mounts; /bin/busybox SQFXW
2018-05-18T20:20:10.422874+0200, 172.16.0.166, Command found: cat /proc/mounts
2018-05-18T20:20:10.423803+0200, 172.16.0.166, Command found: /bin/busybox SQFXW
2018-05-18T20:20:10.545487+0200, 172.16.0.166, CMD: cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox SQFXW
2018-05-18T20:20:10.548282+0200, 172.16.0.166, Command found: cd /dev/shm
2018-05-18T20:20:10.549654+0200, 172.16.0.166, Command found: cat .s
2018-05-18T20:20:10.551701+0200, 172.16.0.166, Command found: cp /bin/echo .s
2018-05-18T20:20:10.552746+0200, 172.16.0.166, Command found: /bin/busybox SQFXW
2018-05-18T20:20:10.671510+0200, 172.16.0.166, CMD: tftp; wget; /bin/busybox SQFXW
2018-05-18T20:20:10.673666+0200, 172.16.0.166, Command found: tftp
2018-05-18T20:20:10.677288+0200, 172.16.0.166, "'Missing!!'"
2018-05-18T20:20:10.678223+0200, 172.16.0.166, Command found: wget
2018-05-18T20:20:10.679022+0200, 172.16.0.166, Command found: /bin/busybox SQFXW
2018-05-18T20:20:10.801256+0200, 172.16.0.166, CMD: dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
2018-05-18T20:20:10.805068+0200, 172.16.0.166, Command found: dd bs=52 count=1 if=.s
2018-05-18T20:20:10.806961+0200, 172.16.0.166, Command found: cat /dev/shm/.s
2018-05-18T20:20:10.808871+0200, 172.16.0.166, Command not found: while read i
2018-05-18T20:20:10.811462+0200, 172.16.0.166, Command not found: do echo
2018-05-18T20:20:10.814084+0200, 172.16.0.166, Command not found: done < .s
2018-05-18T20:20:10.932922+0200, 172.16.0.166, CMD: /bin/busybox SQFXW
2018-05-18T20:20:10.935056+0200, 172.16.0.166, Command found: /bin/busybox SQFXW
2018-05-18T20:20:10.937060+0200, 172.16.0.166, CMD: rm .s; exit
2018-05-18T20:20:10.939762+0200, 172.16.0.166, Command found: rm /dev/shm/.s
2018-05-18T20:20:10.940317+0200, 172.16.0.166, Command found: exit
2018-05-18T20:20:10.940693+0200, 172.16.0.166, Process ended. Telnet Session disconnected
2018-05-18T20:20:10.941128+0200, 172.16.0.166, QUEUED INPUT: q
2018-05-18T20:20:10.941652+0200, 172.16.0.166, Closing TTY Log: log/tty/20180518-202010-None-0i.log after 0 seconds
2018-05-18T20:20:10.943910+0200, 172.16.0.166, Connection lost after 2 seconds
2018-05-18T21:02:56.713489+0200, 172.16.2.125, login attempt [admin1/password] failed
2018-05-18T21:02:56.715786+0200, 172.16.2.125, Warning: state changed and new state returned
2018-05-18T21:02:57.317874+0200, 172.16.2.125, login attempt [root/default] succeeded
2018-05-18T21:02:57.320134+0200, 172.16.2.125, Initialized emulated server as architecture: linux-x64-lsb
2018-05-18T21:02:57.652126+0200, 172.16.2.125, Opening TTY Log: log/tty/20180518-210257-None-1i.log
2018-05-18T21:02:57.654291+0200, 172.16.2.125, Warning: state changed and new state returned
2018-05-18T21:02:57.853975+0200, 172.16.2.125, CMD: enable
2018-05-18T21:02:57.856781+0200, 172.16.2.125, Command found: enable
2018-05-18T21:02:57.857125+0200, 172.16.2.125, Reading txtcmd from "txtcmds/bin/enable"
2018-05-18T21:02:57.858117+0200, 172.16.2.125, CMD: system
2018-05-18T21:02:57.860678+0200, 172.16.2.125, Command not found: system
2018-05-18T21:02:57.863102+0200, 172.16.2.125, CMD: shell
2018-05-18T21:02:57.865635+0200, 172.16.2.125, Command not found: shell
2018-05-18T21:02:57.867791+0200, 172.16.2.125, CMD: sh
2018-05-18T21:02:57.870224+0200, 172.16.2.125, Command found: sh
2018-05-18T21:02:58.085174+0200, 172.16.2.125, CMD: cat /proc/mounts; /bin/busybox ORFDW
2018-05-18T21:02:58.088143+0200, 172.16.2.125, Command found: cat /proc/mounts
2018-05-18T21:02:58.089087+0200, 172.16.2.125, Command found: /bin/busybox ORFDW
2018-05-18T21:02:58.322995+0200, 172.16.2.125, CMD: cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox ORFDW
2018-05-18T21:02:58.325464+0200, 172.16.2.125, Command found: cd /dev/shm
2018-05-18T21:02:58.326700+0200, 172.16.2.125, Command found: cat .s
2018-05-18T21:02:58.328310+0200, 172.16.2.125, Command found: cp /bin/echo .s
2018-05-18T21:02:58.329348+0200, 172.16.2.125, Command found: /bin/busybox ORFDW
2018-05-18T21:02:58.653164+0200, 172.16.2.125, CMD: tftp; wget; /bin/busybox ORFDW
2018-05-18T21:02:58.655347+0200, 172.16.2.125, Command found: tftp
2018-05-18T21:02:58.657510+0200, 172.16.2.125, "'Missing!!'"
2018-05-18T21:02:58.658407+0200, 172.16.2.125, Command found: wget
2018-05-18T21:02:58.659164+0200, 172.16.2.125, Command found: /bin/busybox ORFDW
2018-05-18T21:02:58.855931+0200, 172.16.2.125, CMD: dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
2018-05-18T21:02:58.858827+0200, 172.16.2.125, Command found: dd bs=52 count=1 if=.s
2018-05-18T21:02:58.860707+0200, 172.16.2.125, Command found: cat /dev/shm/.s
2018-05-18T21:02:58.862355+0200, 172.16.2.125, Command not found: while read i
2018-05-18T21:02:58.864870+0200, 172.16.2.125, Command not found: do echo
2018-05-18T21:02:58.867595+0200, 172.16.2.125, Command not found: done < .s
2018-05-18T21:02:59.065278+0200, 172.16.2.125, CMD: /bin/busybox ORFDW
2018-05-18T21:02:59.067437+0200, 172.16.2.125, Command found: /bin/busybox ORFDW
2018-05-18T21:02:59.069442+0200, 172.16.2.125, CMD: rm .s; exit
2018-05-18T21:02:59.072178+0200, 172.16.2.125, Command found: rm /dev/shm/.s
2018-05-18T21:02:59.072746+0200, 172.16.2.125, Command found: exit
2018-05-18T21:02:59.073143+0200, 172.16.2.125, Process ended. Telnet Session disconnected
2018-05-18T21:02:59.073579+0200, 172.16.2.125, QUEUED INPUT: q
2018-05-18T21:02:59.074080+0200, 172.16.2.125, Closing TTY Log: log/tty/20180518-210257-None-1i.log after 1 seconds
2018-05-18T21:02:59.076323+0200, 172.16.2.125, Connection lost after 3 seconds
2018-05-18T21:20:38.781490+0200, 172.16.1.221, login attempt [root/1001chin] succeeded
2018-05-18T21:20:38.783730+0200, 172.16.1.221, Initialized emulated server as architecture: linux-x64-lsb
2018-05-18T21:20:39.143910+0200, 172.16.1.221, Opening TTY Log: log/tty/20180518-212039-None-3i.log
2018-05-18T21:20:39.146024+0200, 172.16.1.221, Warning: state changed and new state returned
2018-05-18T21:20:39.146394+0200, 172.16.1.221, login attempt [root/123456] failed
2018-05-18T21:20:39.147365+0200, 172.16.1.221, Warning: state changed and new state returned
2018-05-18T21:20:39.350798+0200, 172.16.1.221, CMD: enable
2018-05-18T21:20:39.354758+0200, 172.16.1.221, Command found: enable
2018-05-18T21:20:39.355110+0200, 172.16.1.221, Reading txtcmd from "txtcmds/bin/enable"
2018-05-18T21:20:39.356122+0200, 172.16.1.221, CMD: system
2018-05-18T21:20:39.358725+0200, 172.16.1.221, Command not found: system
2018-05-18T21:20:39.361163+0200, 172.16.1.221, CMD: shell
2018-05-18T21:20:39.363676+0200, 172.16.1.221, Command not found: shell
2018-05-18T21:20:39.365776+0200, 172.16.1.221, CMD: sh
2018-05-18T21:20:39.368241+0200, 172.16.1.221, Command found: sh
2018-05-18T21:20:39.586974+0200, 172.16.1.221, CMD: cat /proc/mounts; /bin/busybox EYGEL
2018-05-18T21:20:39.589925+0200, 172.16.1.221, Command found: cat /proc/mounts
2018-05-18T21:20:39.590903+0200, 172.16.1.221, Command found: /bin/busybox EYGEL
2018-05-18T21:20:39.807135+0200, 172.16.1.221, CMD: cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox EYGEL
2018-05-18T21:20:39.809618+0200, 172.16.1.221, Command found: cd /dev/shm
2018-05-18T21:20:39.810872+0200, 172.16.1.221, Command found: cat .s
2018-05-18T21:20:39.812523+0200, 172.16.1.221, Command found: cp /bin/echo .s
2018-05-18T21:20:39.813581+0200, 172.16.1.221, Command found: /bin/busybox EYGEL
2018-05-18T21:20:39.820001+0200, 172.16.1.221, login attempt [root/aquario] succeeded
2018-05-18T21:20:39.822070+0200, 172.16.1.221, Initialized emulated server as architecture: linux-x64-lsb
2018-05-18T21:20:40.196632+0200, 172.16.1.221, Opening TTY Log: log/tty/20180518-212040-None-2i.log
2018-05-18T21:20:40.198743+0200, 172.16.1.221, Warning: state changed and new state returned
2018-05-18T21:20:40.199850+0200, 172.16.1.221, CMD: tftp; wget; /bin/busybox EYGEL
2018-05-18T21:20:40.200759+0200, 172.16.1.221, Command found: tftp
2018-05-18T21:20:40.201725+0200, 172.16.1.221, "'Missing!!'"
2018-05-18T21:20:40.202186+0200, 172.16.1.221, Command found: wget
2018-05-18T21:20:40.202525+0200, 172.16.1.221, Command found: /bin/busybox EYGEL
2018-05-18T21:20:40.467441+0200, 172.16.1.221, CMD: dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
2018-05-18T21:20:40.470539+0200, 172.16.1.221, Command found: dd bs=52 count=1 if=.s
2018-05-18T21:20:40.472436+0200, 172.16.1.221, Command found: cat /dev/shm/.s
2018-05-18T21:20:40.474085+0200, 172.16.1.221, Command not found: while read i
2018-05-18T21:20:40.476599+0200, 172.16.1.221, Command not found: do echo
2018-05-18T21:20:40.479115+0200, 172.16.1.221, Command not found: done < .s
2018-05-18T21:20:40.502203+0200, 172.16.1.221, CMD: enable
2018-05-18T21:20:40.504974+0200, 172.16.1.221, Command found: enable
2018-05-18T21:20:40.505309+0200, 172.16.1.221, Reading txtcmd from "txtcmds/bin/enable"
2018-05-18T21:20:40.506291+0200, 172.16.1.221, CMD: system
2018-05-18T21:20:40.508849+0200, 172.16.1.221, Command not found: system
2018-05-18T21:20:40.511273+0200, 172.16.1.221, CMD: shell
