_time, src_ip, event_description
2018-06-24T10:38:01.937412+0200, 172.18.29.15, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.30.40, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.18.29.109, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.110, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.192, "Command Executed"
2018-06-24T10:38:01.937412+0200, 172.18.30.98, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.29.243, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.110, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.18.30.196, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.246, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.232, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.30.133, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.246, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.50, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.29.178, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.243, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.52, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.30.244, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.30.35, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.29.105, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.179, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.54, "file infected. No cleaner available, file deleted successfully"
2018-06-24T10:38:01.937412+0200, 172.18.29.56, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.29.181, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.113, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.18.29.243, "Command Executed"
2018-06-24T10:38:01.937412+0200, 172.18.30.187, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.18.30.235, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.57, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.239, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.153, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.29.19, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.5, "file infected. No cleaner available, file deleted successfully"
2018-06-24T10:38:01.937412+0200, 172.18.29.17, "file infected. No cleaner available, file deleted successfully"
2018-06-24T10:38:01.937412+0200, 172.18.30.239, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.11, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.40, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.29.209, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.65, "Command Executed"
2018-06-24T10:38:01.937412+0200, 172.18.30.182, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.18.30.212, "Command Executed"
2018-06-24T10:38:01.937412+0200, 172.18.30.187, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.170, "file infected. No cleaner available, file deleted successfully"
2018-06-24T10:38:01.937412+0200, 172.18.29.252, "The firewall blocked a port"
2018-06-24T10:38:01.937412+0200, 172.18.30.35, "Scan was cancelled."
