"varonis_eventtype","action"
"<Event Type>","allowed"
"All event types",""
"File opened","read"
"File created","created"
"File renamed","updated"
"File deleted","deleted"
"Folder deleted","deleted"
"Share removed (hist. of differences only)","cleared"
"Folder renamed","updated"
"Folder created","created"
"Share added (hist. of differences only)","created"
"File permissions changed","acl_modified"
"Permissions added (Windows, Dell FluidFS only)","acl_modified"
"Permissions removed (Windows, Dell FluidFS only)","acl_modified"
"Protection added (Windows, Dell FluidFS only)","acl_modified"
"Protection removed (Windows, Dell FluidFS only)","acl_modified"
"Owner changed (Windows, Dell FluidFS only)","acl_modified"
"Folder permissions changed","acl_modified"
"SharePoint permission level changed","acl_modified"
"Exchange folder opened","read"
"Exchange folder created","created"
"Exchange folder deleted","deleted"
"Exchange folder renamed","updated"
"Exchange folder permissions added","acl_modified"
"Exchange folder permissions removed","acl_modified"
"Exchange folder permissions changed","acl_modified"
"Exchange folder moved","modified"
"Exchange folder copied","modified"
"Exchange folder emptied","modified"
"Mark all as read","read"
"Message opened","read"
"Message sent",""
"Message sent on behalf",""
"Message sent as",""
"Message received",""
"Message edited","modified"
"Message deleted","deleted"
"Message moved","modified"
"Message marked as unread",""
"Message marked as read","read"
"Message flags changed","modified"
"Message copied","modified"
"Message created","created"
"Message downloaded",""
"Attachment opened","read"
"Attachment deleted","deleted"
"Attachment added","created"
"Attachment modified","modified"
"Mailbox delegate added","created"
"Mailbox delegate removed","cleared"
"Mailbox logon",""
"Mailbox permission added","acl_modified"
"Mailbox permission removed","acl_modified"
"Public folder administrative permission added","acl_modified"
"Public folder administrative permission removed","acl_modified"
"Mailbox forward delivery option added","created"
"Mailbox forward delivery option removed","cleared"
"User added (hist. of differences only)","acl_modified"
"Group added (hist. of differences only)","acl_modified"
"User renamed (hist. of differences only)","acl_modified"
"Group renamed (hist. of differences only)","acl_modified"
"Membership added (hist. of differences only)","acl_modified"
"Membership removed (hist. of differences only)","acl_modified"
"User removed (hist. of differences only)","acl_modified"
"Group removed (hist. of differences only)","acl_modified"
"Owner changed (hist. of differences only)","acl_modified"
"Permissions added (hist. of differences only)","acl_modified"
"Permissions removed (hist. of differences only)","acl_modified"
"Classification results (hist. of differences only)",""
"Share permissions added (hist. of differences only)","acl_modified"
"Share permissions removed (hist. of differences only)","acl_modified"
"DS object created","created"
"DS object deleted","deleted"
"DS object renamed","updated"
"DS object moved","modified"
"DS object modified","modified"
"DS object set security",""
"DS object membership added","created"
"DS object membership removed","cleared"
"User password reset","modified"
"User locked out","stopped"
"User unlocked","cleared"
"Account enabled","allowed"
"Account disabled","blocked"
"DS object permission added",""
"DS object permission removed","cleared"
"Owner changed","acl_modified"
"GPO link created","created"
"GPO link deleted","deleted"
"GPO link modified","modified"
"GPO settings modified","modified"
"Account authentication",""
"Access request",""
"Folder permissions added","acl_modified"
"File permissions added","acl_modified"
"Folder permissions removed","acl_modified"
"File permissions removed","acl_modified"
"Folder protection added","acl_modified"
"File protection added","acl_modified"
"Folder protection removed","acl_modified"
"File protection removed","acl_modified"
"Folder owner changed","acl_modified"
"File owner changed","acl_modified"
"DatAdvantage opened","read"
"DatAdvantage closed",""
"Permissions viewed","read"
"Statistics viewed","read"
"Log viewed","read"
"Advanced log viewed","read"
"Alerts viewed","read"
"Expand performed","allowed"
"Print performed","allowed"
"Export performed","allowed"
"Object properties window opened","read"
"Object opened","read"
"Flag attached","created"
"Flag detached","deleted"
"Permissions edited","acl_modified"
"Commit performed","allowed"
"Rollback performed","allowed"
"Ownership assigned","acl_modified"
"Ownership revoked","acl_modified"
"Object monitored",""
"Object unmonitored",""
"System synchronized",""
"Discard admin changes performed (deprecated)",""
"Latest events synchronized",""
"Report viewed","read"
"Report scheduling added",""
"Note attached","created"
"Note detached","cleared"
"Tag attached","created"
"Tag detached","cleared"
"Commit history viewed (deprecated)",""
"Classification file analysis viewed","read"
"Classification summary viewed","read"
"Entity included for IDU Analytics",""
"Ownership viewed","read"
"Commit with Auto Rollback performed (deprecated)",""
"Flag added","created"
"Flag edited","updated"
"Flag removed","cleared"
"Tag added","created"
"Tag edited","updated"
"Note edited","updated"
"Report template added",""
"Report template edited","created"
"Report template removed","cleared"
"Report scheduling edited","updated"
"Report scheduling removed","cleared"
"Entity excluded from IDU Analytics",""
"Group created in DatAdvantage","created"
"Group deleted in DatAdvantage","deleted"
"Group members edited","updated"
"Data Transport Engine rules created","created"
"Data Transport Engine rules edited","updated"
"Data Transport Engine rules deleted","deleted"
"Data Transport Engine rules paused","deferred"
"Data Transport Engine rules resumed",""
"Data Transport Engine rules started",""
"Data Transport Engine rules stopped",""
"Data Transport Engine rules enabled",""
"Data Transport Engine rules disabled",""
"Data Transport Engine rules viewed","read"
"Account created","created"
"Account deleted","deleted"
"Account edited","updated"
"Account moved","modified"
"Account unlocked","modified"
"Account disabled","modified"
"Account enabled","modified"
"Account password reset","modified"
"Datalert all rules viewed","read"
"Datalert rule viewed","read"
"Datalert rule created","created"
"Datalert rule edited","updated"
"Datalert rule deleted","deleted"
"Datalert rule disabled","modified"
"Datalert rule enabled","modified"
"Datalert template created","created"
"Datalert template edited","updated"
"Datalert template deleted","deleted"
"Predefined directory scope created","created"
"Predefined directory scope edited","updated"
"Predefined directory scope deleted","deleted"
"Datalert rule cloned","modified"
"DatAlert Global Exclusion Scope created","created"
"DatAlert Global Exclusion Scope deleted","deleted"
"DatAlert Global Exclusion Scope edited","updated"
"Change mgmt. and commit screen viewed","read"
"Commit performed",""
"Change discarded",""
"Terminate performed",""
"Terminate and rollback performed",""
"Rollback performed",""
"Commit scheduled",""
"Scheduled process modified","modified"
"Scheduled process cancelled",""
"Commit credentials reset",""
"Process Data Exported",""
"Pending Changes Data Exported",""
"Privileged account type added",""
"Privileged account type removed","cleared"
"Restore automation",""
"Privileged account deleted","deleted"
"Privileged account changed",""
"Alert status changed",""
