ThreatModelName,CIM_models,DLP_Incident.action,DLP_Incident.category,DLP_Incident.object,DLP_Incident.Object_category,All_Changes.Change_Type,All_Changes.Object_category,,src_user_category,user_priority,,,
Abnormal access behavior: possible credential stuffing attack from a single source,Alerts,,,,,,,,,,,,
Abnormal access behavior: possible distributed credential stuffing attack,Alerts,,,,,,,,,,,,
Abnormal admin behavior: access to atypical mailboxes,Alerts,,e-mail,,e-mails,,,,Admin,High,,,
Abnormal admin behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,Admin,High,,,
Abnormal admin behavior: accumulative increase in lockouts across admin accounts,Alerts,,,,,,,,Admin,High,,,
Abnormal admin behavior: accumulative increase in lockouts for individual admin accounts,Alerts,,,,,,,,Admin,High,,,
Abnormal admin behavior: atypical access to platform from geolocation,Alerts,,,,,,,,Admin,High,,,
Abnormal admin behavior: unusual amount of devices accessed,Alerts,,,,,,,,Admin,High,,,
Abnormal admin behavior: unusual amount of lockouts across admin accounts,Alerts,,,,,,,,Admin,High,,,
Abnormal behavior: access to an unusual amount of idle data,DLP_Incidents,,Idle,,Files,,,,,,,,
Abnormal behavior: access to an unusual amount of idle sensitive data,DLP_Incidents,,Sensitive,,Files,,,,,,,,
Abnormal behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in amount of idle and sensitive data accessed,DLP_Incidents,,Sensitive,,Files,,,,,,,,
Abnormal behavior: accumulative increase in amount of idle data accessed,DLP_Incidents,,Idle,,Files,,,,,,,,
Abnormal behavior: accumulative increase in amount of public devices accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in lockouts across end-user accounts,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in lockouts for individual end-user accounts,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in the amount of logons to devices,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in the number of logons to personal devices,Alerts,,,,,,,,,,,,
Abnormal behavior: activity from blacklisted geolocation,Alerts,,,,,,,,,,,,
Abnormal behavior: activity from new geolocation to the organization,Alerts,,,,,,,,,,,,
Abnormal behavior: unreasonable geo-hopping,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of configuration and backup files accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of emails sent to a single recipient,DLP_Incidents,,e-mail,,e-mails,,,,,,,,
Abnormal behavior: unusual amount of files with denied access,DLP_Incidents,,Access denied,,Files,,,,,,,,
Abnormal behavior: unusual amount of lockout across end-user accounts,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of logons to devices,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of logons to personal devices,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of public devices accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of script files accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of system files accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual number of failed DNS Queries,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual number of files deleted,DLP_Incidents,,Delete,,Files,,,,,,,,
Abnormal behavior: unusual number of messages marked as unread by a user other than the mailbox owner,DLP_Incidents ,,e-mail,,e-mails,,,,,,,,
Abnormal behavior: unusual number of sensitive files deleted,DLP_Incidents,,Sensitive,,Files,,,,,,,,
Abnormal behavior: unusual number of users attempted to connect from a single external IP,Alerts,,,,,,,,,,,,
Abnormal computer behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal computer behavior: computer account attempted to access a personal device for the first time,Alerts,,,,,,,,,,,,
