lat,long,name,region
"38.13","-78.45",Virginia,"us-east-1"
"39.96","-83",Ohio,"us-east-2"
"37.35","-121.96",California,"us-west-1"
"46.15","-123.88",Oregon,"us-west-2"
53,"-8",Ireland,"eu-west-1"
51,"-0.1",London,"eu-west-2"
"48.86","2.35",Paris,"eu-west-3"
50,8,Frankfurt,"eu-central-1"
"-23.34","-46.38","Sao Paulo","sa-east-1"
"1.37","103.8",Singapore,"ap-southeast-1"
"-33.86","151.2",Sydney,"ap-southeast-2"
"35.41","139.42",Tokyo,"ap-northeast-1"
"37.56","126.98",Seoul,"ap-northeast-2"
"19.08","72.88",Mumbai,"ap-south-1"
"45.5","-73.6","Canada Central","ca-central-1"
"0.0","0.0",Global,global
