_time,action,dest_ip,dest_port,dvc_name,src_ip,src_port
1532421482,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8485
1532421782,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8486
1532422082,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8487
1532422382,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8488
1532422682,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8489
1532422982,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8490
1532423282,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8491
1532423582,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.81,8492
1532423882,allowed,172.18.23.9,502,%FWSM-3-710003,172.16.100.82,8493
1532424182,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8494
1532424482,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8495
1532424782,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8496
1532425082,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8497
1532425382,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8498
1532425682,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8499
1532425982,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8500
1532426282,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8501
1532426582,blocked,172.18.23.19,502,%FWSM-3-710003,172.16.100.81,8502
1532426882,allowed,172.18.23.19,502,%FWSM-3-710003,172.16.100.82,8503
1532427182,blocked,10.10.123.12,80,%FWSM-4-6441,172.16.100.81,8485
1532427482,blocked,10.11.123.12,80,%FWSM-4-6441,172.16.100.81,8486
1532427782,blocked,10.12.123.12,80,%FWSM-4-6441,172.16.100.81,8487
1532428082,blocked,10.10.123.12,80,%FWSM-4-6441,172.16.100.81,8494
1532428382,blocked,10.11.123.12,80,%FWSM-4-6441,172.16.100.81,8495
1532428682,blocked,10.12.123.12,80,%FWSM-4-6441,172.16.100.81,8496
1532428982,allowed,172.18.23.23,80,%FWSM-4-6441,217.70.184.38,8503
