_time,host,application,publisher,version,install_date
1535032800,SCADA-REALTIME02.OPS.LOCAL,Internet Explorer,Microsoft,8.0,01/23/2018
1535032800,SCADA-REALTIME02.OPS.LOCAL,OASYS DNA 7.6 Realtime,Schneider Electric,7.6,02/10/2018
1535032800,SCADA-REALTIME02.OPS.LOCAL,OASYS DNA 7.6 Arbitration,Schneider Electric,7.6,02/10/2018
1535032800,SCADA-REALTIME02.OPS.LOCAL,Putty,Simon Tatham,0.70,08/22/2018
1535032800,SCADA-REALTIME01.OPS.LOCAL,Internet Explorer,Microsoft,8.0,01/23/2018
1535032800,SCADA-REALTIME01.OPS.LOCAL,OASYS DNA 7.6 Realtime,Schneider Electric,7.6,02/09/2018
1535032800,SCADA-REALTIME01.OPS.LOCAL,OASYS DNA 7.6 Arbitration,Schneider Electric,7.6,02/09/2018
1535032800,SCADA-HISTORICAL01.OPS.LOCAL,SQL Server,Microsoft,11.0.8001,01/30/2018
1535032800,SCADA-HISTORICAL01.OPS.LOCAL,OASYS DNA 7.6 Historical,Schneider Electric,7.6,02/03/2018
1535032800,SCADA-HISTORICAL01.OPS.LOCAL,OASYS DNA 7.6 Arbitration,Schneider Electric,7.6,02/03/2018
1535032800,SCADA-HISTORICAL02.OPS.LOCAL,Internet Explorer,Microsoft,8.0,01/28/2018
1535032800,SCADA-HISTORICAL02.OPS.LOCAL,OASYS DNA 7.6 Historical,Schneider Electric,7.6,02/02/2018
1535032800,SCADA-HISTORICAL02.OPS.LOCAL,OASYS DNA 7.6 Arbitration,Schneider Electric,7.6,02/02/2018
1535032800,CONTROLLER01.OPS.LOCAL,Internet Explorer,Microsoft,8.0,03/01/2018
1535032800,CONTROLLER01.OPS.LOCAL,OASYS DNA 7.6 XOS,Schneider Electric,7.6,03/23/2018
1535032800,CONTROLLER07.OPS.LOCAL,Internet Explorer,Microsoft,8.0,03/01/2018
1535032800,CONTROLLER07.OPS.LOCAL,OASYS DNA 7.6 XOS,Schneider Electric,7.6,03/24/2018
1535032800,CONTROLLER07.OPS.LOCAL,iTunes,Apple Inc,12.8.0.150,08/12/2018
1535032800,SUPPORT03.OPS.LOCAL,Internet Explorer,Microsoft,8.0,03/01/2018
1535032800,SUPPORT03.OPS.LOCAL,Chrome,Google Inc,67.0.1256.100,03/01/2018
1535032800,SUPPORT03.OPS.LOCAL,OASYS DNA 7.6 XOS,Schneider Electric,7.6,03/10/2018
1535032800,SUPPORT03.OPS.LOCAL,OASYS DNA 7.6 Support Tools,Schneider Electric,7.6,03/10/2018
