application,version,category
Internet Explorer,8.0,REALTIME
Internet Explorer,8.0,HISTORICAL
Internet Explorer,8.0,CONTROLLER-WORKSTATION
Internet Explorer,8.0,SUPPORT-WORKSTATION
OASYS DNA 7.6 Realtime,7.6,REALTIME
OASYS DNA 7.6 Arbitration,7.6,REALTIME
OASYS DNA 7.6 Arbitration,7.6,HISTORICAL
OASYS DNA 7.6 Historical,7.6,HISTORICAL
OASYS DNA 7.6 XOS,7.6,CONTROLLER-WORKSTATION
OASYS DNA 7.6 XOS,7.6,SUPPORT-WORKSTATION
OASYS DNA 7.6 Support Tools,7.6,SUPPORT-WORKSTATION
SQL Server,11.0.8001,HISTORICAL
