host,path,file,current_modtime,md5hash_source
SCADA-REALTIME01.OPS.LOCAL,C:\Windows\SCADA\OPCClient,opc.exe,5/12/2018 09:12:04,8e5ec6a03fffc6dde9ed8498345b09fc
SCADA-REALTIME01.OPS.LOCAL,C:\Windows\SCADA\OPCClient,opclasses.dll,3/04/2018 13:45:02,a78ae4e2542362a42e06f488499285b3
SCADA-REALTIME01.OPS.LOCAL,C:\Windows\SCADA\OPCClient,opc_dataquality.dll,3/04/2018 13:45:02,ed853780739ade484825f851a68c03b9
SCADA-REALTIME01.OPS.LOCAL,C:\Windows\SCADA\Realtime,realdb_api.dll,8/12/2018 15:13:09,c47ab62668a4d03bc7a32d774f89771e
SCADA-REALTIME02.OPS.LOCAL,C:\Windows\SCADA\OPCClient,opc.exe,3/10/2018 12:34:05,8990d6ba533939ee970bd029857ef609
SCADA-REALTIME02.OPS.LOCAL,C:\Windows\SCADA\OPCClient,opclasses.dll,3/04/2018 13:45:02,a78ae4e2542362a42e06f488499285b3
SCADA-REALTIME02.OPS.LOCAL,C:\Windows\SCADA\OPCClient,opc_dataquality.dll,3/04/2018 13:45:02,ed853780739ade484825f851a68c03b9
SCADA-REALTIME02.OPS.LOCAL,C:\Windows\SCADA\Realtime,realdb_api.dll,8/12/2018 15:13:09,c47ab62668a4d03bc7a32d774f89771e
SCADA-REALTIME02.OPS.LOCAL,C:\Windows\SCADA\Realtime,realdb_core.dll,7/12/2018 08:54:51,385be2243d2bbc9eaeede3b19dc5c64a
SCADA-REALTIME02.OPS.LOCAL,C:\Windows\SCADA\Realtime,realdb_api_old.dll,8/12/2018 15:05:11,c47ab62668a4d03bc7a32d774f89771e
