Type,Subtype,Id,AttrList,Parents,Origin,Destination
graph,digraph,G,,,,
cluster,,0,label="process #1";style=filled;color=lightgrey,,,
attr,node,,style=filled;color=white,0,,
edge,,,,0,a0,a1
edge,,,,0,a1,a2
edge,,,,0,a2,a3
cluster,,1,label="process #2";color=blue,,,
attr,node,,style=filled,0,,
edge,,,,1,b0,b1
edge,,,,1,b1,b2
edge,,,,1,b2,b3
edge,,,,,start,a0
edge,,,,,start,b0
edge,,,,,a1,b3
edge,,,,,b2,a3
edge,,,,,a3,a0
edge,,,,,a3,end
edge,,,,,b3,end
node,,start,shape=diamond,,,
node,,end,shape=Msquare,,,
