"_time",bytes,"dest_ip","dest_port",query,"src_ip","src_port","time_taken",user
"2018-11-09T17:57:48.472+0000",1966,"10.2.2.4",3306,"SELECT * FROM customers WHERE customer_uid=406c2d7f-6e5d-4a49-befe-4b3945dda114","230.18.56.237",56331,988,dcarter2j
"2018-11-09T17:57:48.433+0000",11477,"10.2.2.3",3306,"SELECT * FROM hr_employee_info","10.2.1.34",56201,47200,"Fred_Samuels"
"2018-11-09T17:57:48.433+0000",9191,"10.2.2.4",3306,"SELECT * FROM hr_employee_info","10.2.1.33",56534,46096,"Fred_Samuels"
"2018-11-09T17:57:48.242+0000",1562,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=fe0d37b9-8217-40d4-925c-ce8d42831ad9","180.251.182.185",56249,691,jrobertson1i
"2018-11-09T17:57:48.230+0000",2152,"10.2.2.4",3306,"SELECT * FROM customers WHERE customer_uid=ab8c51c6-69c0-404d-a358-8f2108efd2fe","99.254.232.15",56902,145,jricez
"2018-11-09T17:57:33.764+0000",2390,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=bf95a572-9314-446a-83cb-1631092c7fc2","117.117.228.235",56183,394,dgriffinhb
"2018-11-09T17:57:33.564+0000",598,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=89c758d9-abd0-4e74-9f56-62babf820ef8","135.160.201.22",56142,184,nmurphyjr
"2018-11-09T17:57:33.274+0000",3938,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=ba436793-84b0-49c3-a915-286d9c71e71e","128.178.253.225",56645,265,iwilsongp
"2018-11-09T17:57:28.734+0000",8887,"10.2.2.4",3306,"SELECT * FROM hr_employee_info","10.2.1.35",56453,53217,"Fred_Samuels"
"2018-11-09T17:57:28.573+0000",10937,"10.2.2.4",3306,"SELECT * FROM hr_employee_info","10.2.1.34",56647,44098,"Fred_Samuels"
"2018-11-09T17:57:18.591+0000",2088,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=89c758d9-abd0-4e74-9f56-62babf820ef8","135.160.201.22",56311,775,nmurphyjr
"2018-11-09T17:57:18.215+0000",203,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=15a35594-00a8-473a-b227-8e52d0b5d2fc","220.184.135.239",56422,1000,jfordr1
"2018-11-09T17:57:18.174+0000",3536,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=6511f3a5-b9de-47af-90db-32967004c48b","176.197.139.80",56697,729,cwarrenkx
"2018-11-09T17:57:08.759+0000",10853,"10.2.2.4",3306,"SELECT * FROM hr_employee_info","10.2.1.34",56806,32189,"Fred_Samuels"
"2018-11-09T17:57:08.139+0000",9931,"10.2.2.2",3306,"SELECT * FROM hr_employee_info","10.2.1.34",56677,33415,"Fred_Samuels"
"2018-11-09T17:57:03.700+0000",3061,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=d31fdb6c-cddd-4b87-8a37-3c0e6e54f421","8.122.71.80",56586,526,jriley64
"2018-11-09T17:57:03.129+0000",3407,"10.2.2.2",3306,"SELECT * FROM customers WHERE customer_uid=c21e6f89-0354-43cd-82ab-6078db9a8b30","130.149.253.5",56421,505,nsullivanjg
"2018-11-09T17:57:03.091+0000",780,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=6a6d4f6b-abdc-4479-8bd5-1d47bd88f653","163.75.193.64",56180,670,vmartinez90
"2018-11-09T17:56:48.789+0000",10745,"10.2.2.3",3306,"SELECT * FROM hr_employee_info","10.2.1.34",56797,37386,"Fred_Samuels"
"2018-11-09T17:56:48.664+0000",1122,"10.2.2.4",3306,"SELECT * FROM customers WHERE customer_uid=3cc8c706-d728-4de6-a763-dbe5e05681fa","53.19.77.176",56155,975,hkimbx
"2018-11-09T17:56:48.089+0000",9572,"10.2.2.2",3306,"SELECT * FROM hr_employee_info","10.2.1.34",56718,59446,"Fred_Samuels"
"2018-11-09T17:56:48.075+0000",2127,"10.2.2.3",3306,"SELECT * FROM customers WHERE customer_uid=acf4cb3a-a936-4ff8-b6ef-eb01ae82c097","37.251.167.60",56833,755,fcruzm1
"2018-11-09T17:56:48.040+0000",3776,"10.2.2.4",3306,"SELECT * FROM customers WHERE customer_uid=6ead23c5-9757-4a87-ab07-2ba777fb55b4","175.255.62.227",56833,383,hfox1w
"2018-11-09T17:56:33.433+0000",3418,"10.2.2.2",3306,"SELECT * FROM customers WHERE customer_uid=d31fdb6c-cddd-4b87-8a37-3c0e6e54f421","8.122.71.80",56643,243,jriley64
