STN,Station,geoBreite,geoLaenge
998,DE BILT,52.10,5.18
275,DEELEN,52.05,5.87
350,GILZE-RIJEN,51.57,4.93
138,MAASTRICHT,50.90,5.76
153,STAVOREN,52.90,5.38
340,WOENSDRECHT,51.45,4.35
311,HOOFDPLAAT,51.23,3.4
247,BLOEMENDAAL,52.25,4.33
280,EELDE,53.12,6.58
273,MARKNESSE,52.70,5.88
249,BERKHOUT,52.65,4.98
348,CABAUW,51.97,4.92
319,WESTDORPE,51.22,3.87
617,ARCEN,51.50,6.20
344,ROTTERDAM,51.97,4.45
251,HOORN (TERSCHELLING),53.38,5.35
279,HOOGEVEEN,52.75,6.57
8,LELYSTAD,52.27,05.32
270,LEEUWARDEN,53.22,5.75
391,ARCEN,51.30,6.12
324,STAVENISSE,51.36,04.00
240,SCHIPHOL,52.32,4.78
230,DEN HELDER,52.56,4.47
604,HERWIJNEN,51.85,5.15
377,ELL,51.20,5.77
277,LAUWERSOOG,53.42,6.20
330,HOEK VAN HOLLAND,51.98,4.12
290,TWENTHE,52.27,6.88
210,VALKENBURG,52.18,4.42
41,LELYSTAD,52.45,5.52
260,DE BILT,52.06,5.11
370,EINDHOVEN,51.45,5.38
315,HANSWEERT,51.27,4.00
375,VOLKEL,51.65,5.70
380,MAASTRICHT,50.90,5.76
286,NIEUW BEERTA,53.20,7.15
283,HUPSEL,52.07,6.65
310,VLISSINGEN,51.45,3.60
308,CADZAND,51.23,3.23
278,HEINO,52.43,6.27
605,LAUWERSOOG,53.25,6.12
267,STAVOREN,52.53,5.23
235,DE KOOY,52.93,4.78
265,SOESTERBERG,52.13,5.28
242,VLIELAND,53.23,4.92
