EventCode,1075_Requirement,1075_Requirement_Desc,1075_Potential_Criticalality,EventCode_Summary
4719,4,General,High,System audit policy was changed
612,4,General,High,System audit policy was changed
4907,4,General,Medium,Auditing setting on object was changed
4672,4,General,Low,Permissions on an object was changed
4697,4,General,Low,Attempt to install a service
601,4,General,Low,Attempt to install a service
4765,7,Admin Security,High,SID History was added to an account.
4794,7,Admin Security,High,An attempt was made to set the Directory Services Restore Mode.
5124,7,Admin Security,High,A security setting was updated on the OCSP Responder Service
4672,7,Admin Security,Low,Special privileges assigned to new logon.
4707,7,Admin Security,Low,A trust to a domain was removed.
576,7,Admin Security,Low,Special privileges assigned to new logon.
611,7,Admin Security,Low,A trust to a domain was removed.
4739,7,Admin Security,Medium,Domain Policy was changed.
4754,7,Admin Security,Medium,A security-enabled universal group was created.
4755,7,Admin Security,Medium,A security-enabled universal group was changed.
4764,7,Admin Security,Medium,A security-disabled group was deleted
4780,7,Admin Security,Medium,The ACL was set on accounts which are members of administrators groups.
643,7,Admin Security,Medium,Domain Policy was changed.
658,7,Admin Security,Medium,A security-enabled universal group was created.
659,7,Admin Security,Medium,A security-enabled universal group was changed.
667,7,Admin Security,Medium,A security-disabled group was deleted
684,7,Admin Security,Medium,The ACL was set on accounts which are members of administrators groups.
4865,7,Admin Security,Medium,A trusted forest information entry was added.
4866,7,Admin Security,Medium,A trusted forest information entry was removed.
4867,7,Admin Security,Medium,A trusted forest information entry was modified.
4882,7,Admin Security,Medium,The security permissions for Certificate Services changed.
4890,7,Admin Security,Medium,The certificate manager settings for Certificate Services changed.
4892,7,Admin Security,Medium,A property of Certificate Services changed.
4896,7,Admin Security,Medium,One or more rows have been deleted from the certificate database.
786,7,Admin Security,Medium,The security permissions for Certificate Services changed.
794,7,Admin Security,Medium,The certificate manager settings for Certificate Services changed.
796,7,Admin Security,Medium,A property of Certificate Services changed.
800,7,Admin Security,Medium,One or more rows have been deleted from the certificate database.
4906,7,Admin Security,Medium,The CrashOnAuditFail value has changed.
4621,7,Admin Security,Medium,Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.
4706,7,Admin Security,Medium,A new trust was created to a domain.
4713,7,Admin Security,Medium,Kerberos policy was changed.
4714,7,Admin Security,Medium,Encrypted data recovery policy was changed.
610,7,Admin Security,Medium,A new trust was created to a domain.
617,7,Admin Security,Medium,Kerberos policy was changed.
618,7,Admin Security,Medium,Encrypted data recovery policy was changed.
4715,7,Admin Security,Medium,The audit policy (SACL) on an object was changed.
4716,7,Admin Security,Medium,Trusted domain information was modified.
620,7,Admin Security,Medium,Trusted domain information was modified.
4693,7,Admin Security,Medium,Recovery of data protection master key was attempted.
4897,6,Mod Groups,High,Role separation enabled
801,6,Mod Groups,High,Role separation enabled
4727,6,Mod Groups,Medium,A security-enabled global group was created.
631,6,Mod Groups,Medium,A security-enabled global group was created.
4735,6,Mod Groups,Medium,A security-enabled local group was changed.
639,6,Mod Groups,Medium,A security-enabled local group was changed.
4693,6,Mod Groups,Medium,Recovery of data protection master key was attempted.
4964,6,Mod Groups,High,Special groups have been assigned to a new logon.
4737,6,Mod Groups,Medium,A security-enabled global group was changed.
641,6,Mod Groups,Medium,A security-enabled global group was changed.
4724,8,User Security,Medium,An attempt was made to reset an account's password.
628,8,User Security,Medium,An attempt was made to reset an account's password.
4704,8,User Security,Low,A user right was assigned.
608,8,User Security,Low,A user right was assigned.
4908,8,User Security,Medium,Special Groups Logon table modified.
4912,8,User Security,Medium,Per User Audit Policy was changed.
807,8,User Security,Medium,Per User Audit Policy was changed.
4705,8,User Security,Low,A user right was removed.
609,8,User Security,Low,A user right was removed.
4618,8,User Security,High,A monitored security event pattern has occurred.
