host,"machine_id"
"172.11.136.11","SF_Building_A_RTU_590104"
"172.11.136.11","SF_Building_C_RTU_590134"
"172.11.136.11","SF_Building_C_RTU_590149"
"172.11.136.11","SF_Building_C_RTU_688837"
"172.11.136.14","SF_Building_B_RTU_688847"
"172.11.136.14","SF_Building_C_RTU_590149"
"172.11.136.14","SF_Building_C_RTU_688837"
"172.11.136.15","SF_Building_C_RTU_688837"
"172.11.136.16","SF_Building_A_RTU_590124"
"172.11.136.16","SF_Building_A_RTU_590139"
"172.11.136.16","SF_Building_B_RTU_590129"
"172.11.136.16","SF_Building_C_RTU_590119"
"172.11.136.16","SF_Building_C_RTU_590134"
"172.11.136.16","SF_Building_C_RTU_688852"
"172.11.136.17","SF_Building_A_RTU_590139"
"172.11.136.17","SF_Building_B_RTU_590114"
"172.11.136.17","SF_Building_B_RTU_590129"
"172.11.136.18","SF_Building_B_RTU_688847"
"172.11.136.19","SF_Building_A_RTU_688827"
"172.11.136.19","SF_Building_C_RTU_590149"
"172.11.136.19","SF_Building_C_RTU_688837"
"172.11.136.20","SF_Building_B_RTU_590137"
"172.11.136.21","SF_Building_C_RTU_688852"
"172.11.136.22","SF_Building_A_RTU_590104"
"172.11.136.22","SF_Building_A_RTU_590139"
"172.11.136.22","SF_Building_B_RTU_688847"
"172.11.136.22","SF_Building_C_RTU_688852"
"172.11.136.23","SF_Building_A_RTU_590104"
"172.11.136.23","SF_Building_B_RTU_590129"
"172.11.136.23","SF_Building_B_RTU_590144"
"172.11.136.23","SF_Building_C_RTU_590134"
"172.11.136.23","SF_Building_C_RTU_590149"
"172.11.136.25","SF_Building_A_RTU_590139"
"172.11.136.25","SF_Building_B_RTU_590129"
"172.11.136.25","SF_Building_B_RTU_688847"
"172.11.136.26","SF_Building_A_RTU_590104"
"172.11.136.26","SF_Building_A_RTU_590124"
"172.11.136.26","SF_Building_A_RTU_688827"
"172.11.136.26","SF_Building_B_RTU_590144"
"172.11.136.26","SF_Building_C_RTU_590134"
"172.11.136.26","SF_Building_C_RTU_688837"
"172.11.136.27","SF_Building_A_RTU_688827"
"172.11.136.29","SF_Building_B_RTU_590129"
"172.11.136.29","SF_Building_C_RTU_590134"
"172.11.136.29","SF_Building_C_RTU_590149"
"172.11.136.29","SF_Building_C_RTU_688837"
"172.11.136.30","SF_Building_A_RTU_590139"
"172.11.136.30","SF_Building_B_RTU_688832"
"172.11.136.31","SF_Building_C_RTU_590134"
"172.11.136.32","SF_Building_B_RTU_590129"
"172.11.136.32","SF_Building_C_RTU_590149"
"172.11.136.32","SF_Building_C_RTU_688837"
"172.11.136.33","SF_Building_A_RTU_590124"
"172.11.136.33","SF_Building_A_RTU_688827"
"172.11.136.33","SF_Building_C_RTU_590149"
