host_name,host_fqdn,host_internal_ip,host_external_ip,host_os,host_type
radius_1,radius_1.splunktel.com,10.123.2.99,10.123.2.99,nix,physical
oracle_1,oracle_1.splunktel.com,10.11.36.12,10.11.36.12,nix,physical
mysql_5,mysql_5.splunktel.com,10.88.232.175,10.88.232.175,nix,physical
mysql_3,mysql_3.splunktel.com,10.91.215.193,10.91.215.193,nix,physical
file_3,file_3.splunktel.com,10.91.74.198,10.91.74.198,nix,virtual
web_iis_3,web_iis_3.splunktel.com,10.123.2.10,10.123.2.10,windows,physical
web_iis_2,web_iis_2.splunktel.com,10.91.74.197,10.91.74.197,windows,physical
web_iis_1,web_iis_1.splunktel.com,10.123.2.9,10.123.2.9,windows,physical
shpnt_3,shpnt_3.splunktel.com,10.123.2.12,10.123.2.12,windows,physical
mysql_4,mysql_4.splunktel.com,10.168.32.5,10.168.32.5,windows,physical
mysql_2,mysql_2.splunktel.com,10.11.36.11,10.11.36.11,windows,physical
mysql_1,mysql_1.splunktel.com,10.160.15.18,10.160.15.18,windows,virtual
mssql_3,mssql_3.splunktel.com,10.168.32.6,10.168.32.6,windows,physical
mssql_2,mssql_2.splunktel.com,10.168.32.3,10.168.32.3,windows,virtual
ad_dc_5,ad_dc_5.splunktel.com,10.123.2.1,10.123.2.1,windows,physical
dc-pla-01,dc-pla-01.splunktel.com,10.88.232.172,10.88.232.172,windows,physical
dc-san-01,dc-san-01.splunktel.com,10.168.32.4,10.168.32.4,windows,physical
esxi_prod_1,esxi_prod_1.splunktel.com,10.123.2.174,10.123.2.174,ESX,physical
esxi_prod_2,esxi_prod_2.splunktel.com,10.123.2.175,10.123.2.175,ESX,physical
esxi_prod_3,esxi_prod_3.splunktel.com,10.123.2.176,10.123.2.176,ESX,physical
web_websphere_3,web_websphere_3.splunktel.com,10.160.15.22,10.160.15.22,nix,virtual
web_websphere_2,web_websphere_2.splunktel.com,10.160.15.23,10.160.15.23,nix,virtual
web_websphere_1,web_websphere_1.splunktel.com,10.160.15.24,10.160.15.24,nix,virtual
web_apache_3,web_apache_3.splunktel.com,10.160.15.25,10.160.15.25,nix,virtual
web_apache_2,web_apache_2.splunktel.com,10.160.15.26,10.160.15.26,nix,virtual
web_apache_1,web_apache_1.splunktel.com,10.168.32.7,10.168.32.7,nix,physical
radius_3,radius_3.splunktel.com,10.160.15.29,10.160.15.29,nix,virtual
oracle_3,oracle_3.splunktel.com,10.160.15.30,10.160.15.30,nix,virtual
