Capacity,Location,Windfarm,latitude,longitude
"1,020","Windfarm_01","Alta Wind Energy Center","35.021111","-118.320556"
"1,064","Windfarm_02","Jaisalmer Wind Park","26.940958","70.889781"
300,"Windfarm_03","Bayannur Wulanyiligeng Wind Farm",42,"108.383333"
450,"Windfarm_04","Biglow Canyon Wind Farm","45.6375","-120.605278"
"523.3","Windfarm_05","Buffalo Gap Wind Farm","32.310556","-100.149167"
"662.5","Windfarm_06","Capricorn Ridge Wind Farm","31.903056","-100.901111"
551,"Windfarm_07","Cedar Creek Wind Farm","40.871111","-104.093056"
350,"Windfarm_08","Clyde Wind Farm","55.467222","-3.654444"
416,"Windfarm_09","Crystal Lake Wind Farm","43.229167","-93.841111"
500,"Windfarm_10","Dabancheng Wind Farm","43.593611","87.808889"
"250.5","Windfarm_11","Eurus Wind Farm","16.540278","-94.953889"
600,"Windfarm_12","Fontfonele-Cogealac Wind Farm","44.590278","28.565278"
"599.8","Windfarm_13","Fowler Ridge Wind Farm","40.608611","-87.320833"
"283.2","Windfarm_14","Gulf Wind Farm","27.087783","-97.58945"
298,"Windfarm_15","Hallett Wind Farm","-33.367778","138.728611"
385,"Windfarm_16","Hopkins Ridge Wind Farm","46.401944","-117.812222"
"735.5","Windfarm_17","Horse Hollow Wind Energy Center","32.19","-100.03"
"281.2","Windfarm_18","King Mountain Wind Farm","31.237778","-102.237778"
399,"Windfarm_19","Klondike Wind Farm","45.58","-120.61"
279,"Windfarm_20","Lake Bonney Wind Farm","-37.76","140.4"
400,"Windfarm_21","Lone Star Wind Farm","32.272811","-99.456111"
300,"Windfarm_22","Longyuan Huitengliang Wind Farm","43.450278","116.166389"
"321.8","Windfarm_23","Maple Ridge Wind Farm","43.75","-75.55"
500,"Windfarm_24","Meadow Lake Wind Farm","40.601111","-86.865833"
264,"Windfarm_25","Mount Storm Wind Farm","39.224444","-79.204167"
458,"Windfarm_26","Panther Creek Wind Farm","31.968611","-99.901667"
380,"Windfarm_27","Papalote Creek Wind Farm","27.98","-97.391111"
430,"Windfarm_28","Peetz Wind Farm","40.950833","-103.155278"
404,"Windfarm_29","Peƒ__ascal Wind Power Project",27,"-97.6"
"300.3","Windfarm_30","Pioneer Prairie Wind Farm","43.476389","-92.585556"
"781.5","Windfarm_31","Roscoe Wind Farm","32.264444","-100.344167"
845,"Windfarm_32","Shepherds Flat Wind Farm","45.7","-120.06"
300,"Windfarm_33","Shiloh Wind Farm","38.116667","-121.841667"
250,"Windfarm_34","Smoky Hills Wind Farm","38.972222","-98.150278"
300,"Windfarm_35","Stateline Wind Farm","46.037217","-118.806594"
300,"Windfarm_36","Story County Wind Farm","41.891111","-92.978333"
300,"Windfarm_37","Streator Cayuga Ridge South Wind Farm","40.955556","-88.481667"
"585.3","Windfarm_38","Sweetwater Wind Farm","32.338889","-100.444444"
300,"Windfarm_39","Tongliao Beiqinghe Wind Farm","43.941667","121.15"
396,"Windfarm_40","Twin Groves Wind Farm","55.687222","-4.228611"
539,"Windfarm_41","Whitelee Wind Farm","55.687222","-4.228611"
400,"Windfarm_42","Windy Point/Windy Flats","45.741944","-120.725556"
