"Asset_ID","Last_Maintenance_Date","Last_Maintenance_Notes","Last_Maintenance_Technician","Last_Maintenance_Type"
"AWEC-01","4/24/15","High Stator Oil Temperature, Checked sump level, ordered new float switch",10557,Emergency
"AWEC-02","2/25/15",Bearings,10557,Routine
"AWEC-03","2/26/15",Bearings,10557,Routine
"AWEC-04","2/25/05",Bearings,10557,Routine
"AWEC-05","2/26/05",Bearings,10557,Routine
"AWEC-06","2/27/05",Bearings,10557,Routine
"AWEC-07","2/28/05",Bearings,34661,Routine
"AWEC-08","3/1/05","Calibration, Bearings",35861,Routine
"AWEC-09","3/2/05","Calibration, Bearings",10557,Routine
"AWEC-10","3/3/05","Calibration, Bearings",10557,Routine
"BCWF-01","5/21/15","Calibration, Bearings",56772,Routine
"BCWF-02","5/21/15","Calibration, Bearings",56772,Routine
"BCWF-03","5/21/15","Calibration, Bearings",56772,Routine
"BCWF-04","5/21/15","Calibration, Bearings",56772,Routine
"BCWF-05","5/21/15","Calibration, Bearings",56772,Routine
"BCWF-06","5/21/15","Calibration, Bearings",56772,Routine
"BCWF-07","5/22/15","Calibration, Bearings",56772,Routine
"BCWF-08","5/22/15","Calibration, Bearings",56772,Routine
"BCWF-09","5/22/15","Calibration, Bearings",56772,Routine
"BCWF-10","5/22/15","Found disrupted control wiring harness, reattached.",56772,Unscheduled
"BGWF-01","3/7/15",Bearings,24665,Routine
"BGWF-02","3/7/15",Bearings,24665,Routine
"BGWF-03","3/7/15",Bearings,24665,Routine
"BGWF-04","3/7/15",Bearings,24665,Routine
"BGWF-05","3/7/15",Bearings,24665,Routine
"BGWF-06","3/7/15",Bearings,24665,Routine
"BGWF-07","3/7/15",Bearings,34615,Routine
"BGWF-08","3/7/15",Bearings,34615,Routine
"BGWF-09","3/7/15",Bearings,34615,Routine
"BGWF-10","3/7/15",Bearings,34615,Routine
"BWWF-01","6/1/15",Bearings,62781,Routine
"BWWF-02","6/2/15",Bearings,62781,Routine
"BWWF-03","6/2/15",Bearings,62781,Routine
"BWWF-04","6/2/15",Bearings,62781,Routine
"BWWF-05","6/2/15",Calibration,62781,Routine
"BWWF-06","6/2/15",Calibration,62781,Routine
"BWWF-07","6/2/15",Calibration,62781,Routine
