tag,classification,new_classification,kill_chain_phase
,Intel,Intel,Delivery
[Abuse.ch] Feodo C2,Malicious Host,Bot,Command & Control
[ABUSE.CH] Feodo C2,Malware,C2,Command & Control
[Abuse.ch] Palevo C2,Malicious Host,Bot,Command & Control
[Abuse.ch] SpyEye C2,Bot CC,Bot,Command & Control
[Abuse.ch] Spyeye CC,Bot CC,Bot,Command & Control
[ABUSE.CH] Zeus C2,Malware,C2,Command & Control
[Abuse.ch] Zeus Host,Bot,Bot,Command & Control
[ACTORTRACKR INTEL REPORT] Additional Insights on Shamoon2,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Alert (TA17-164A) HIDDEN COBRA – North Korea’s DDoS Botnet Infrastructure,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] A Pretty Dope Story About Bears: Early Indicators of Continued World Anti-Doping Agency (WADA) Targeting,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] APT28: AT THE CENTER OF THE STORM,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] APT29 Domain Fronting With TOR,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Bear Hunting Season: Tracking APT28,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Bear Spotting Vol. 1: Russian Nation State Targeting of Government and Military Interests,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Breaking The Weakest Link Of The Strongest Chain,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] ChChes – Malware that Communicates with C&C Servers Using Cookie Headers,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] China’s Cyber Security Law (CTIG-20170502-017),APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Chinese Ministry of State Security Behind APT3,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] CTIG-20170606-023-B: Yummba Forum Activity,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Cyber Attack Impersonating Identity of Indian Think Tank to Target Central Bureau of Investigation (CBI) and Possibly Indian Army Officials,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Cyber Attack Targeting Indian Navy’s Submarine and Warship Manufacturer,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Cyber Espionage is Alive and Well: APT32 and the Threat to Global Corporations,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Cyber Threat to Australian Banks (CTIG-20170127-005),APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Dimnie: Hiding in Plain Sight,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Dissecting the APT28 Mac OS X Payload,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] DragonOK Updates Toolset and Targets Multiple Geographic Regions,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] FIN7 Spear Phishing Campaign Targets Personnel Involved in SEC Filings,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] FROM SHAMOON TO STONEDRILL Wipers attacking Saudi organizations and beyond,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] GRIZZLY STEPPE Analysis (CTIG-20170110-003),APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] GRIZZLY STEPPE – Russian Malicious Cyber Activity,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Iranian PupyRAT Bites Middle Eastern Organizations,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Kingslayer A Supply Chain Attack,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Lazarus and Watering-hole attacks,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Lazarus False Flag Malware,APT,APT,Command & Control
[ACTORTRACKR INTEL REPORT] Lazarus Under The Hood,APT,APT,Command & Control
