tier,size,type
Standard_LRS,32,S4
Standard_LRS,64,S6
Standard_LRS,128,S10
Standard_LRS,256,S15
Standard_LRS,512,S20
Standard_LRS,1024,S30
Standard_LRS,2048,S40
Standard_LRS,4096,S50
Standard_LRS,8192,S60
Standard_LRS,16384,S70
Standard_LRS,32767,S80
StandardSSD_LRS,32,E4
StandardSSD_LRS,64,E6
StandardSSD_LRS,128,E10
StandardSSD_LRS,256,E15
StandardSSD_LRS,512,E20
StandardSSD_LRS,1024,E30
StandardSSD_LRS,2048,E40
StandardSSD_LRS,4096,E50
StandardSSD_LRS,8192,E60
StandardSSD_LRS,16384,E70
StandardSSD_LRS,32767,E80
Premium_LRS,32,P4
Premium_LRS,64,P6
Premium_LRS,128,P10
Premium_LRS,256,P15
Premium_LRS,512,P20
Premium_LRS,1024,P30
Premium_LRS,2048,P40
Premium_LRS,4096,P50
Premium_LRS,8192,P60
Premium_LRS,16384,P70
Premium_LRS,32767,P80
