type,region,timeunit,rate,currency
IP,australia-southeast2,hourly,0.014,USD
IP,asia-northeast3,hourly,0.015,USD
IP,asia-southeast1,hourly,0.011,USD
IP,asia-south1,hourly,0.012,USD
IP,us-south1,hourly,0.0118,USD
IP,me-west1,hourly,0.011,USD
IP,europe-west9,hourly,0.0117,USD
IP,europe-west8,hourly,0.0117,USD
IP,asia-southeast2,hourly,0.011,USD
IP,us-west3,hourly,0.012,USD
IP,southamerica-west1,hourly,0.015,USD
IP,southamerica-east1,hourly,0.015,USD
IP,us-central1,hourly,0.01,USD
IP,us-east1,hourly,0.01,USD
IP,us-west1,hourly,0.01,USD
IP,asia-east1,hourly,0.01,USD
IP,europe-west1,hourly,0.01,USD
IP,asia-northeast1,hourly,0.015,USD
IP,asia-northeast2,hourly,0.015,USD
IP,australia-southeast1,hourly,0.014,USD
IP,europe-central2,hourly,0.012,USD
IP,europe-west4,hourly,0.011,USD
IP,europe-north1,hourly,0.011,USD
IP,europe-west2,hourly,0.012,USD
IP,europe-southwest1,hourly,0.012,USD
IP,us-east5,hourly,0.01,USD
IP,us-west4,hourly,0.011,USD
IP,asia-south2,hourly,0.012,USD
IP,europe-west6,hourly,0.01,USD
IP,asia-east2,hourly,0.01,USD
IP,europe-west3,hourly,0.012,USD
IP,us-west2,hourly,0.012,USD
IP,us-east4,hourly,0.011,USD
