type,region,timeunit,rate,currency
local-ssd,europe-west8,gibibyte month,0.0928,USD
pd-standard,asia-northeast3,gibibyte month,0.052,USD
pd-ssd,asia-northeast2,gibibyte month,0.221,USD
pd-balanced,asia-northeast2,gibibyte month,0.221,USD
pd-ssd,asia-southeast2,gibibyte month,0.221,USD
pd-balanced,asia-southeast2,gibibyte month,0.221,USD
pd-standard,asia-southeast1,gibibyte month,0.044,USD
pd-ssd,us-west2,gibibyte month,0.204,USD
pd-balanced,us-west2,gibibyte month,0.204,USD
pd-ssd,europe-west9,gibibyte month,0.1972,USD
pd-balanced,europe-west9,gibibyte month,0.1972,USD
local-ssd,europe-west3,gibibyte month,0.096,USD
local-ssd,europe-southwest1,gibibyte month,0.0944,USD
pd-ssd,us-east5,gibibyte month,0.17,USD
pd-balanced,us-east5,gibibyte month,0.17,USD
pd-ssd,australia-southeast2,gibibyte month,0.23,USD
pd-balanced,australia-southeast2,gibibyte month,0.23,USD
pd-standard,europe-west6,gibibyte month,0.052,USD
local-ssd,us-east4,gibibyte month,0.088,USD
pd-standard,asia-east2,gibibyte month,0.0498,USD
pd-ssd,southamerica-east1,gibibyte month,0.255,USD
pd-balanced,southamerica-east1,gibibyte month,0.255,USD
pd-ssd,asia-northeast3,gibibyte month,0.221,USD
pd-balanced,asia-northeast3,gibibyte month,0.221,USD
local-ssd,europe-west2,gibibyte month,0.096,USD
local-ssd,australia-southeast2,gibibyte month,0.108,USD
pd-ssd,europe-west4,gibibyte month,0.187,USD
pd-balanced,europe-west4,gibibyte month,0.187,USD
pd-standard,asia-south1,gibibyte month,0.048,USD
local-ssd,asia-east2,gibibyte month,0.088,USD
pd-ssd,europe-west3,gibibyte month,0.204,USD
pd-balanced,europe-west3,gibibyte month,0.204,USD
local-ssd,us-west4,gibibyte month,0.088,USD
local-ssd,asia-northeast3,gibibyte month,0.104,USD
pd-ssd,me-west1,gibibyte month,0.187,USD
pd-balanced,me-west1,gibibyte month,0.187,USD
local-ssd,europe-north1,gibibyte month,0.088,USD
pd-ssd,europe-north1,gibibyte month,0.187,USD
pd-balanced,europe-north1,gibibyte month,0.187,USD
pd-ssd,europe-west2,gibibyte month,0.204,USD
pd-balanced,europe-west2,gibibyte month,0.204,USD
pd-standard,australia-southeast1,gibibyte month,0.054,USD
local-ssd,asia-south1,gibibyte month,0.096,USD
pd-standard,europe-central2,gibibyte month,0.048,USD
local-ssd,australia-southeast1,gibibyte month,0.108,USD
pd-standard,asia-northeast2,gibibyte month,0.052,USD
local-ssd,us-south1,gibibyte month,0.0944,USD
local-ssd,northamerica-northeast1,gibibyte month,0.088,USD
local-ssd,us-central1,gibibyte month,0.08,USD
local-ssd,us-east1,gibibyte month,0.08,USD
local-ssd,us-west1,gibibyte month,0.08,USD
local-ssd,asia-east1,gibibyte month,0.08,USD
local-ssd,europe-west1,gibibyte month,0.08,USD
pd-ssd,asia-east2,gibibyte month,0.187,USD
pd-balanced,asia-east2,gibibyte month,0.187,USD
