MajorVersion, MinorVersion, SPMajorVersion, SPMinorVersion, OSArchitecture, OSVersionString
5,1,0,0,32,Windows XP 32Bit
5,1,0,0,64,Windows XP 64Bit
5,2,0,0,32,Windows XP 32Bit
5,2,0,0,64,Windows XP 64Bit
5,1,1,0,32,Windows XP SP1 32Bit
5,1,1,0,64,Windows XP SP1 64Bit
5,2,1,0,32,Windows XP SP1 32Bit
5,2,1,0,64,Windows XP SP1 64Bit
5,1,2,0,32,Windows XP SP2 32Bit
5,1,2,0,64,Windows XP SP2 64Bit
5,2,2,0,32,Windows XP SP2 32Bit
5,2,2,0,64,Windows XP SP2 64Bit
5,1,3,0,32,Windows XP SP3 32Bit
5,1,3,0,64,Windows XP SP3 64Bit
5,2,3,0,32,Windows XP SP3 32Bit
5,2,3,0,64,Windows XP SP3 64Bit
6,0,0,0,32,Windows Vista 32Bit
6,0,0,0,64,Windows Vista 64Bit
6,0,1,0,32,Windows Vista SP1 32Bit
6,0,1,0,64,Windows Vista SP1 64Bit
6,0,2,0,32,Windows Vista SP2 32Bit
6,0,2,0,64,Windows Vista SP2 64Bit
6,1,0,0,32,Windows 7 32Bit
6,1,0,0,64,Windows 7 64Bit
6,1,1,0,32,Windows 7 SP1 32Bit
6,1,1,0,64,Windows 7 SP1 64Bit
6,2,0,0,32,Windows 10 32Bit
6,2,0,0,64,Windows 10 64Bit
-6,2,0,0,32,Windows Server 2012 32Bit
-6,2,0,0,64,Windows Server 2012 64Bit
6,2,1,0,32,Windows 10 SP1 32Bit
6,2,1,0,64,Windows 10 SP1 64Bit
-6,3,0,0,32,Windows Server 2012 R2 32Bit
-6,3,0,0,64,Windows Server 2012 R2 64Bit
10,0,0,0,32,Windows 10 32Bit
10,0,0,0,64,Windows 10 64Bit
10,0,1,0,32,Windows 10 SP1 32Bit
10,0,1,0,64,Windows 10 SP1 64Bit
-10,0,0,0,32,Windows Server 2016 32Bit
-10,0,0,0,64,Windows Server 2016 64Bit
