"ti_domain",context,url
"www.witkey.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"www.slapintins.publicvm.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"www.poloatmer.ru","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"www.nikey.cn","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"www.antibasic.ga","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"wirekinq.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"vodahelp.sytes.net","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"update.rifugiopontese.it","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"telefonfiyatlari.org","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"ssl.sinergycosmetics.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"servmill.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"server.bovine-mena.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"sanyai-love.rmu.ac.th","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"projects.globaltronics.net","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"platinum-casino.ru","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"panel.vargakragard.se","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"owiink.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"nsdic.pp.ru","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"ns513726.ip-192-99-148.net","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"ns511849.ip-192-99-19.net","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"nasscomminc.tk","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"ms69-hinet.net","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"metalexvietnamreed.tk","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"mecod.expresslinkcourier.online","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"maminoleinc.tk","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"machine.cu.ma","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"lzediamike.trade","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"l3d1.pp.ru","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"l3d.pp.ru","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"kntksales.tk","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"kesikelyaf.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"ivansaru.418.com1.ru","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"interlogistics.com.vn","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"ice.ip64.net","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"hui-ain-apparel.tk","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
"hruner.com","Zeus Malware","https://zeustracker.abuse.ch/blocklist.php?download=baddomains"
