"_time",avgBytes,avgDuration,"bot_type",botnet,commonProtocol,numFlows,"src_ip",sumBytes,types,uniqueDstIp,uniqueDstPort,uniqueProtocols
1313500740,3254,"250.501545",murlo,1,tcp,2,"147.32.84.165",6508,Botnet,2,2,2
1313500800,"466.8","0.611854",murlo,1,udp,5,"147.32.84.165",2334,Botnet,3,3,2
1313500860,186,"8.9903885",murlo,1,tcp,2,"147.32.84.165",372,Botnet,2,1,1
1313501040,"85569.61538461539","48.49818807692308",murlo,1,udp,13,"147.32.84.165",1112405,Botnet,7,5,2
1313501100,"3001.5","250.08790399999998",murlo,1,tcp,2,"147.32.84.165",6003,Botnet,2,2,2
1313501280,"2024.2777777777778","8.947291999999997",murlo,1,tcp,18,"147.32.84.165",36437,Botnet,5,3,2
1313501340,"396.5","17.70721225",murlo,1,tcp,4,"147.32.84.165",1586,Botnet,3,3,2
1313501400,1076,"61.287251",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501460,1076,"61.278423",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501520,"1841.125","13.447378875",murlo,1,tcp,8,"147.32.84.165",14729,Botnet,4,3,2
1313501580,1076,"61.278946",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501640,1076,"61.269241",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501700,1076,"61.26302",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501760,1076,"61.271519",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501820,1076,"61.287769",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313501880,"229321.625","84.927958875",murlo,1,tcp,8,"147.32.84.165",1834573,Botnet,4,4,2
1313501940,1076,"61.274448",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313502000,1076,"61.281803",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313502060,"856.5","30.32368575",murlo,1,tcp,4,"147.32.84.165",3426,Botnet,3,3,2
1313502120,1076,"61.273388",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313502180,"1057.6","274.27275380000003",murlo,1,tcp,5,"147.32.84.165",5288,Botnet,5,5,2
1313502240,"10720.333333333334","26.262169333333336",murlo,1,udp,6,"147.32.84.165",64322,Botnet,6,1,1
1313502300,8510,"20.869473727272727",murlo,1,udp,11,"147.32.84.165",93610,Botnet,11,2,2
1313502360,"15349.42857142857","45.55314742857143",murlo,1,udp,7,"147.32.84.165",107446,Botnet,7,2,2
1313502420,"2347.090909090909","6.213159090909091",murlo,1,tcp,22,"147.32.84.165",51636,Botnet,21,3,2
1313502480,"2292.0425531914893","6.046621468085106",murlo,1,tcp,47,"147.32.84.165",107726,Botnet,47,3,2
1313502540,"2285.8285714285716","5.432499057142857",murlo,1,tcp,35,"147.32.84.165",80004,Botnet,35,3,2
1313502600,"3670.9767441860463","10.199921325581396",murlo,1,tcp,43,"147.32.84.165",157852,Botnet,42,3,2
1313502660,"1332.6938775510205","3.3336725306122448",murlo,1,tcp,49,"147.32.84.165",65302,Botnet,49,3,2
1313502720,1322,"27.592755",murlo,1,udp,3,"147.32.84.165",3966,Botnet,3,2,2
1313502780,7618,"20.933626363636364",murlo,1,udp,11,"147.32.84.165",83798,Botnet,11,2,2
1313502840,"10577.642857142857","30.82688735714286",murlo,1,udp,14,"147.32.84.165",148087,Botnet,12,3,2
1313502900,"28450.666666666668","94.05079166666667",murlo,1,udp,3,"147.32.84.165",85352,Botnet,3,2,2
1313502960,"14564.666666666666","59.83185566666666",murlo,1,udp,3,"147.32.84.165",43694,Botnet,3,2,2
1313503020,"10234.285714285714","23.434202571428575",murlo,1,udp,7,"147.32.84.165",71640,Botnet,7,2,2
1313503080,4795,"22.429363166666665",murlo,1,udp,6,"147.32.84.165",28770,Botnet,6,2,2
1313503140,"13160.857142857143","48.75240542857143",murlo,1,udp,7,"147.32.84.165",92126,Botnet,7,2,2
1313503200,14162,"41.50431433333333",murlo,1,udp,3,"147.32.84.165",42486,Botnet,3,2,2
1313503260,"8715.733333333334","20.352755266666666",murlo,1,udp,15,"147.32.84.165",130736,Botnet,13,2,2
1313503320,"3056.285714285714","17.724149285714283",murlo,1,udp,7,"147.32.84.165",21394,Botnet,7,2,2
1313503380,1076,"61.281315",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313503440,12439,"30.6952085",murlo,1,udp,8,"147.32.84.165",99512,Botnet,8,3,2
1313503500,"11253.42857142857","23.304453",murlo,1,udp,7,"147.32.84.165",78774,Botnet,7,2,2
1313503560,"19963.777777777777","49.779455333333345",murlo,1,udp,9,"147.32.84.165",179674,Botnet,8,2,2
1313503620,1076,"61.299351",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313503680,"7309.428571428572","27.63009271428572",murlo,1,udp,7,"147.32.84.165",51166,Botnet,7,1,1
