type,count,"bot_type"
Background,546795,menti
Botnet,4630,menti
Normal,7494,menti
Background,315675,"nsis.ay"
Botnet,2168,"nsis.ay"
Normal,7628,"nsis.ay"
Background,112337,sogou
Botnet,63,sogou
Normal,1677,sogou
Background,1853207,virut
Botnet,40003,virut
Normal,31939,virut
Background,124252,virut
Botnet,901,virut
Normal,4679,virut
Background,2875281,murlo
Botnet,6127,murlo
Normal,72822,murlo
Background,6403903,neris
Botnet,246889,neris
Normal,69474,neris
Background,6944118,rbot
Botnet,143918,rbot
Normal,160720,rbot
