current_time,change_type,current_value,previous_value,host_ip
1535256900,5,Stopped,Running,10.128.70.144
1535257800,5,Running,Stopped,10.128.70.144
1535258700,5,Stopped,Running,10.128.70.145
1535259600,5,Running,Stopped,10.128.70.145
1535260500,0,14,13,10.128.70.165
1535261400,0,14,12,10.128.70.165
1535262300,0,13,12,10.128.70.165
1535263200,0,12,10,10.128.70.165
1535264100,0,11,10,10.128.70.165
1535265000,1,10,14,10.128.70.165
1535265900,2,1,0,10.128.70.165
1535266800,1,10,14,10.128.70.144
1535267700,2,1,0,10.128.70.145
1535268600,1,10,14,10.128.70.144
1535269600,1,1,0,10.128.30.74
