event_id,ticket_id,last_modified_time,current_value,previous_value,change_type,changed_by,src_ip,host_name,severity,description,ticket_status,response_status,comment
fafdae-4ed839-5cd78cb8-7157,2b536f-70ef98-a8581aac-d309,today-4:76548,-,-,Creation,System,10.137.128.2,BER-ASA-FW02,Info,Detected network scanning from External host 6.6.6.6 to Internal IP 10.137.128.2.,Open,New,
4d3168-1c5299-9d119fbd-387a,5deda2-6e8c7f-448b2d69-ed58,today-4:19384,-,-,Creation,System,10.137.128.2,BER-ASA-FW02,Info,"The firewall (BER-ASA-FW02, 10.137.128.2) at the Berlin site has been modified by a user (CAPRAP).",Open,New,
101a9b-c2790c-cb1232a0-fb56,6a53be-c8e5b2-5c0cbf2a-82ce,today-7:76565,-,-,Creation,System,10.137.128.36,BER-ENG-EWS01,Medium,"A workstation (BER-ENG-EWS01, 10.137.128.36) at the Berlin site that is assigned to the 10.137.128.32/28 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",Open,New,
39ba83-e63ae3-1784a71e-a91c,d113c3-99dac6-1b43599c-3e92,today-24:77525,-,-,Creation,System,10.137.128.37,BER-HMI-LABELER01,Low,"Multiple active IP addresses are assigned to a HMI (BER-HMI-LABELER01, 10.137.128.37, 10.137.128.74) at the Berlin site.",Open,New,
31aec9-321007-2a52c803-f12a,d113c3-99dac6-1b43599c-3e92,today-19:30225,Closed,In Progress,Closing Ticket,Samuel Willis,10.137.128.37,BER-HMI-LABELER01,Low,"Multiple active IP addresses are assigned to a HMI (BER-HMI-LABELER01, 10.137.128.37, 10.137.128.74) at the Berlin site.",Closed,Complete,Caused by a misconfiguration
445716-f390ee-b1f4b463-8503,d113c3-99dac6-1b43599c-3e92,today-21:15325,In Progress,New,Response Status,Samuel Willis,10.137.128.37,BER-HMI-LABELER01,Low,"Multiple active IP addresses are assigned to a HMI (BER-HMI-LABELER01, 10.137.128.37, 10.137.128.74) at the Berlin site.",Open,In Progress,
6a8173-de4071-4a714a2c-716a,dd9e51-b62333-11df1911-3d4b,today-7:10424,-,-,Creation,System,10.137.128.34,BER-OWS01-LINE1,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Open,New,
3eda31-b80054-104372c7-f469,dd9e51-b62333-11df1911-3d4b,today-15:2852,Complete,New,Closing ticket,Samuel Willis,10.137.128.34,BER-OWS01-LINE1,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Closed,Complete,
b31aa1-1a0e75-dc3df9d9-ad75,dd9e51-b62333-11df1911-3d4b,today-19:2852,-,-,Creation,System,10.137.128.34,BER-OWS01-LINE1,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Open,New,
958e19-982708-3d3a0d3a-8ccd,fe63cf-b94e53-e4495958-f2bd,today-26:39062,-,-,Creation,System,10.137.128.34,BER-OWS01-LINE1,High,"A significant increase of denied internal network connections has been detected coming from Internal workstation (BER-OWS01-LINE1, 10.137.128.34) while attempting to communicate with an External device (6.6.6.6) at the Berlin site.",Open,New,
f78cfa-064475-b8799f53-cb6f,fe63cf-b94e53-e4495958-f2bd,today-26:39062,Closed,New,Closing Ticket,Samuel Willis,10.137.128.34,BER-OWS01-LINE1,High,"A significant increase of denied internal network connections has been detected coming from Internal workstation (BER-OWS01-LINE1, 10.137.128.34) while attempting to communicate with an External device (6.6.6.6) at the Berlin site.",Closed,Complete,
90d8ea-8102f7-4172007c-fc76,08dc41-c82b7d-e6da7925-9605,today-7:29287,-,-,Creation,System,10.137.128.35,BER-OWS01-LINE2,Low,Multiple active IP addresses are assigned to a desktop (BER-OWS01-LINE2) at the Berlin site.,Open,New,
07c9af-49ffd4-420e47f5-6cad,85a690-e42617-d2d4067b-4d94,today-7:29482,-,-,Creation,System,10.137.128.11,BER-SIEMENS-APP1,High,Detected network scanning from External host 6.6.6.6 to Internal IP 10.137.128.11 (BER-SIEMENS-APP1).,Open,New,
06d6df-79b9f0-afffffc5-fb02,417685-5b9801-a433a08f-7f70,today-2:2215,-,-,Creation,System,10.137.128.12,BER-SIEMENS-APP2,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Open,New,
09c6e2-9f7e08-9f0b01ee-9393,417685-5b9801-a433a08f-7f70,today-2:5215,Closed,New,Closing Ticket,Samuel Willis,10.137.128.12,BER-SIEMENS-APP2,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Closed,Complete,
7fb0f5-95c998-f04d1c17-48c5,417685-5b9801-a433a08f-7f70,today-15:2854,Complete,New,Closing ticket,Samuel Willis,10.137.128.12,BER-SIEMENS-APP2,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Closed,Complete,
09733a-79c25e-cefc89a3-f51c,417685-5b9801-a433a08f-7f70,today-18:2854,-,-,Creation,System,10.137.128.12,BER-SIEMENS-APP2,Medium,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",Open,New,
7550d4-a55794-59f1d8f7-7031,fa7233-111308-ace3b83f-07f8,today-5:80122,-,-,Creation,System,10.137.128.12,BER-SIEMENS-APP2,Medium,"External device (6.6.6.6) was denied while attempting to establish an inbound connection through the firewall to server (BER-SIEMENS-APP2, 10.137.128.12) over 88 (commonly used for HTTP).",Open,New,
2f2883-fb3c84-ca905377-a381,b234f9-e48e0b-64abe96a-2607,today-17:6399,-,-,Creation,System,10.137.128.72,BER-SIM1200-LABELER2,Low,"A failed login attempt has occurred on PLC (BER-SIM1200-LABELER2, 10.137.128.72) at the Berlin site.",Open,New,
49bdf5-37a825-f8ae657b-0cb1,b234f9-e48e0b-64abe96a-2607,today-16:6399,Closed,In Progress,Closing Ticket,Samuel Willis,10.137.128.72,BER-SIM1200-LABELER2,Low,"A failed login attempt has occurred on PLC (BER-SIM1200-LABELER2, 10.137.128.72) at the Berlin site.",Closed,Complete,Typing error by the user
5b1329-477fa8-e4732ca4-f639,b234f9-e48e0b-64abe96a-2607,today-16:1500,In Progress,New,Response Status,Samuel Willis,10.137.128.72,BER-SIM1200-LABELER2,Low,"A failed login attempt has occurred on PLC (BER-SIM1200-LABELER2, 10.137.128.72) at the Berlin site.",Open,In Progress,
abf182-c76c7b-d7df6414-0cde,bd8321-3e24c1-c934474a-e0e3,today-5:1948,-,-,Creation,System,10.137.128.72,BER-SIM1200-LABELER2,High,"A significant increase of denied internal network connections has been detected coming from Internal PLC (BER-SIM1200-LABELER2, 10.137.128.72) while attempting to communicate with External device (6.6.6.6) at the Berlin site.",Open,New,
3a9be8-cf8b7c-6b211a5a-0af2,6b3061-824602-3b27a0ac-5685,today-5:72837,-,-,Creation,System,10.137.128.68,BER-SIM1200-PALLETIZER1,Medium,"Zone communication violation from Controller LAN (BER-SIM1200-PALLETIZER1, 10.137.128.68) to Enterprise LAN (BER-WONDERW-MES01, 10.137.128.19).",Open,New,
6c99d6-e4ae6a-e5f560eb-6215,7b70e6-913fda-7158bfd4-2471,today-9:3747,-,-,Creation,System,10.137.128.70,BER-SIM1200-PALLETIZER2,Low,"Protected data has been overwritten on PLC (BER-SIM1200-PALLETIZER2, 10.137.128.70) at the Berlin site.",Open,New,
d4d901-f2fabb-00420ce3-35cb,7b70e6-913fda-7158bfd4-2471,today-2:5432,In Progress,New,Response Status,Samuel Willis,10.137.128.70,BER-SIM1200-PALLETIZER2,Low,"Protected data has been overwritten on PLC (BER-SIM1200-PALLETIZER2, 10.137.128.70) at the Berlin site.",Open,In Progress,
fb302b-639c44-07354670-0184,5af4b5-feab67-89da4969-55ea,today-11:53586,-,-,Creation,System,10.137.128.69,BER-SIM700-LINE1,Critical,"A fault has occurred in a PLC: BER-SIM700-LINE1, 10.137.128.69.",Open,New,
161963-d885ef-47702dc4-b2be,5af4b5-feab67-89da4969-55ea,today-11:53586,Closed,New,Closing Ticket,Samuel Willis,10.137.128.69,BER-SIM700-LINE1,Critical,"A fault has occurred in a PLC: BER-SIM700-LINE1, 10.137.128.69.",Closed,Complete,Local engineer fixed issue.
27d82b-2db2fc-3dd2584a-457f,7141d9-43fb2a-67a9ff04-fe26,today-6:19248,-,-,Creation,System,10.137.128.69,BER-SIM700-LINE1,Info,"The PLC (BER-SIM700-LINE1, 10.137.128.69) has been seen communicating at the Berlin site, but no CMDB entry exists.",Open,New,
ab3a33-d4014e-5c4f7ada-0215,c2736a-b2c006-16a3f118-721b,today-17:2847,-,-,Creation,System,10.137.128.69,BER-SIM700-LINE1,High,"A ""HIGH"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 2 asset(s) at the Berlin site.",Open,New,
0482d9-a4e4fc-0a3d039e-75ce,c2736a-b2c006-16a3f118-721b,today-15:2847,Complete,New,Closing ticket,Samuel Willis,"10.137.128.69, 10.137.128.73","BER-SIM700-LINE1, BER-SIM700-LINE2",High,"A ""HIGH"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 2 asset(s) at the Berlin site.",Closed,Complete,
9cd531-55c94c-1d6d9df5-3fe5,1686b5-4f2dfe-86a4553e-33a3,today-23:35045,-,-,Creation,System,10.137.128.19,BER-WONDERW-MES01,High,"The server (BER-WONDERW-MES01, 10.137.128.19) has unusual decrease in connections.",Open,New,
94a5df-62b318-5ed0adc2-7064,1686b5-4f2dfe-86a4553e-33a3,today-22:35045,Closed,New,Closing Ticket,Samuel Willis,10.137.128.19,BER-WONDERW-MES01,High,"The server (BER-WONDERW-MES01, 10.137.128.19) has unusual decrease in connections.",Closed,Complete,Network cable accidentally unplugged for a few hours.
8676d6-5d0fca-65c9da2e-faa0,364ce2-1172f7-9c754572-83a2,today-6:33843,-,-,Creation,System,10.137.128.20,BER-WONDERW-MES02,High,"Detected network scanning from Internal host (BER-WONDERW-MES02, 10.137.128.20) to Internal IP 10.137.128.11.",Open,New,
efa189-d24807-27115b4f-0928,f8b34d-196d0d-b5483bac-72f0,today-1:200,-,-,Creation,System,128.229.4.2,DUB-CISCOASA-EXTFW,Info,Detected network scanning from External host 221.176.176.126 to External IP 128.229.4.2.,Open,New,
485e6b-bdfe3a-f63bf841-8f93,df7ac9-6c377c-6620679f-d7ce,today-30:57165,-,-,Creation,System,10.128.30.11,DUB-DELTAV-APP01,Critical,Detected network scanning from Internal host 10.128.30.11 to Internal IP 10.128.30.38.,Open,New,
2af65b-2fe336-321efeba-796b,df7ac9-6c377c-6620679f-d7ce,today-27:77165,Closed,In Progress,Closing Ticket,Morgan Depp,10.128.30.11,DUB-DELTAV-APP01,Critical,Detected network scanning from Internal host 10.128.30.11 to Internal IP 10.128.30.38.,Closed,Complete,Site lead cleared as not malicious
a083ba-427911-bf9f2a51-f19a,df7ac9-6c377c-6620679f-d7ce,today-29:2165,In Progress,New,Response Status,Morgan Depp,10.128.30.11,DUB-DELTAV-APP01,Critical,Detected network scanning from Internal host 10.128.30.11 to Internal IP 10.128.30.38.,Open,In Progress,
28e12f-60b4cc-6881994d-1a49,f78a84-643565-df0e2eae-5327,today-4:32110,-,-,Creation,System,10.128.30.14,DUB-DELTAV-APP04,Medium,"A significant increase of denied internal network connections has been detected coming from Internal server (DUB-DELTAV-APP04, 10.128.30.14) at the Dublin site while attempting to communicate with External device.",Open,New,
a4f625-118686-45d818cb-d723,f78a84-643565-df0e2eae-5327,today-4:45000,Closed,Open,Closing Ticket,Administrator,10.128.30.14,DUB-DELTAV-APP04,Medium,"A significant increase of denied internal network connections has been detected coming from Internal server (DUB-DELTAV-APP04, 10.128.30.14) at the Dublin site while attempting to communicate with External device.",Closed,Complete,
ba64e7-a99ecd-3c1e8c52-05d9,f78a84-643565-df0e2eae-5327,today-4:50000,Complete,In Progress,Response Status,Administrator,10.128.30.14,DUB-DELTAV-APP04,Medium,"A significant increase of denied internal network connections has been detected coming from Internal server (DUB-DELTAV-APP04, 10.128.30.14) at the Dublin site while attempting to communicate with External device.",Closed,Complete,
73efa0-c8cfdf-d041e36a-5807,f78a84-643565-df0e2eae-5327,today-4:35000,DUB-DELTAV-APP04:10.128.30.14:082b06-5c9bd1-6f6f68e7-41cc:Low:DMZ:Risk Accepted,DUB-DELTAV-APP04:10.128.30.14:082b06-5c9bd1-6f6f68e7-41cc:Low:DMZ:New,Asset Status,Administrator,10.128.30.14,DUB-DELTAV-APP04,Medium,"A significant increase of denied internal network connections has been detected coming from Internal server (DUB-DELTAV-APP04, 10.128.30.14) at the Dublin site while attempting to communicate with External device.",Closed,Complete,
70eed0-265a76-0ce08f20-ff97,efc2ce-c9adf3-898cf9d2-aad9,today-270:57302,Complete,New,Closing ticket,Harrison Cruise,10.128.30.20,DUB-EMPOWER3-APP01,Critical,A Critical vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects DUB-EMPOWER3-APP01.,Closed,Complete,Risk Accepted
8597a8-1704b2-fda39590-eede,efc2ce-c9adf3-898cf9d2-aad9,today-365:300,-,-,Creation,System,10.128.30.20,DUB-EMPOWER3-APP01,Critical,A Critical vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects DUB-EMPOWER3-APP01.,Open,New,
e84c3e-cbc88f-87020e81-9b9d,476bc2-e88861-252ac89e-de3a,today-1:600,-,-,Creation,System,10.128.30.20,DUB-EMPOWER3-APP01 ,Medium,The Firewall DUB-EMPOWER3-APP01 (10.128.30.20) has communicated to a new device: DUB-HMI01-LINE3 (10.128.30.47).,Open,New,
be747c-fe1267-9b3df4c1-c88b,78fa05-51227f-a0fa243c-09de,today-1:200,-,-,Creation,System,10.128.30.20,DUB-EMPOWER3-APP01 ,Medium,Detected network scanning from Internal host 10.128.30.20 to various Internal IPs.,Open,New,
ef83e3-ae509b-0421ac76-d716,fd2108-e91efa-bb960473-a79a,today-11:16808,-,-,Creation,System,10.128.30.21,DUB-EMPOWER3-APP02,Medium,The server DUB-EMPOWER3-APP02 (10.128.30.21) has not communicated in over 30 days.,Open,New,
a9c703-edc286-8d94aa26-0659,fd2108-e91efa-bb960473-a79a,today-3:63745,Closed,Open,Closing Ticket,Morgan Depp,10.128.30.21,DUB-EMPOWER3-APP02,Medium,The server DUB-EMPOWER3-APP02 (10.128.30.21) has not communicated in over 30 days.,Closed,Complete,
