category,description
Social Media,"Social Media platforms like Facebook, Twitter, Instagram, etc."
Adult Content,"Adult content related to sex, porn, nudity, etc"
Gambling,Content rerlated to gambling
Drugs,"Content related to drrugs, paraphernalia, etc"
Anonymizer,"Sites related to anonymous use via anonymizers, proxies, etc"
Hacking,"Sites related to hacking activity like password cracking, malicious software, illegal tools, etc"
Hate/Extremism,"Sites that promote hate, extremism, or militancy"
Violence,"Sites that promote, show, or feature violence"
Weapons,"Sites that promote the use, production, or distribution of weapons or explosives"
Games,Content rerlated to games or gaming
