tag_name,register_address,kepware_location
Travel_Demo.MicroLogix1400.Access Denied,S:1/14,Travel_Demo
Travel_Demo.MicroLogix1400.Comms Active,S:1/7,Travel_Demo
Travel_Demo.MicroLogix1400.Communicated Active,S:33/4,Travel_Demo
Travel_Demo.MicroLogix1400.Control Register Error,S:5/2,Travel_Demo
Travel_Demo.MicroLogix1400.DTR Force Bit,S:33/15,Travel_Demo
Travel_Demo.MicroLogix1400.FIRMWARE DEMO,F8:0,Travel_Demo
Travel_Demo.MicroLogix1400.Forces Enabled,S:1/5,Travel_Demo
Travel_Demo.MicroLogix1400.Forces Installed,S:1/6,Travel_Demo
Travel_Demo.MicroLogix1400.I/O Event Interrupt Time,S:44,Travel_Demo
Travel_Demo.MicroLogix1400.I/O Interrupt Enabled 1,S:27,Travel_Demo
Travel_Demo.MicroLogix1400.I/O Interrupt Enabled 2,S:28,Travel_Demo
Travel_Demo.MicroLogix1400.I/O Interrupt Executing,S:32,Travel_Demo
Travel_Demo.MicroLogix1400.I/O Interrupt Pending 1,S:25,Travel_Demo
Travel_Demo.MicroLogix1400.I/O Interrupt Pending 2,S:26,Travel_Demo
Travel_Demo.MicroLogix1400.Incoming Command Pending,S:33/0,Travel_Demo
Travel_Demo.MicroLogix1400.Index Register,S:24,Travel_Demo
Travel_Demo.MicroLogix1400.Major Error Fault Code,S:6,Travel_Demo
Travel_Demo.MicroLogix1400.Major Error Halt,S:1/13,Travel_Demo
Travel_Demo.MicroLogix1400.Max Scan Time,S:22,Travel_Demo
Travel_Demo.MicroLogix1400.Memory Module Password Mismatch,S:5/9,Travel_Demo
Travel_Demo.MicroLogix1400.Mode Bit 0,S:1/0,Travel_Demo
Travel_Demo.MicroLogix1400.Mode Bit 1,S:1/1,Travel_Demo
Travel_Demo.MicroLogix1400.Mode Bit 2,S:1/2,Travel_Demo
Travel_Demo.MicroLogix1400.Mode Bit 3,S:1/3,Travel_Demo
Travel_Demo.MicroLogix1400.Mode Bit 4,S:1/4,Travel_Demo
Travel_Demo.MicroLogix1400.Online Edit Status 1,S:33/11,Travel_Demo
Travel_Demo.MicroLogix1400.Online Edit Status 2,S:33/12,Travel_Demo
Travel_Demo.MicroLogix1400.OS FRN,S:59,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Alarm PB,I:0/0,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Demo PB,I:0/1,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Pump1 Auto,I:0/2,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Pump1 Hand,I:0/3,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Pump2 Auto,I:0/4,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Pump2 Hand,I:0/5,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Valve1 PB,I:0/6,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Valve2 PB,I:0/7,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Valve3 PB,I:0/8,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Valve4 PB,I:0/9,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Valve5 PB,I:0/10,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Inputs.Digital Inputs.Valve6 PB,I:0/11,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Alarm_Output,O:0/0,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Blue_Demo_Light,O:0/1,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.P1_Output,O:0/2,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.P2_Output,O:0/3,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Vlv1_Light,O:0/4,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Vlv2_Light,O:0/5,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Vlv3_Light,O:0/6,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Vlv4_Light,O:0/7,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Vlv5_Light,O:0/8,Travel_Demo
Travel_Demo.MicroLogix1400.Digital Outputs.Digital Outputs.Vlv6_Light,O:0/9,Travel_Demo
Travel_Demo.MicroLogix1400.Tank Data.Tank Data.Tank1 Height,N10:0,Travel_Demo
Travel_Demo.MicroLogix1400.Tank Data.Tank Data.Tank1 Temp,N10:1,Travel_Demo
Travel_Demo.MicroLogix1400.Tank Data.Tank Data.Tank2 Height,N10:2,Travel_Demo
Travel_Demo.MicroLogix1400.Tank Data.Tank Data.Tank2 Temp,N10:3,Travel_Demo
AB-ML.ML1100.Access Denied,S:1/14,McLean_Local
AB-ML.ML1100.Comms Active,S:1/7,McLean_Local
AB-ML.ML1100.Communicate Active,S:33/4,McLean_Local
AB-ML.ML1100.Communicate Servicing Selection,S:33/4,McLean_Local
AB-ML.ML1100.Control Register Error,S:5/2,McLean_Local
AB-ML.ML1100.DTR Force Bit,S:33/15,McLean_Local
AB-ML.ML1100.FIRMWARE DEMO,F8:0,McLean_Local
AB-ML.ML1100.Firmware_Revision,S:59,McLean_Local
AB-ML.ML1100.Force Enabled,S:1/5,McLean_Local
AB-ML.ML1100.Forces Installed,S:1/6,McLean_Local
AB-ML.ML1100.I/O Event Interrupt Time,S:44,McLean_Local
AB-ML.ML1100.I/O Interrupt Enabled 1,S:27,McLean_Local
AB-ML.ML1100.I/O Interrupt Enabled 2,S:28,McLean_Local
AB-ML.ML1100.I/O Interrupt Executing,S:32,McLean_Local
AB-ML.ML1100.I/O Interrupt Pending 1,S:25,McLean_Local
AB-ML.ML1100.I/O Interrupt Pending 2,S:26,McLean_Local
AB-ML.ML1100.Incoming Command Pending,S:33/0,McLean_Local
AB-ML.ML1100.Index Register,S:24,McLean_Local
AB-ML.ML1100.Major Err Detected Executing UserFault Routine,S:5/3,McLean_Local
AB-ML.ML1100.Major Error Fault Code,S:6,McLean_Local
AB-ML.ML1100.Major Error Halt,S:1/13,McLean_Local
AB-ML.ML1100.Memory Module Data File Overwrite Protection,S:36/10,McLean_Local
AB-ML.ML1100.Memory Module Password Mismatch,S:5/9,McLean_Local
AB-ML.ML1100.Message Reply Pending,S:33/1,McLean_Local
AB-ML.ML1100.Mode Bit 0,S:1/0,McLean_Local
AB-ML.ML1100.Mode Bit 1,S:1/1,McLean_Local
AB-ML.ML1100.Mode Bit 2,S:1/2,McLean_Local
AB-ML.ML1100.Mode Bit 3,S:1/3,McLean_Local
AB-ML.ML1100.Mode Bit 4,S:1/4,McLean_Local
AB-ML.ML1100.Online Edit Status 1,S:33/11,McLean_Local
AB-ML.ML1100.Online Edit Status 2,S:33/12,McLean_Local
AB-ML.ML1100.OS FRN,S:59,McLean_Local
AB-ML.ML1100.Outgoing Message Command Pending,S:33/2,McLean_Local
AB-ML.ML1100.Power Override at Powerup,S:1/8,McLean_Local
AB-ML.ML1100.Analog Inputs.Analog Inputs.Pot 1,N7:1,McLean_Local
AB-ML.ML1100.Analog Inputs.Analog Inputs.Pot 2,N7:0,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Distribution Alarm Button,I:0/16,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Emergency Stop Button,I:0/19,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Generator Auto,I:0/18,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Generator Run,I:0/17,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Treatment Alarm Button,I:0/15,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 1,I:0/7,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 2,I:0/8,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 3,I:0/9,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 4,I:0/10,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 5,I:0/11,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 6,I:0/12,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 7,I:0/13,McLean_Local
AB-ML.ML1100.Digital Inputs.Digital Inputs.Valve Button 8,I:0/14,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Distribution Alarm,O:0/9,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Generator Power,O:0/11,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Grid Power,O:0/10,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Treatment Alarm,O:0/8,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 1,O:0/0,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 2,O:0/1,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 3,O:0/2,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 4,O:0/3,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 5,O:0/4,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 6,O:0/5,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 7,O:0/6,McLean_Local
AB-ML.ML1100.Digital Outputs.Digital Outputs.Valve 8,O:0/7,McLean_Local
AB-ML.ML1400.Access Denied,S:1/14,McLean_Local
AB-ML.ML1400.Comms Active,S:1/7,McLean_Local
AB-ML.ML1400.Communicate Active,S:33/4,McLean_Local
