_time,change_time,comment,creation_time,description,dest_user_id,dest_user_name,last_modified_time,priority,search_name,severity,src_ip,src_user_id,src_user_name,status,ticket_type,ticket_id,triggering_event,asset_id
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0400,test data,1,Bob,2018-07-18T11:14:44.000-0400,Critical,[AL-9001] Device Has Not Communicated in Over 7 Days (V0R1),Critical,10.0.0.1,2,Tom,Closed,alert,1,This is the triggering event,++qeJC/i0sk=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0401,test data,2,Bob,2018-07-18T11:14:44.000-0401,High,[AL-9002] Device Has Not Communicated in Over 30 Days (V0R1),High,10.0.0.2,3,Tom,In Progress,alert,2,This is the triggering event,/FQbyeYhJYI=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0402,test data,3,Bob,2018-07-18T11:14:44.000-0402,Medium,[AL-9003] PLC Status Mode Changed to “Remote” (V0R2),Medium,10.0.0.3,4,Tom,In Progress,alert,3,This is the triggering event,/wX4ppD/Wr0=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0403,test data,4,Bob,2018-07-18T11:14:44.000-0403,Low,[AL-9004] A Force Changed (V0R2),Low,10.0.0.4,5,Tom,New,alert,4,This is the triggering event,++qeJC/i0sk=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0404,test data,5,Bob,2018-07-18T11:14:44.000-0404,Info,[AL-9005] PLC Logic Updates Made (V0R2),Info,10.0.0.5,6,Tom,New,alert,5,This is the triggering event,/FQbyeYhJYI=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0405,test data,6,Bob,2018-07-18T11:14:44.000-0405,High,[AL-9006] PLC Fault (V0R2),High,10.0.0.6,7,Tom,New,alert,6,This is the triggering event,/wX4ppD/Wr0=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0406,test data,7,Bob,2018-07-18T11:14:44.000-0406,High,[AL-9007] PLC firmware was changed to a newer version (V0R1),High,10.0.0.7,8,Tom,New,alert,7,This is the triggering event,++qeJC/i0sk=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0407,test data,8,Bob,2018-07-18T11:14:44.000-0407,High,[AL-9008] PLC firmware was reverted to an older version (V0R1),High,10.0.0.8,9,Tom,New,alert,8,This is the triggering event,/FQbyeYhJYI=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0408,test data,9,Bob,2018-07-18T11:14:44.000-0408,High,[AL-9009] PLC status mode changed to “Program” (V0R2),High,10.0.0.9,10,Tom,New,alert,9,This is the triggering event,/wX4ppD/Wr0=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0400,test data,1,Bob,2018-07-18T11:14:44.000-0400,Critical,[AL-9001] Device Has Not Communicated in Over 7 Days (V0R1),Critical,10.0.0.1,2,Tom,In Progress,alert,1,This is the triggering event,
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0401,test data,2,Bob,2018-07-18T11:14:44.000-0401,High,[AL-9002] Device Has Not Communicated in Over 30 Days (V0R1),High,10.0.0.2,3,Tom,In Progress,alert,2,This is the triggering event,
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0402,test data,3,Bob,2018-07-18T11:14:44.000-0402,Medium,[AL-9003] PLC Status Mode Changed to “Remote” (V0R2),Medium,10.0.0.3,4,Tom,In Progress,alert,3,This is the triggering event,++qeJC/i0sk=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0403,test data,4,Bob,2018-07-18T11:14:44.000-0403,Low,[AL-9004] A Force Changed (V0R2),Low,10.0.0.4,5,Tom,In Progress,alert,4,This is the triggering event,/FQbyeYhJYI=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0404,test data,5,Bob,2018-07-18T11:14:44.000-0404,Info,[AL-9005] PLC Logic Updates Made (V0R2),Info,10.0.0.5,6,Tom,In Progress,alert,5,This is the triggering event,/wX4ppD/Wr0=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0405,test data,6,Bob,2018-07-18T11:14:44.000-0405,High,[AL-9006] PLC Fault (V0R2),High,10.0.0.6,7,Tom,In Progress,alert,6,This is the triggering event,6XMQi34Y5oQ=
2018-07-18T11:14:44.000-0400,2018-07-18T11:14:44.000-0400,test data,2018-07-18T11:14:44.000-0406,test data,7,Bob,2018-07-18T11:14:44.000-0406,High,[AL-9007] PLC firmware was changed to a newer version (V0R1),High,10.0.0.7,8,Tom,In Progress,alert,7,This is the triggering event,9/Wf9vYxltQ=
