check_name,limit_classic,limit_victoria,limit_victoria_core,limit_victoria_premium
users_admin_users,10,10,,
search_wlm_limits,100,100,,
search_itsi_aggregation_limits,100,100,,
search_itsi_alert_ingest_limits,100000,100000,,
search_itsi_correlation_search_limits,100,100,,
licensing_premium_app_balanced,20,20,,
search_bundle_size,3000,3000,,
indexing_index_counts,400,1000,,
search_itsi_service_template_limits,1000,1000,,
search_itsi_service_limits,5000,5000,,
search_itsi_concurrency_limit,150,150,,
search_es_correlation_rules,60,400,,
search_es_concurrency_limit,78,150,,
search_es_dma_limits,9,20,,
indexing_data_retention_check,90,90,,
search_core_concurrency_limit,400,400,,
search_search_concurrency,,,390,78
search_search_concurrency_stats,,,390,78
indexing_blocked_queue_status,30,30,,
