_time,process_path,process_name,dest,user,action,count,process,storedTime
946684800000,sample,sample,sample,sample,sample,sample,sample,946684800000
1608751800,"C:\Windows","SECOH-QAD.exe","DESKTOP-I6468Q2",NETWORK,allowed,1,"SECOH-QAD.exe",1608753033
1608760800,"C:\Program Files (x86)\KMSPico 10.0.6","KMSPico10.0.9__8173_il18577.exe",sygahertz,sydvishus,allowed,18,"KMSPico10.0.9__8173_il18577.exe",1608761356
1608760800,"\\novax\pub\software\os\Windows\KMSPico 10.0.9","KMSPico 10.0.9.exe",sygahertz,sydvishus,allowed,3,"KMSPico 10.0.9.exe",1608761339
1608762600,"C:\Program Files (x86)\KMSPico 10.0.6","KMSPico10.0.9__8173_il18577.exe","DESKTOP-I6468Q2",roman,allowed,18,"KMSPico10.0.9__8173_il18577.exe",1608763909
1608762600,"\\192.168.1.11\pub\software\os\Windows\KMSPico 10.0.9\KMSPico 10.0.9","KMSPico 10.0.9.exe","DESKTOP-I6468Q2",roman,allowed,3,"KMSPico 10.0.9.exe",1608763892
1608777000,"C:\Windows\System32","svchost.exe","DESKTOP-I6468Q2",SYSTEM,allowed,1,"svchost.exe",1608778425
1608919200,"C:\Program Files (x86)\KMSPico 10.0.6","KMSPico10.0.9__8173_il18577.exe","DESKTOP-I6468Q2",roman,allowed,6,"KMSPico10.0.9__8173_il18577.exe",1608920496
1608919200,"\\192.168.1.11\pub\software\os\Windows\KMSPico 10.0.9\KMSPico 10.0.9","KMSPico 10.0.9.exe","DESKTOP-I6468Q2",roman,allowed,3,"KMSPico 10.0.9.exe",1608920491
1608919200,"C:\Program Files (x86)\KMSPico 10.0.6","KMSPico10.0.9__8173_il18577.exe","DESKTOP-I6468Q2",roman,allowed,18,"KMSPico10.0.9__8173_il18577.exe",1608920506
1608921000,"C:\Program Files (x86)\KMSPico 10.0.6","KMSPico10.0.9__8173_il18577.exe",sygahertz,sydvishus,allowed,11,"KMSPico10.0.9__8173_il18577.exe",1608921335
1608921000,"\\novax\pub\software\os\Windows\KMSPico 10.0.9\KMSPico 10.0.9","KMSPico 10.0.9.exe",sygahertz,sydvishus,allowed,3,"KMSPico 10.0.9.exe",1608921308
1608928200,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1608929423
1608928200,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,2,"RemoteDLLInjector64.exe",1608929595
1608933600,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1608934006
1608937200,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","DESKTOP-I6468Q2",roman,allowed,1,"gears5.exe",1608937397
1609000200,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1609000263
1609003800,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1609003893
