ethertype,name
0x00000800,IPv4
0x00000806,ARP
0x000022F3,TRILL
0x000022F4,L2-IS-IS
0x00008035,RARP
0x00008100,C-TAG
0x0000814C,SNMP
0x00008181,"STP, HIPPI-ST"
0x000086DD,IPv6
0x0000876C,IP AS
0x00008808,EPON
0x0000880B,PPP
0x00008847,MPLS
0x00008848,MPLS
0x00008861,MCAP
0x00008863,PPPoE
0x00008864,PPPoE
0x0000888E,802.1x
0x000088A8,S-Tag
0x000088CC,LLDP
0x8800000,MACSec
0x880000000,PBB Tag
0x000088F5,MVRP
0x000088F6,MMRP
0x0000890D,FRRR
0x00008929,802.1Qbe
0x0000893B,Trill
0x00008940,802.1Qbg
0x00008946,TRILL
,
,
,
,
,
,
,
,
,
