repository_full_name,pusher_id,pull_request_id,action,ref,release_id,issue_state,forkee_id,repository_watchers_count,commits_0_id,commits_0_author_username,commits_0_added,commits_0_modified,commits_0_removed,commits_0_message,before,after,commits_0_url,commits_1_url,commits_2_url,commits_3_url,commits_4_url,commits_0_timestamp,_time,pusher_login,sender_username,issue_created_at,issue_id,issue_title,issue_body,comment_id,comment_body,issue_updated_at,comment_html_url,pull_request_user_username,pull_request_state,pull_request_base_repo_updated_at,pull_request_number,pull_request_title,pull_request_merged_at,forkee_name,forkee_description,forkee_owner_username,release_created_at,release_name,release_author_username,release_body,repository_updated_at,repository_size,repository_created_at
splunk/DS,,,opened,,,open,,2,,,,,,,,,,,,,,,1592923985,,vikram,0001-01-01T00:00:00Z,207,UF issue,UF is not working.,,,0001-01-01T00:00:00Z,,,,,,,,,,,,,,,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
splunk/DS,,,closed,,,closed,,2,,,,,,,,,,,,,,,1592923895,,vikram,2020-06-23T20:21:02+05:30,206,HF not working,Closed #45,,,2020-06-23T20:21:02+05:30,,,,,,,,,,,,,,,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
splunk/DS,,,created,,,open,,2,,,,,,,,,,,,,,,1592923895,,vikram,2020-06-23T20:21:02+05:30,206,HF not working,Solved,233,Solved,2020-06-23T20:21:02+05:30,http://repo.avotrix.com:3000/splunk/DS/issues/45#issuecomment-233,,,,,,,,,,,,,,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
splunk/DS,,,opened,,,open,,2,,,,,,,,,,,,,,,1592923862,,vikram,0001-01-01T00:00:00Z,206,HF not working,HF is not sending logs,,,0001-01-01T00:00:00Z,,,,,,,,,,,,,,,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
splunk/DS,23,,,refs/heads/master,,,,2,ae02fd8ef770f3cd481736383649fda6a97bbb53,vikram,transforms.conf,,,"Added transforms.conf
New conf added",9c05ee904a4be9ffa9e2e862a6803a9655619a2b,ae02fd8ef770f3cd481736383649fda6a97bbb53,http://repo.avotrix.com:3000/splunk/DS/commit/ae02fd8ef770f3cd481736383649fda6a97bbb53,,,,,2020-06-23T20:17:40+05:30,1592923681,vikram,vikram,,,,,,,,,,,,,,,,,,,,,,2020-06-17T20:23:17+05:30,52984832,2019-11-14T01:30:08+05:30
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,14,f62347478b7b1c67cb484ef1414749f544e8bdb7,diksha,,,,"Merge branch \'diksha\' of Avotrix/Splunk-Deployment into master
verified",dee1b3679952cacce5ad4c3896611a4f56564c63,f62347478b7b1c67cb484ef1414749f544e8bdb7,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/f62347478b7b1c67cb484ef1414749f544e8bdb7,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/c5a18a1256b4d544dd33d7e201a0f92d4be84140,,,,2020-06-23T03:04:02+05:30,1592861643,Avotrix,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-23T03:01:10+05:30,80475136,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,189,closed,,,,,14,,,,,,,,,,,,,,,1592861643,,diksha,,,,,,,,,diksha,closed,2020-06-23T03:01:10+05:30,143,w3c new sourcetype,2020-06-23T03:04:02.9589086+05:30,,,,,,,,2020-06-23T03:01:10+05:30,80475136,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,15,,,refs/heads/diksha,,,,14,c5a18a1256b4d544dd33d7e201a0f92d4be84140,diksha,,deployment-apps/SMTP/default/inputs.conf,deployment-apps/SMTP/default/props.conf,new sourcetype for smtp defined,5bf39bda937380fb5819b9f6097882237cbd6a77,c5a18a1256b4d544dd33d7e201a0f92d4be84140,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/c5a18a1256b4d544dd33d7e201a0f92d4be84140,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/dee1b3679952cacce5ad4c3896611a4f56564c63,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/a4083aa37d1434afef993d9fe1168d0c21ee3557,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/7c5c502d5ff302f299336d1f03e996a960a96935,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/d0b6a08bd764e249ca2ee1999d9cfaeb4f153b8a,2020-06-23T02:59:16+05:30,1592861471,diksha,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-19T23:38:51+05:30,80475136,2019-12-19T02:18:29+05:30
splunk/DS,23,,,refs/heads/master,,,,2,8276d553003820f6b8d7bfee66021ef230e328ff,vikram,,alfa.conf,,"updated alfa.conf
Modified conf file",4078582be7cb24487499d9542711061961000eba,8276d553003820f6b8d7bfee66021ef230e328ff,http://repo.avotrix.com:3000/splunk/DS/commit/8276d553003820f6b8d7bfee66021ef230e328ff,,,,,2020-06-17T20:21:33+05:30,1592405493,vikram,vikram,,,,,,,,,,,,,,,,,,,,,,2020-06-17T20:19:12+05:30,52982784,2019-11-14T01:30:08+05:30
splunk/DS,23,,,refs/heads/master,,,,2,4078582be7cb24487499d9542711061961000eba,vikram,,data.conf,,"updated data.conf
Updated conf file",bcf6d980964a07e86f03c4c0270714178ea88764,4078582be7cb24487499d9542711061961000eba,http://repo.avotrix.com:3000/splunk/DS/commit/4078582be7cb24487499d9542711061961000eba,,,,,2020-06-17T20:19:11+05:30,1592405351,vikram,vikram,,,,,,,,,,,,,,,,,,,,,,2020-06-17T19:43:40+05:30,52982784,2019-11-14T01:30:08+05:30
