app,transport,port_low,port_high
Modbus TCP,TCP,502,502
BACNet,TCP,47808,47808
Foundation Fieldbus HSE,UDP,1089,1089
Foundation Fieldbus HSE,TCP,1089,1089
Foundation Fieldbus HSE,UDP,1090,1090
Foundation Fieldbus HSE,TCP,1090,1090
Foundation Fieldbus HSE,UDP,1091,1091
Foundation Fieldbus HSE,TCP,1091,1091
Foxboro/Invensys Foxboro DCS Informix,UDP,1541,1541
Foxboro/Invensys Foxboro DCS Informix,TCP,1541,1541
EtherNet/IP,UDP,2222,2222
OPC UA Discovery Server,TCP,3480,3480
OPC UA Client,TCP,4840,4840
Emerson/Fisher ROC Plus,UDP,4000,4000
Emerson/Fisher ROC Plus,TCP,4000,4000
Telvent OASyS DNA,UDP,5050,5051
Telvent OASyS DNA,TCP,5052,5052
Telvent OASyS DNA,TCP,5065,5065
OSIsoft PI Server,TCP,5450,5450
OMRON FINS protocol,UDP,9600,9600
OMRON FINS protocol,TCP,9600,9600
ABB Ranger 2003,TCP,10307,10307
ABB Ranger 2003,TCP,10311,10311
ABB Ranger 2003,TCP,10364,10365
ABB Ranger 2003,TCP,10407,10407
ABB Ranger 2003,TCP,10409,10410
ABB Ranger 2003,TCP,10412,10412
ABB Ranger 2003,TCP,10414,10415
ABB Ranger 2003,TCP,10428,10428
ABB Ranger 2003,TCP,10431,10432
ABB Ranger 2003,TCP,10447,10447
ABB Ranger 2003,TCP,10449,10450
ABB Ranger 2003,TCP,12316,12316
ABB Ranger 2003,TCP,12645,12645
ABB Ranger 2003,TCP,12647,12648
ABB Ranger 2003,TCP,13722,13722
Johnson Controls Metasys N1,UDP,11001,11001
Johnson Controls Metasys N1,TCP,11001,11001
Telvent OASyS DNA,TCP,12135,12137
ABB Ranger 2003,TCP,13724,13724
ABB Ranger 2003,TCP,13782,13783
Iconic Genesis32 GenBroker (TCP),TCP,18000,18000
DNP3,UDP,20000,20000
DNP3,TCP,20000,20000
PROFINET,UDP,34962,34962
PROFINET,TCP,34962,34962
PROFINET,UDP,34963,34963
PROFINET,TCP,34963,34963
PROFINET,UDP,34964,34964
PROFINET,TCP,34964,34964
EtherCAT,UDP,34980,34980
ABB Ranger 2003,TCP,38589,38589
ABB Ranger 2003,TCP,38593,38593
SNC GENe,TCP,38000,38001
SNC GENe,TCP,38011,38012
SNC GENe,TCP,38014,38015
SNC GENe,TCP,38200,38200
SNC GENe,TCP,38210,38210
SNC GENe,TCP,38301,38301
SNC GENe,TCP,38400,38400
ABB Ranger 2003,TCP,38600,38600
SNC GENe,TCP,38700,38700
ABB Ranger 2003,TCP,38971,38971
ABB Ranger 2003,TCP,39129,39129
ABB Ranger 2003,TCP,39278,39278
EtherNet/IP,UDP,44818,44818
EtherNet/IP,TCP,44818,44818
Foxboro/Invensys Foxboro DCS AIMAPI,UDP,45678,45678
Foxboro/Invensys Foxboro DCS AIMAPI,TCP,45678,45678
BACnet/IP,UDP,47808,47808
Siemens Spectrum Power TG,TCP,50001,50016
Siemens Spectrum Power TG,TCP,50018,50020
Siemens Spectrum Power TG,UDP,50020,50021
Siemens Spectrum Power TG,TCP,50025,50028
Siemens Spectrum Power TG,TCP,50110,50111
FL-net Reception,UDP,55000,55002
FL-net Transmission,UDP,55003,55003
Foxboor/Invensys Foxboro DCS FoxAPI,UDP,55555,55555
Foxboor/Invensys Foxboro DCS FoxAPI,TCP,55555,55555
Telvent OASyS DNA,TCP,56001,56099
SNC GENe,TCP,62900,62900
SNC GENe,TCP,62911,62911
SNC GENe,TCP,62924,62924
SNC GENe,TCP,62930,62930
SNC GENe,TCP,62938,62938
SNC GENe,TCP,62956,62957
SNC GENe,TCP,62963,62963
SNC GENe,TCP,62981,62982
SNC GENe,TCP,62985,62985
SNC GENe,TCP,62992,62992
SNC GENe,TCP,63012,63012
SNC GENe,TCP,63027,63036
SNC GENe,TCP,63041,63041
SNC GENe,TCP,63075,63075
SNC GENe,TCP,63079,63079
SNC GENe,TCP,63082,63082
SNC GENe,TCP,63088,63088
SNC GENe,TCP,63094,63094
SNC GENe,TCP,65443,65443
