display_name,id,description,type,is_enabled,mode,condition,configurations,lifecycle_details,lifecycle_state,policies,supported_modes,time_created,time_update
Delete IAM Policy,DELETE_IAM_POLICY,Deletes IAM policy giving too many privileges,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,['Allow service cloudguard to manage policies in {{location}}'],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Delete Internet Gateway,DELETE_INTERNET_GATEWAY,Deletes Internet Gateway associated with a VCN,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,"['Allow service cloudguard to manage internet-gateways in {{location}}', 'Allow service cloudguard to manage vcns in {{location}}', 'Allow service cloudguard to manage route-tables in {{location}}']",,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Delete Public IP(s),DELETE_PUBLIC_IP,Deletes Public IPs of Oracle Cloud Infrastructure Compute Instance,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,"['Allow service cloudguard to manage private-ips in {{location}}', 'Allow service cloudguard to manage public-ips in {{location}}']",,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Disable IAM User,DISABLE_IAM_USER,Disables IAM user's capabilities,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,['Allow service cloudguard to manage users in tenancy'],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Enable DB Backup,ENABLE_DB_BACKUP,Enables automatic database backup to Oracle Cloud Infrastructure Object Storage,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""autoBackupWindowConfig"",  ""name"": ""Backup time window (Slot)"",  ""value"": null}, {  ""config_key"": ""recoveryWindowInDaysConfig"",  ""name"": ""Backup retention period in days"",  ""value"": null}, {  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,"['Allow service cloudguard to manage backups in {{location}}', 'Allow service cloudguard to manage databases in {{location}}']",,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Cloud Event,EVENT,Publishes the problem details to Oracle Cloud Infrastructure Events Service,NOTIFICATION,True,AUTOACTION,,[],,ACTIVE,[],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Make Bucket Private,MAKE_BUCKET_PRIVATE,Changes the Object Storage Bucket's visibility from public to private,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,['Allow service cloudguard to manage buckets in {{location}}'],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Rotate Vault Key,ROTATE_VAULT_KEY,Rotates Oracle Cloud Infrastructure Vault Key to create new key version,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,['Allow service cloudguard to manage keys in {{location}}'],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Stop Compute Instance,STOP_INSTANCE,Gracefully shuts down the Oracle Cloud Infrastructure Compute Instance,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,['Allow service cloudguard to manage instance-family in {{location}}'],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
Terminate Compute Instance,TERMINATE_INSTANCE,Preserves boot volume and terminates the Oracle Cloud Infrastructure Compute Instance,REMEDIATION,True,USERACTION,,"[{  ""config_key"": ""isPostRemediateNotifyEnabled"",  ""name"": ""Post Remediation Notification"",  ""value"": ""true""}]",,ACTIVE,['Allow service cloudguard to manage instance-family in {{location}}'],,2021-06-25 00:04:44.801000+00:00,2021-06-25 00:04:44.801000+00:00
