cs2,policy
0,Compromised executable file
1,New startup program
2,Host file modification
3,Program library injection
4,New Internet Explorer plugin
5,Internet Explorer setting modification
6,Shell modification
7,New service
8,Security policy modification
9,Firewall policy modification
10,System file modification
11,Duplicated system file
13,Layered service provider
14,System process modification
16,Suspicious behavior
100,Newly encountered programs
200,Unauthorized file encryption
1000,Threat behavior analysis
9999,User-defined policy
