EventType,EventTypeName
1,Process.Start
2,Process.Stop
3,Image.Load
4,Net.Connect
5,Net.Receive
6,Net.Reconnect
7,Net.Retransmit
8,Net.Send
9,Reg.Key.Create
10,Reg.Value.Write
11,Reg.Delete
12,Reg.Key.Delete
13,Reg.Value.Delete
14,Reg.Key.SecurityChange
15,Reg.Key.Rename
16,Reg.Key.SetInformation
17,Reg.Key.Load
18,Reg.Key.Unload
19,Reg.Key.Restore
20,Reg.Key.Save
21,Reg.Key.Replace
22,Reg.Any
23,Dns.Query
24,Process.CreateRemoteThread
25,Process.TamperingEvent
26,Net.Any
27,File.ChangeCreationTime
28,File.RawAccessRead
29,File.Create
30,File.CreateStream
31,File.PipeCreate
32,File.PipeConnected
33,File.Delete
34,File.Rename
35,File.Write
36,File.Read
37,File.SecurityChange
38,Driver.Load
