TriggerType,TriggerTypeDisplayName,Comment
0,EventTrigger,Triggers the task when a specific event occurs.
1,TimeTrigger,Triggers the task at a specific time of day.
2,DailyTrigger,Triggers the task on a daily schedule.
3,WeeklyTrigger,Triggers the task on a weekly schedule.
4,MonthlyTrigger,Triggers the task on a monthly schedule.
5,MonthlyDowTrigger,Triggers the task on a monthly day-of-week schedule.
6,IdleTrigger,Triggers the task when the computer goes into an idle state.
7,RegistrationTrigger,Triggers the task when the task is registered.
8,BootTrigger,Triggers the task when the computer boots.
9,LogonTrigger,Triggers the task when a specific user logs on.
10,UndefinedTrigger,This trigger type is not defined in the documentation.
11,SessionStateChangeTrigger,Triggers the task when a specific user session state changes.
12,CustomTrigger01,
