WnfId,WnfIdDisplayName,DescriptionOrDll,AltDescriptionOrDll
1188063DA3BC3875,WNF_PHNP_SERVICE_INITIALIZED,"BOOL indicating whether the Phone service has been initialized. SDDL comes from phoneCall and ID_CAP_PHONE_2ND_PARTY, ID_CAP_PHONE_INTERNAL and PhoneSvc in %SDXROOT%%\src\src\comms\Packages\CommsPlat\Comms.pkg.xml","BOOL indicating whether the Phone service has been initialized. SDDL comes from phoneCall and voipCall, PhoneSvc in %SDXROOT%\onecoreuap\net\Phone\PhoneService\Service\lib\Microsoft-Windows-Telephony-Phoneservice.wm.xml"
1188063DA3BC4075,WNF_PHNP_SIMSEC_READY,"BOOL indicating whether SimSec is ready to receive requests. SDDL comes from ID_CAP_PHONE_2ND_PARTY, ID_CAP_PHONE_INTERNAL and dwm in %SDXROOT%\src\uxplat\MobileUI\Packages\MobileUI\MobileUI.pkg.xml",""
1188063DA3BC4875,WNF_PHNP_ANNOTATION_ENDPOINT,"Wide string indicating the call annotation provider's RPC endpoint name. SDDL comes from ID_CAP_CALLMESSAGING_FILTER and PhoneSvc in %SDXROOT%\onecoreuap\net\Phone\PhoneService\Service\lib\Microsoft-Windows-Telephony-Phoneservice.wm.xml","Wide string indicating the call annotation provider's RPC endpoint name. SDDL comes from ID_CAP_CALLMESSAGING_FILTER and PhoneSvc in %SDXROOT%\src\comms\Packages\CommsPlat\Comms.pkg.xml"
118F022EA3BC0875,WNF_CLIP_CONTENT_CHANGED,"ClipboardServer.dll","This notification is triggered when contents of the clipboard history change"
118F022EA3BC1835,WNF_CLIP_ROAMING_CLIPBOARD_ENABLED_CHANGED,"This notification is triggered when roaming clipboard enabled/disabled setting value changes",""
118F022EA3BC2835,WNF_CLIP_CLIPBOARD_USERSVC_READY,"Indicates Clipboard User Service is ready",""
118F022EA3BC3035,WNF_CLIP_CLIPBOARD_USERSVC_STOPPED,"Indicates Clipboard User Service has stopped",""
11900B29A3BC5075,WNF_DEVP_ENTERPRISE_ENFORCE_POLICY,"EnterpriseAppMgmtSvc.dll",""
1192063AA3BC0875,WNF_WHTP_WINHTTP_PROXY_DISCOVERED,"A network proxy has been discovered. WinHttpAutoProxySvc can write, NlaSvc can read.",""
1192063AA3BC0875,WNF_WHTP_WINHTTP_PROXY_DISCOVERED,"ncsi.dll",""
1192063AA3BC1075,WNF_WHTP_WINHTTP_PROXY_AUTHENTICATION_REQUIRED,"A proxy has returned a 407 status code.",""
11950D29A3BC0875,WNF_DCSP_POLICIES_UPDATED,"Some value under Policies registry key has been updated",""
11961B3EA3BC0875,WNF_SUPP_ENABLE_ERROR_DETAILS_CACHE,"Enable the Error Details Cache",""
12820D3AA3BC0875,WNF_WCDS_SYNC_WLAN,"State name for starting the WLAN scheduled task.",""
12821A3FA3BC0875,WNF_RTDS_RPC_INTERFACE_TRIGGER_CHANGED,"An RPC service trigger has been added or removed",""
12821A3FA3BC0875,WNF_RTDS_RPC_INTERFACE_TRIGGER_CHANGED,"dab.dll",""
12821A3FA3BC1875,WNF_RTDS_NAMED_PIPE_TRIGGER_CHANGED,"A named pipe service trigger has been added or removed",""
12821A3FA3BC1875,WNF_RTDS_NAMED_PIPE_TRIGGER_CHANGED,"dab.dll",""
1287083AA3BC0875,WNF_WFAS_FIREWALL_NETWORK_CHANGE_READY,"Free network available or not",""
1287083AA3BC0875,WNF_WFAS_FIREWALL_NETWORK_CHANGE_READY,"MPSSVC.dll",""
12870F3AA3BC0875,WNF_WAAS_QUALITY_IMPACT,"WaaS Assessment Impact level for quality update",""
128F0A23A3BC0875,WNF_NDIS_ADAPTER_ARRIVAL,"NDIS finds a network adapter that needs to be configured by NetSetupSvc.",""
128F0A23A3BC0875,WNF_NDIS_ADAPTER_ARRIVAL,"NetSetupSvc.dll",""
128F0A23A3BC1075,WNF_NDIS_CORRUPTED_STORE,"NDIS detects corruption in the binding store.",""
128F0A23A3BC1075,WNF_NDIS_CORRUPTED_STORE,"NetSetupSvc.dll",""
128F1B24A3BC0835,WNF_IUIS_SCALE_CHANGED,"The immersive UI scale has changed for the current session.",""
1294023AA3BC0875,WNF_WLRS_SETTINGS,"Windows or application settings have changed in Live Storage",""
1294023AA3BC1075,WNF_WLRS_USERTILE,"Usertile has changed in Live Storage",""
1294023AA3BC1875,WNF_WLRS_COLLECTIONINTEREST,"Collection interest has changed in Live Storage",""
1295033EA3BC0875,WNF_SMSS_MEMORY_COOLING_COMPATIBLE,"This event triggers when the system has multiple memory channels and memory cooling can be started",""
12960F20A3BC1075,WNF_MAPS_MAPLOADER_PROGRESS,"Current progress of the MapLoader background engine.",""
12960F20A3BC1075,WNF_MAPS_MAPLOADER_PROGRESS,"SettingsHandlers_Maps.dll",""
12960F20A3BC1875,WNF_MAPS_MAPLOADER_STATUS_CHANGE,"mapsupdatetask.dll",""
12960F20A3BC1875,WNF_MAPS_MAPLOADER_STATUS_CHANGE,"The new status of ODML.",""
12960F20A3BC2075,WNF_MAPS_MAPLOADER_PACKAGE_CHANGE,"A map package has been added or removed or repositioned in the list.",""
12960F20A3BC2075,WNF_MAPS_MAPLOADER_PACKAGE_CHANGE,"SettingsHandlers_Maps.dll",""
12960F2EA3BC0875,WNF_CAPS_CENTRAL_ACCESS_POLICIES_CHANGED,"authz.dll","Central Access Policies have been updated"
13810338A3BC0835,WNF_UMGR_SIHOST_READY,"fveskybackup.dll","Shell Infrastructure host is ready."
13810338A3BC1075,WNF_UMGR_USER_LOGIN,"The user was logged in to the system.",""
13810338A3BC1875,WNF_UMGR_USER_LOGOUT,"The user was logged out of the system.",""
