id,serialPrimary,serialSecondary,ipAddr,name,hostname,administrativeState,operativeState,softwareVersion,productType,deviceTypeS,x,y
"1","1452442","4605916","172.17.129.33","New_York_1","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","212","270"
"2","12608608","10444991","172.17.129.34","Paris_2","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","707","-190"
"3","2109028","1120192","172.17.129.35","Israel-HQ_3","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","933","49"
"4","538549","10628777","172.17.129.36","China_4","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","785","344"
"5","12836994","14154725","172.17.129.37","Haifa_5","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","960","261"
"6","2870494","1684784","172.17.129.38","New_Jersey_6","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","380","-174"
"7","3707003","8532011","172.17.129.39","Texas_7","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","132","-44"
"8","16307291","10001313","172.17.129.42","Beer_Sheva_8","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","1129","-298"
"24","3583846","","172.17.129.43","Italy-9","","Unlocked","Available","7.20A.260.012","Hybrid","Mediant 1000","466","388"
"26","","","","NotAudioCodesSBC",\N,"Unlocked","Available","","3rd Party","Third Party","-174","-37"
"63","","","","noname",\N,"Unlocked","Available","","3rd Party","Third Party","-13","-275"
"74","16256224","","172.17.129.15","Rome","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","181","786"
"75","10725168","","172.17.129.16","Venice","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","468","965"
"76","2859435","","172.17.129.17","Milan","","Unlocked","Available","7.20A.260.012","SBC","Mediant VE SBC","754","811"
