"bucket_name","bucket_owner","bytes_sent","error_code",eventtype,host,"http_status",index,key,linecount,"object_size",operation,punct,referrer,"remote_ip","request_id","request_time","request_uri",requester,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timestamp,"tmp_epochtime","total_time","turn_around_time","user_agent","version_id","_raw","_time"
"splunk-mobile","-","-",RequestTimeTooSkewed,,"eventgen-hod",403,main,"AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1250Z_m5awKgqHrBNJRks7.json.gz",2,932,"REST.GET.ACL","-___-___[-]___...____-___----____..____///--////--","-","52.77.250.91","d4187bc2-ee3c-44da-ac72-4ab8ed5f8111","-","PUT /AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1250Z_m5awKgqHrBNJRks7.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636058325,4010,"-","Boto/2.38.0 Python/2.7.9 Darwin/15.3.0","-","-   splunk-mobile   [-]   52.77.250.91    -   d4187bc2-ee3c-44da-ac72-4ab8ed5f8111    REST.GET.ACL    AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1250Z_m5awKgqHrBNJRks7.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1250Z_m5awKgqHrBNJRks7.json.gz HTTP/1.1""   403    RequestTimeTooSkewed    -    932  4010    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Darwin/15.3.0""    -
","2021-11-04T20:38:45.000+0000"
"config-bucket-ap","-","-",NoSuchWebsiteConfiguration,,"eventgen-hod",404,main,"AWSLogs/063605715280/CloudTrail/eu-west-1/2016/01/28/063605715280_CloudTrail_eu-west-1_20160128T1235Z_fmqSGhYWiqKQ6eTu.json.gz",2,3822,"REST.PUT.OBJECT","-___--___[-]___...____-___----____..____///--////-","-","54.67.60.148","56653509-4fc5-46fd-b21b-73417aa57a15","-","PUT /AWSLogs/063605715280/CloudTrail/eu-west-1/2016/01/28/063605715280_CloudTrail_eu-west-1_20160128T1235Z_fmqSGhYWiqKQ6eTu.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636058206,8022,"-","Boto/2.38.0 Python/2.7.9 Linux/3.10.0-229.7.2.el7.x86_64","-","-   config-bucket-ap   [-]   54.67.60.148    -   56653509-4fc5-46fd-b21b-73417aa57a15    REST.PUT.OBJECT    AWSLogs/063605715280/CloudTrail/eu-west-1/2016/01/28/063605715280_CloudTrail_eu-west-1_20160128T1235Z_fmqSGhYWiqKQ6eTu.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/eu-west-1/2016/01/28/063605715280_CloudTrail_eu-west-1_20160128T1235Z_fmqSGhYWiqKQ6eTu.json.gz HTTP/1.1""   404    NoSuchWebsiteConfiguration    -    3822  8022    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Linux/3.10.0-229.7.2.el7.x86_64""    -
","2021-11-04T20:36:46.000+0000"
"splunk-mobile","-","-","-",,"eventgen-hod",200,main,"AWSLogs/063605715280/CloudTrail/ap-southeast-2/2016/01/28/063605715280_CloudTrail_ap-southeast-2_20160128T1235Z_tcCJhAhgA72yuM6j.json.gz",2,3962,"REST.HEAD.OBJECT","-___-___[-]___...____-___----____..____///--////--","-","54.81.47.18","5c581052-a2d2-4d27-ae32-97604918bad8","-","PUT /AWSLogs/063605715280/CloudTrail/ap-southeast-2/2016/01/28/063605715280_CloudTrail_ap-southeast-2_20160128T1235Z_tcCJhAhgA72yuM6j.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636058145,8836,"-","aws-sdk-ruby/1.63.0 ruby/1.9.2 x86_64-linux","-","-   splunk-mobile   [-]   54.81.47.18    -   5c581052-a2d2-4d27-ae32-97604918bad8    REST.HEAD.OBJECT    AWSLogs/063605715280/CloudTrail/ap-southeast-2/2016/01/28/063605715280_CloudTrail_ap-southeast-2_20160128T1235Z_tcCJhAhgA72yuM6j.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/ap-southeast-2/2016/01/28/063605715280_CloudTrail_ap-southeast-2_20160128T1235Z_tcCJhAhgA72yuM6j.json.gz HTTP/1.1""   200    -    -    3962  8836    -   ""-""   ""aws-sdk-ruby/1.63.0 ruby/1.9.2 x86_64-linux""    -
","2021-11-04T20:35:45.000+0000"
"jove-aws-billing","-",243,"-",,"eventgen-hod",200,main,"AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1235Z_t2lQ1hxblZpIGlEy.json.gz",2,2891,"REST.GET.ACL","-___--___[-]___...____-___----____..____///--////-","-","52.77.219.122","29396ce3-5820-4763-be75-d9695df0023b","-","PUT /AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1235Z_t2lQ1hxblZpIGlEy.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636058055,603,"-","Boto/2.38.0 Python/2.7.9 Darwin/14.5.0","-","-   jove-aws-billing   [-]   52.77.219.122    -   29396ce3-5820-4763-be75-d9695df0023b    REST.GET.ACL    AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1235Z_t2lQ1hxblZpIGlEy.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1235Z_t2lQ1hxblZpIGlEy.json.gz HTTP/1.1""   200    -    243    2891  603    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Darwin/14.5.0""    -
","2021-11-04T20:34:15.000+0000"
"config-bucket-ap","-","-","-",,"eventgen-hod",200,main,"AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1215Z_4mtL2i3yjRfp1g7o.json.gz",2,525,"REST.GET.LOCATION","-___--___[-]___...____-___----____..____///--////-","-","54.229.109.249","8b0f6813-4828-447b-be1d-de436c60cc8c","-","PUT /AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1215Z_4mtL2i3yjRfp1g7o.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636057965,3326,"-","Boto/2.38.0 Python/2.7.9 Linux/3.2.0-87-virtual","-","-   config-bucket-ap   [-]   54.229.109.249    -   8b0f6813-4828-447b-be1d-de436c60cc8c    REST.GET.LOCATION    AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1215Z_4mtL2i3yjRfp1g7o.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1215Z_4mtL2i3yjRfp1g7o.json.gz HTTP/1.1""   200    -    -    525  3326    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Linux/3.2.0-87-virtual""    -
","2021-11-04T20:32:45.000+0000"
"splunk-mobile","-","-",InvalidAccessKeyId,,"eventgen-hod",403,main,"AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1240Z_I2ZbFRcniPc9U8TY.json.gz",2,4482,"REST.GET.OBJECT","-___-___[-]___...____-___----____..____///--////--","-","52.62.41.118","3fbf833d-616f-4e2f-8eaf-4d37ed13b7fc","-","PUT /AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1240Z_I2ZbFRcniPc9U8TY.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636057606,4556,"-","aws-sdk-ruby/1.63.0 ruby/1.9.2 x86_64-linux","-","-   splunk-mobile   [-]   52.62.41.118    -   3fbf833d-616f-4e2f-8eaf-4d37ed13b7fc    REST.GET.OBJECT    AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1240Z_I2ZbFRcniPc9U8TY.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/sa-east-1/2016/01/28/063605715280_CloudTrail_sa-east-1_20160128T1240Z_I2ZbFRcniPc9U8TY.json.gz HTTP/1.1""   403    InvalidAccessKeyId    -    4482  4556    -   ""-""   ""aws-sdk-ruby/1.63.0 ruby/1.9.2 x86_64-linux""    -
","2021-11-04T20:26:46.000+0000"
"splunk-mobile","-","-",NoSuchWebsiteConfiguration,,"eventgen-hod",404,main,"AWSLogs/063605715280/CloudTrail/us-east-1/2016/01/28/063605715280_CloudTrail_us-east-1_20160128T1215Z_miiqVo4xvVTvtjyi.json.gz",2,1624,"REST.GET.ACL","-___-___[-]___...____-___----____..____///--////--","-","54.93.109.123","44fee640-8cd3-45d3-a668-0859226f6274","-","PUT /AWSLogs/063605715280/CloudTrail/us-east-1/2016/01/28/063605715280_CloudTrail_us-east-1_20160128T1215Z_miiqVo4xvVTvtjyi.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636057606,2434,"-","Boto/2.38.0 Python/2.7.9 Linux/3.10.0-123.el7.x86_64","-","-   splunk-mobile   [-]   54.93.109.123    -   44fee640-8cd3-45d3-a668-0859226f6274    REST.GET.ACL    AWSLogs/063605715280/CloudTrail/us-east-1/2016/01/28/063605715280_CloudTrail_us-east-1_20160128T1215Z_miiqVo4xvVTvtjyi.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/us-east-1/2016/01/28/063605715280_CloudTrail_us-east-1_20160128T1215Z_miiqVo4xvVTvtjyi.json.gz HTTP/1.1""   404    NoSuchWebsiteConfiguration    -    1624  2434    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Linux/3.10.0-123.el7.x86_64""    -
","2021-11-04T20:26:46.000+0000"
"ta-cloudtrail-singapore","-","-",NoSuchWebsiteConfiguration,,"eventgen-hod",404,main,"AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1250Z_GKteyRCv3cbvuvsX.json.gz",2,525,"REST.GET.ACL","-___--___[-]___...____-___----____..____///--////-","-","184.72.153.114","9123acb9-58d2-4e69-abd1-0b4d901463cc","-","PUT /AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1250Z_GKteyRCv3cbvuvsX.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636057606,3195,"-","Boto/2.38.0 Python/2.7.9 Linux/2.6.32-573.8.1.el6.x86_64","-","-   ta-cloudtrail-singapore   [-]   184.72.153.114    -   9123acb9-58d2-4e69-abd1-0b4d901463cc    REST.GET.ACL    AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1250Z_GKteyRCv3cbvuvsX.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1250Z_GKteyRCv3cbvuvsX.json.gz HTTP/1.1""   404    NoSuchWebsiteConfiguration    -    525  3195    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Linux/2.6.32-573.8.1.el6.x86_64""    -
","2021-11-04T20:26:46.000+0000"
"config-bucket-ap","-","-",PermanentRedirect,,"eventgen-hod",301,main,"AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1235Z_6JYEuXAV3Tfi4WV5.json.gz",2,2772,"REST.GET.ACL","-___--___[-]___...____-___----____..____///--////-","-","54.146.9.81","3f3b34d9-781a-4328-b4ce-6ce4dbddcadf","-","PUT /AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1235Z_6JYEuXAV3Tfi4WV5.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636057426,6257,"-","aws-sdk-ruby/1.63.0 ruby/1.9.2 x86_64-linux","-","-   config-bucket-ap   [-]   54.146.9.81    -   3f3b34d9-781a-4328-b4ce-6ce4dbddcadf    REST.GET.ACL    AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1235Z_6JYEuXAV3Tfi4WV5.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/us-west-2/2016/01/28/063605715280_CloudTrail_us-west-2_20160128T1235Z_6JYEuXAV3Tfi4WV5.json.gz HTTP/1.1""   301    PermanentRedirect    -    2772  6257    -   ""-""   ""aws-sdk-ruby/1.63.0 ruby/1.9.2 x86_64-linux""    -
","2021-11-04T20:23:46.000+0000"
"splunk-mobile","-",243,PermanentRedirect,,"eventgen-hod",301,main,"AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1300Z_PKwljzbR1zGwwoGP.json.gz",2,1449,"REST.GET.ACL","-___-___[-]___...____-___----____..____///--////--","-","54.67.60.148","9351013d-6cf8-4cf4-98ad-14634fed8cbb","-","PUT /AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1300Z_PKwljzbR1zGwwoGP.json.gz HTTP/1.1","-","s3://*","aws:s3:accesslogs","ip-10-202-15-14.ec2.splunkit.io",,,,none,1636057215,3264,"-","Boto/2.38.0 Python/2.7.9 Darwin/15.3.0","-","-   splunk-mobile   [-]   54.67.60.148    -   9351013d-6cf8-4cf4-98ad-14634fed8cbb    REST.GET.ACL    AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1300Z_PKwljzbR1zGwwoGP.json.gz   ""PUT /AWSLogs/063605715280/CloudTrail/eu-central-1/2016/01/28/063605715280_CloudTrail_eu-central-1_20160128T1300Z_PKwljzbR1zGwwoGP.json.gz HTTP/1.1""   301    PermanentRedirect    243    1449  3264    -   ""-""   ""Boto/2.38.0 Python/2.7.9 Darwin/15.3.0""    -
","2021-11-04T20:20:15.000+0000"
