"resource.data.id",name,"resource.data.name","resource.data.sizeGb","resource.data.type","resource.data.sourceImage","resource.data.guestOsFeatures{}.type","resource.data.users{}"
1596290041187508355,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db",db,10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced","https://www.googleapis.com/compute/v1/projects/debian-cloud/global/images/debian-10-buster-v20211209","UEFI_COMPATIBLE
VIRTIO_SCSI_MULTIQUEUE","https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/instances/db"
8968636181119816097,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db-disk","db-disk",10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced",,,
1596290041187508355,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db",db,10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced","https://www.googleapis.com/compute/v1/projects/debian-cloud/global/images/debian-10-buster-v20211209","UEFI_COMPATIBLE
VIRTIO_SCSI_MULTIQUEUE","https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/instances/db"
8968636181119816097,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db-disk","db-disk",10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced",,,
3098570439119752530,"//compute.googleapis.com/projects/pauld-gcp-project/zones/us-central1-a/disks/app-instance-2","app-instance-2",10,"https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/zones/us-central1-a/diskTypes/pd-balanced","https://www.googleapis.com/compute/v1/projects/debian-cloud/global/images/debian-10-buster-v20220118","UEFI_COMPATIBLE
VIRTIO_SCSI_MULTIQUEUE","https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/zones/us-central1-a/instances/app-instance-2"
435700624089466056,"//compute.googleapis.com/projects/pauld-gcp-project/zones/us-west1-b/disks/app-instance-1","app-instance-1",10,"https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/zones/us-west1-b/diskTypes/pd-balanced","https://www.googleapis.com/compute/v1/projects/debian-cloud/global/images/debian-10-buster-v20220118","UEFI_COMPATIBLE
VIRTIO_SCSI_MULTIQUEUE","https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/zones/us-west1-b/instances/app-instance-1"
8968636181119816097,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db-disk","db-disk",10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced",,,
1596290041187508355,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db",db,10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced","https://www.googleapis.com/compute/v1/projects/debian-cloud/global/images/debian-10-buster-v20211209","UEFI_COMPATIBLE
VIRTIO_SCSI_MULTIQUEUE","https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/instances/db"
8968636181119816097,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db-disk","db-disk",10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced",,,
1596290041187508355,"//compute.googleapis.com/projects/adept-lodge-251409/zones/us-central1-a/disks/db",db,10,"https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/diskTypes/pd-balanced","https://www.googleapis.com/compute/v1/projects/debian-cloud/global/images/debian-10-buster-v20211209","UEFI_COMPATIBLE
VIRTIO_SCSI_MULTIQUEUE","https://www.googleapis.com/compute/v1/projects/adept-lodge-251409/zones/us-central1-a/instances/db"
