_time,memFreeMB,memUsedMB,tmp_epochtime,index,host
2021-07-08T10:50:00.000-0500,12339,3124,1625151420,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:51:00.000-0500,12796,2667,1625151450,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:52:00.000-0500,12151,3311,1625151480,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:53:00.000-0500,12594,2868,1625151510,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:54:00.000-0500,12137,3326,1625151540,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:55:00.000-0500,12199,3263,1625151570,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:56:00.000-0500,12421,3042,1625151600,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:57:00.000-0500,12254,3208,1625151630,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:58:00.000-0500,12804,2658,1625151660,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T10:59:00.000-0500,13126,2337,1625151690,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:00:00.000-0500,13207,2256,1625151720,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:01:00.000-0500,12443,3019,1625151750,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:02:00.000-0500,12879,2584,1625151780,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:03:00.000-0500,13015,2448,1625151810,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:04:00.000-0500,12994,2469,1625151840,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:05:00.000-0500,13096,2367,1625151870,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:06:00.000-0500,13141,2321,1625151900,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:07:00.000-0500,12243,3219,1625151930,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:08:00.000-0500,12841,2622,1625151960,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:09:00.000-0500,12363,3100,1625151990,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:10:00.000-0500,12349,3113,1625152020,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:11:00.000-0500,12959,2503,1625152050,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:12:00.000-0500,12291,3172,1625152080,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:13:00.000-0500,12834,2628,1625152110,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:14:00.000-0500,11992,3470,1625152140,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:15:00.000-0500,13105,2358,1625152170,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:16:00.000-0500,12483,2980,1625152200,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:17:00.000-0500,13193,2270,1625152230,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:18:00.000-0500,12703,2759,1625152260,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:19:00.000-0500,13069,2394,1625152290,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:20:00.000-0500,13153,2309,1625152320,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:21:00.000-0500,13061,2402,1625152350,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:22:00.000-0500,13045,2418,1625152380,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:23:00.000-0500,12891,2572,1625152410,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:24:00.000-0500,12301,3161,1625152440,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:25:00.000-0500,12086,3377,1625152470,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:26:00.000-0500,12247,3215,1625152500,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:27:00.000-0500,12238,3225,1625152530,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:28:00.000-0500,12745,2718,1625152560,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:29:00.000-0500,12238,3225,1625152590,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:30:00.000-0500,12238,3225,1625152620,itsi_im_metrics,EC2AMAZ-3G1B1SF
2021-07-08T11:31:00.000-0500,12984,2478,1625152650,itsi_im_metrics,EC2AMAZ-3G1B1SF
