Value,authentication_method,authentication_method_desc,RecordTypeName
0,Min,The authentication method is a Min,AzureActiveDirectoryStsLogon
1,Password,The authentication method is a password.,AzureActiveDirectoryStsLogon
2,Digest,The authentication method is a digest.,AzureActiveDirectoryStsLogon
3,ProxyAuth,The authentication method is a ProxyAuth.,AzureActiveDirectoryStsLogon
4,InfoCard,The authentication method is an InfoCard,AzureActiveDirectoryStsLogon
5,DAToken,The authentication method is a DAToken.,AzureActiveDirectoryStsLogon
6,Sha1RememberMyPassword,The authentication method is a Sha1RememberMyPassword.,AzureActiveDirectoryStsLogon
7,LMPasswordHash,The authentication method is an LMPasswordHash.,AzureActiveDirectoryStsLogon
8,ADFSFederatedToken,The authentication method is an ADFSFederatedToken.,AzureActiveDirectoryStsLogon
9,EID,The authentication method is an EID.,AzureActiveDirectoryStsLogon
10,DeviceID,The authentication method is a DeviceID.,AzureActiveDirectoryStsLogon
11,MD5,The authentication method is MD5.,AzureActiveDirectoryStsLogon
12,EncProxyPasswordHash,The authentication method is a EncProxyPasswordHash.,AzureActiveDirectoryStsLogon
13,LWAFederation,The authentication method is a LWAFederation.,AzureActiveDirectoryStsLogon
14,Sha1HashedPassword,The authentication method is a Sha1HashedPassword.,AzureActiveDirectoryStsLogon
15,SecurePin,The authentication method is a secure Pin.,AzureActiveDirectoryStsLogon
16,SecurePinReset,The authentication method is a secure PIN reset.,AzureActiveDirectoryStsLogon
17,SAML20PostSimpleSign,The authentication method is a SAML20PostSimpleSign.,AzureActiveDirectoryStsLogon
18,SAML20Post,The authentication method is a SAML20Post.,AzureActiveDirectoryStsLogon
19,OneTimeCode,The authentication method is a one-time code.,AzureActiveDirectoryStsLogon
