MajorVersion,ExchangeVersion,ProductName
08.00,Exchange Server 2007,Exchange Server 2007
08.01,Exchange Server 2007 SP1,Exchange Server 2007
08.02,Exchange Server 2007 SP2,Exchange Server 2007
08.03,Exchange Server 2007 SP3,Exchange Server 2007
14.00,Exchange Server 2010,Exchange Server 2010
14.01,Exchange Server 2010 SP1,Exchange Server 2010
14.02,Exchange Server 2010 SP2,Exchange Server 2010
14.03,Exchange Server 2010 SP3,Exchange Server 2010
15.00,Exchange Server 2013,Exchange Server 2013
15.01,Exchange Server 2016,Exchange Server 2016
15.02,Exchange Server 2019,Exchange Server 2019
