entitytype,                              group
ClusterComputeResource,                  ComputeResource
ClusterProfile,                          Profile
ComputeResource,                         ComputeResource
Datacenter,                              Datacenter
Datastore,                               Storage
DiagnosticManager,                       Host
DistributedVirtualPortgroup,             Network
DistributedVirtualSwitch,                Network
DistributedVirtualSwitchManager,         Network
FileManager,                             Storage
Folder,                                  Folder
HostActiveDirectoryAuthentication,       Host
HostCacheConfigurationManager,           Host
HostDatastoreBrowser,                    Storage
HostDatastoreSystem,                     Storage
HostPatchManager,                        Host
HostProfile,                             Profile
HostProfileManager,                      Host
HostSystem,                              Host
Network,                                 Network
Profile,                                 Profile
ProfileComplianceManager,                Profile
ResourcePool,                            ResourcePool
StorageResourceManager,                  Storage
VirtualApp,                              ResourcePool
VirtualDiskManager,                      Storage
VirtualMachine,                          VirtualMachine
VirtualMachineCompatibilityChecker,      VirtualMachine
VirtualMachineProvisioningChecker,       VirtualMachine
VirtualMachineSnapshot,                  VirtualMachine
VmwareDistributedVirtualSwitch,          Network
