ID,Title,Description,CMMC Practice,PCI DSS,NIST SP 800-53
NSA-ADMIN-001,AUX Port Not Disabled,"The *ABBREV*AUX*-ABBREV* port's primary purpose is to provide a remote administration capability. With a modem connected to the *ABBREV*AUX*-ABBREV* port, a remote administrator could dial into the device in order to perform remote administration. As an extra layer of security, some devices can be configured with a callback facility. The callback facility, if configured, drops any incoming calls and dials the network administrator back.",,,
NSA-ADMIN-002,The BOOTP Service Was Not Disabled,"*ABBREV*BOOTP*-ABBREV* (described in *RFC*951*-RFC*) is a datagram protocol that enables compatible hosts to load their operating system over the network from a *ABBREV*BOOTP*-ABBREV* server. However, these days *ABBREV*BOOTP*-ABBREV* services are rarely used.""",CM.3.068,,CM-7(1)
NSA-ADMIN-003,Devices with no console timeouts,"The console connection timeout setting is used to determine if a console connection is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A console connection could become unused if an administrator has not properly terminated a connection and remains authenticated or if they leave their computer unattended without terminating their console session.","AC.3.019
SC.3.186",,AC-2(5)
NSA-ADMIN-004,Long Console Connection Timeout,"The console connection timeout setting is used to determine if a console connection is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A console connection could become unused if an administrator has not properly terminated a connection and remains authenticated or if they leave their computer unattended without terminating their console session.","AC.3.019
SC.3.186",,AC-2(5)
NSA-ADMIN-005,The Finger Service Was Enabled,The Finger protocol (defined in *RFC*749*-RFC* and *RFC*1288*-RFC*) enables the enumeration of status and user information from a system running a Finger service. The Finger protocol is simple and does not encrypt the data or provide any authentication. The default *ABBREV*TCP*-ABBREV* port for the Finger service is 79.,CM.3.068,,CM-7(1)
NSA-ADMIN-006,The FTP Service Was Enabled,"*ABBREV*FTP*-ABBREV* (defined in *RFC*959*-RFC*) was designed to provide a simple industry standard method of transferring files between networked systems. *ABBREV*FTP*-ABBREV* services and clients are capable of providing user authentication, but can also be configured to provide anonymous access if the server has been configured to allow this access. *ABBREV*FTP*-ABBREV* is a clear text protocol service and therefore does not encrypt either the authentication process or the transfer of data.""","CM.3.068
SC.2.179",,CM-7(1)
NSA-ADMIN-007,No FTP Service Network Access Restrictions,"""*ABBREV*FTP*-ABBREV* (defined in *RFC*959*-RFC*) was designed to provide a simple industry standard method of transferring files between networked systems. *ABBREV*FTP*-ABBREV* services and clients are capable of providing user authentication, but can also be configured to provide anonymous access if the server has been configured to allow this access. *ABBREV*FTP*-ABBREV* is a clear text protocol service and therefore does not encrypt either the authentication process or the transfer of data.""","CM.3.067
SC.4.228",,CM-5(1)
NSA-ADMIN-008,No FTP Server Session Timeout,"The *ABBREV*FTP*-ABBREV* server session timeout setting is used to determine if a session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*FTP*-ABBREV* server session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when a user terminates the application without exiting. The session could also become unused if the user leaves their computer unattended without terminating the session","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-009,Long FTP server Session Timeout,"The *ABBREV*FTP*-ABBREV* server session timeout setting is used to determine if a session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*FTP*-ABBREV* server session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when a user terminates the application without","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-010,Weak FTP Service Network Access Restrictions,"*ABBREV*FTP*-ABBREV* (defined in *RFC*959*-RFC*) was designed to provide a simple industry standard method of transferring files between networked systems. *ABBREV*FTP*-ABBREV* services and clients are capable of providing user authentication, but can also be configured to provide anonymous access if the server has been configured to allow this access. *ABBREV*FTP*-ABBREV* is a clear text protocol service and therefore does not encrypt either the authentication process or the transfer of data.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-011,Clear Text HTTP Service Enabled,"ABBREV*HTTP*-ABBREV* (*RFC*2616*-RFC*) provides web-based services, such as information services, network device administration and other potentially sensitive services. *ABBREV*HTTP*-ABBREV* provides no encryption of the connection between the client and server including any authentication and data transfer.",SC.2.179,2.3.b,IA-5(1)
NSA-ADMIN-012,No HTTP Service Network Access Restrictions,"*ABBREV*HTTP*-ABBREV* (*RFC*2616*-RFC*) provides web-based services, such as information services, network device administration and other potentially sensitive services. *ABBREV*HTTP*-ABBREV* provides no encryption of the connection between the client and server including any authentication and data transfer. *ABBREV*HTTPS*-ABBREV*, which is *ABBREV*HTTP*-ABBREV* over *ABBREV*SSL*-ABBREV*/*ABBREV*TLS*-ABBREV*, is used to provide cryptographically secure web-based connection.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-013,No HTTP Server Session Timeout,"The *ABBREV*HTTP*-ABBREV* server session timeout setting is used to determine if a web session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*HTTP*-ABBREV* server session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when a user does not click on a logout button. The session could also become unused if the user leaves their computer unattended without terminating the session.""","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-014,Long HTTP server Session Timeout,"The *ABBREV*HTTP*-ABBREV* server session timeout setting is used to determine if a web session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*HTTP*-ABBREV* server session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when a user does not click on a logout bu","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-015,Weak HTTP Service Network Access Restrictions,"*ABBREV*HTTP*-ABBREV* (*RFC*2616*-RFC*) provides web-based services, such as information services, network device administration and other potentially sensitive services. *ABBREV*HTTP*-ABBREV* provides no encryption of the connection between the client and server including any authentication and data transfer. *ABBREV*HTTPS*-ABBREV*, which is *ABBREV*HTTP*-ABBREV* over *ABBREV*SSL*-ABBREV*/*ABBREV*TLS*-ABBREV*, is used to provide cryptographically secure web-based connection.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-016,No HTTPS Service Network Access Restrictions,"*ABBREV*HTTPS*-ABBREV* (*RFC*2818*-RFC*) provides a cryptographically secure connection for web-based services, such as network device administration and other sensitive services. *ABBREV*HTTPS*-ABBREV* is a essentially *ABBREV*HTTP*-ABBREV* (*RFC*2616*-RFC*) over a *ABBREV*SSL*-ABBREV*/*ABBREV*TLS*-ABBREV* (*RFC*2546*-RFC*) encrypted connection.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-017,No HTTPS Server Session Timeout,"The *ABBREV*HTTPS*-ABBREV* server session timeout setting is used to determine if a web session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*HTTPS*-ABBREV* server session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when a user does not click on a logout button. The session could also become unused if the user leaves their computer unattended without terminating the session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-018,Long HTTPS server Session Timeout,"The *ABBREV*HTTPS*-ABBREV* server session timeout setting is used to determine if a web session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*HTTPS*-ABBREV* server session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when a user does not click on a logout","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-019,Weak SSL/early TLS Ciphers Supported,"*ABBREV*HTTPS*-ABBREV* (*RFC*2818*-RFC*) provides a cryptographically secure connection for web-based services, such as network device administration and other sensitive services. *ABBREV*HTTPS*-ABBREV* is essentially *ABBREV*HTTP*-ABBREV* (*RFC*2616*-RFC*) over an *ABBREV*SSL*-ABBREV*/*ABBREV*TLS*-ABBREV* (*RFC*2546*-RFC*) encrypted connection.",,2.2.2.b,IA-5(1)
NSA-ADMIN-020,Administration Line Without An ACL Configured,"Some devices use administrative line configurations to configure which administrative services, such as Telnet and *ABBREV*SSH*-ABBREV* command line services, should be offered by the device. Additionally administrative lines can be configured to specify additional options such as authentication methods, access restrictions, timeouts and more.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-021,No Exec Administrative Line Timeout Configured,"The administrative line exec timeout setting is used to determine if a administrative or user session is no longer being used, enabling a device to determine when a session can be automatically closed. A session could become unused if an administrator has not properly terminated and remains authenticated or if they leave their computer unattended without terminating their session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-022,Long Exec Administrative Line Timeout Configured,"The administrative line exec timeout setting is used to determine if a administrative or user session is no longer being used, enabling a device to determine when a session can be automatically closed. A session could become unused if an administrator has not properly terminated and remains authenticated or if they leave their computer unattended without terminating their session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-023,Administrative Line Login With No Password,"Telnet, *ABBREV*SSH*-ABBREV* and console-based access to some types of device are configured using administrative line configuration settings. In addition to enabling and disabling remote administrative services, such as Telnet, options such as the authentication mechanism and initial connection passwords are configured on the administrative lines. It is also possible for the administrative lines to be configured to not require the user to provide any password in order to gain access to the device.",CM.3.067,,CM-5(1)
NSA-ADMIN-024,Unrestricted Outbound Administrative Access,"Many network devices, such as switches and routers, contain network client tools that enable a network administrator to connect to administrative services offered by other devices. Outbound access from these devices to others can be restricted to specific host addresses in order to limit the access to only those that are required.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-025,No Administrative Service Network Access Restrictions,Most network administration and file access services provide an authentication mechanism in order to restrict access to only those users who are authorized to access the service. It is also possible to provide additional protection for those services by specifying a list of those network addresses that are permitted to access the service and denying access to all others.,"CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-026,Clear Text RSH Service Enabled,The RSH protocol is a legacy clear-text protocol that is used to provide authenticated and unauthenticated remote command-based execution. RSH is a simple protocol that was developed alongside the BSD operating system with other similar tools such as rcp. Some modern network systems still provide a RSH service for remote administrative purposes along side the more secure *ABBREV*SSH*-ABBREV* service.,SC.2.179,,IA-5(1)
NSA-ADMIN-027,No Session Timeout,"The session timeout setting is used to determine if an administrative or user session is no longer being used, enabling a device to determine when a session can be automatically closed. A session could become unused if an administrator has not properly terminated and remains authenticated or if they leave their computer unattended without terminating their session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-028,Long Session Timeout,"The session timeout setting is used to determine if a administrative or user session is no longer being used, enabling a device to determine when a session can be automatically disconnected. A session could become unused if an administrator has not properly terminated and remains authenticated or if they leave their computer unattended without terminating their session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-029,SSH Keep Alive Messages Disabled,"*ABBREV*SSH*-ABBREV* is typically used as a cryptographically secure alternative to Telnet and other clear-text protocols. In addition to command-based access, *ABBREV*SSH*-ABBREV* services can enable the forwarding of network ports (such as X forwarding) or the transfer of files (such as *ABBREV*SCP*-ABBREV* or *ABBREV*SFTP*-ABBREV*).",,,
NSA-ADMIN-030,No SSH Service Network Access Restrictions,"*ABBREV*SSH*-ABBREV* (defined in *RFC*4251*-RFC*) is typically used as a cryptographically secure alternative to Telnet and other clear-text protocols. In addition to command-based access, *ABBREV*SSH*-ABBREV* services can enable the forwarding of network ports (such as X forwarding) or the transfer of files (such as *ABBREV*SCP*-ABBREV* or *ABBREV*SFTP*-ABBREV*).","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-031,No SSH Session Timeout,"The *ABBREV*SSH*-ABBREV* session timeout setting is used to determine if an *ABBREV*SSH*-ABBREV* session is no longer being used, enabling a device to determine when a connection can be automatically closed. An *ABBREV*SSH*-ABBREV* session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when terminating an *ABBREV*SSH*-ABBREV* client. The session could also unused if the user leaves their computer unattended without terminating the session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-032,Long SSH Session Timeout,"The *ABBREV*SSH*-ABBREV* session timeout setting is used to determine if an *ABBREV*SSH*-ABBREV* session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A *ABBREV*SSH*-ABBREV* session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when terminating an *ABBREV*SSH*-ABBREV","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-033,SSH Protocol Version 1 Supported,"*ABBREV*SSH*-ABBREV* is typically used as a cryptographically secure alternative to Telnet and other clear-text protocols. In addition to command-based access, *ABBREV*SSH*-ABBREV* services can enable the forwarding of network ports (such as X forwarding) or the transfer of files (such as *ABBREV*SCP*-ABBREV* or *ABBREV*SFTP*-ABBREV*).",,,IA-5(1)
NSA-ADMIN-034,Weak SSH Service Network Access Restrictions,"*ABBREV*SSH*-ABBREV* (defined in *RFC*4251*-RFC*) is typically used as a cryptographically secure alternative to Telnet and other clear-text protocols. In addition to command-based access, *ABBREV*SSH*-ABBREV* services can enable the forwarding of network ports (such as X forwarding) or the transfer of files (such as *ABBREV*SCP*-ABBREV* or *ABBREV*SFTP*-ABBREV*).","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-035,TCP Small Services Enabled,"Some devices and platforms provide a collection of simple *ABBREV*TCP*-ABBREV* network services, which are also sometimes referred to as small services. These services provide little functionality and are rarely used and they typically include",CM.3.068,,CM-7(1)
NSA-ADMIN-036,Clear Text Telnet Service Enabled,"The Telnet protocol (described in *RFC*15*-RFC* and *RFC*854*-RFC*) is a clear-text protocol that is widely used to provide command-based access to systems and applications. Telnet is a simple protocol that was one of the first *ABBREV*TCP*-ABBREV*/*ABBREV*IP*-ABBREV* protocols to be developed, before security features were given a greater importance. Many modern network devices still provide a Telnet service for remote administrative purposes alongside the more secure *ABBREV*SSH*-ABBREV* service.",SC.2.179,2.3.b,IA-5(1)
NSA-ADMIN-037,No Telnet Service Network Access Restrictions,"The Telnet protocol (described in *RFC*15*-RFC* and *RFC*854*-RFC*) is a clear-text protocol that is widely used to provide command-based access to systems and applications. Telnet is a simple protocol that was one of the first *ABBREV*TCP*-ABBREV*/*ABBREV*IP*-ABBREV* protocols to be developed, before security features were given a greater importance.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-038,No Telnet Session Timeout,"The Telnet session timeout setting is used to determine if a Telnet session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A Telnet session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when terminating a Telnet client. The session could also unused if the user leaves their computer unattended without terminating the session.","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-039,Long Telnet Session Timeout,"The Telnet session timeout setting is used to determine if a Telnet session is no longer being used, enabling a device to determine when a connection can be automatically disconnected. A Telnet session could become unused if an administrator has not properly terminated a connection and remains authenticated, such as when terminating a Telnet client. The session could also unused if the user leaves","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-ADMIN-040,Weak Telnet Service Network Access Restrictions,"The Telnet protocol (described in *RFC*15*-RFC* and *RFC*854*-RFC*) is a clear-text protocol that is widely used to provide command-based access to systems and applications. Telnet is a simple protocol that was one of the first *ABBREV*TCP*-ABBREV*/*ABBREV*IP*-ABBREV* protocols to be developed, before security features were given a greater importance.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-041,TFTP Service Was Enabled,"ABBREV*TFTP*-ABBREV* (detailed in *RFC*1350*-RFC*) is a simple protocol designed for the transfer of files. The protocol itself does not include any user authentication mechanisms or data encryption, but a user must know the name and location of a requested file since the protocol does not provide any directory listing functionality. Due to its simplicity *ABBREV*TFTP*-ABBREV* has been widely adopted by manufacturers of network devices such as switches and routers as a method of transferring firmware updates and configuration files.","CM.3.068
SC.2.179",,CM-7(1)
NSA-ADMIN-042,No TFTP Service Network Access Restrictions,"ABBREV*TFTP*-ABBREV* (detailed in *RFC*1350*-RFC*) is a simple protocol designed for the transfer of files. The protocol itself does not include any user authentication mechanisms or data encryption, but a user must know the name and location of a requested file since the protocol does not provide any directory listing functionality. Due to its simplicity *ABBREV*TFTP*-ABBREV* has been widely adopted by manufacturers of network devices such as switches and routers as a method of transferring firmware updates and configuration files.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-043,Weak TFTP Service Network Access Restrictions,"ABBREV*TFTP*-ABBREV* (detailed in *RFC*1350*-RFC*) is a simple protocol designed for the transfer of files. The protocol itself does not include any user authentication mechanisms or data encryption, but a user must know the name and location of a requested file since the protocol does not provide any directory listing functionality. Due to its simplicity *ABBREV*TFTP*-ABBREV* has been widely adopted by manufacturers of network devices such as switches and routers as a method of transferring firmware updates and configuration files.","CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-044,UDP Small Services Enabled,"Some devices and platforms provide a collection of simple *ABBREV*UDP*-ABBREV* network services, which are also sometimes referred to as small services. These services provide little functionality and are rarely used and they typically include:",CM.3.068,,CM-7(1)
NSA-ADMIN-045,Weak Administrative Service Network Access Restrictions,Most network administration and file access services provide an authentication mechanism in order to restrict access to only those users who are authorized to access the service. It is also possible to provide additional protection for those services by specifying a list of those network addresses that are permitted to access the service and denying access to all others.,"CM.3.067
SC.4.228",,"AC-6(1)
CM-5(1)"
NSA-ADMIN-046,Devices with no HTTP or HTTPS server idle timeouts,"If an attacker was able to access a system using an authenticated session that is no longer being used, the attacker would be able to perform information gathering, configuration and other malicious activities under the context of the previous authenticated user. The level of access could potentially be at an administrative level","AC.3.019
SC.3.186",8.1.8,"AC-2(5)
SC-10"
NSA-AUTH-001,Users Configured With Cisco Type 4 Password Hashing Algorithm,"User passwords on Cisco *ABBREV*IOS*-ABBREV*-based devices can be configured to store user passwords using a multitude of hashing algorithms. Due to an implementation issue, the Type 4 password algorithm does not use a salt and only performs a single iteration of SHA-256 over the plaintext password provided by the user. This approach causes a Type 4 password to be much less resilient to brute-force attacks in comparison to passwords protected by newer hashing algorithms.",IA.2.081,8.2.1.a,IA-5(1)
NSA-AUTH-002,Users Configured With Cisco Type 5 Password Hashing Algorithm,"User passwords on Cisco *ABBREV*IOS*-ABBREV*-based devices can be configured to store user passwords using a multitude of hashing algorithms. Whilst Type 5 *ABBREV*MD5*-ABBREV* hashes are inherently more secure than types 4 and 7, the triviality in computing *ABBREV*MD5*-ABBREV* hashes means Type 5 passwords are less resilient to brute-force attacks than passwords protected by newer hashing algorithms.",IA.2.081,8.2.1.a,IA-5(1)
NSA-AUTH-003,Users Configured With Cisco Type 7 Password Hashing Algorithm,"User passwords on Cisco *ABBREV*IOS*-ABBREV*-based devices can be configured to store user passwords using either a variety of hashing algorithms, including the Cisco Type 7 password encoding algorithm. Whilst the Cisco Type-7 password encoding can be easily reversed to reveal the original password. Instead if the original password needs to be determined from a hash, the passwords must be guessed and then put through the hashing process. The resulting hashes can then be compared in order to determine if the passwords match.",IA.2.081,8.2.1.a,IA-5(1)
NSA-AUTH-004,User Accounts With A Default Password,Access to restricted network user and administration services are typically secured using username and password authentication credentials. The strength of the authentication credentials is even more important if the service allows for devices to be reconfigured or it allows access to potentially sensitive information.,IA.1.077,2.1.a,IA-5(5)
NSA-AUTH-005,Users With Dictionary-Based Passwords,Access to restricted network user and administration services are typically secured using username and password authentication credentials. The strength of the authentication credentials is even more important if the service allows for devices to be reconfigured or it allows access to potentially sensitive information.,,,IA-5(1)
NSA-AUTH-006,Enable Password Configured,"Cisco *ABBREV*IOS*-ABBREV*-based devices enable passwords can be stored using *ABBREV*MD5*-ABBREV* hashes or using the Cisco Type 7 password encoding algorithm. A strong password stored using an *ABBREV*MD5*-ABBREV* hash can take a significant period of time to brute-force. However, the same password stored in Cisco Type 7 form can be reversed in a fraction of a second. The *ABBREV*MD5*-ABBREV* enable user password hash can be created using the *COMMAND*secret*-COMMAND* keyword, whilst the Cisco Type 7 hash is created using the *COMMAND*password*-COMMAND* keyword.",,,IA-5(1)
NSA-AUTH-007,LDAP Servers With A Default Server Password,A *ABBREV*LDAP*-ABBREV* server provides remote authentication services for network connected devices such as routers and switches. Authentication requests are sent to the *ABBREV*LDAP*-ABBREV* server and a access response is returned to the device. *ABBREV*LDAP*-ABBREV* is described in greater detail in *RFC*4510*-RFC*.,IA.1.077,2.1.a,IA-5(5)
NSA-AUTH-008,LDAP Servers With A Dictionary-Based Server Password,A *ABBREV*LDAP*-ABBREV* server provides remote authentication services for network connected devices such as routers and switches. Authentication requests are sent to the *ABBREV*LDAP*-ABBREV* server and a access response is returned to the device. *ABBREV*LDAP*-ABBREV* is described in greater detail in *RFC*4510*-RFC*.,,,
NSA-AUTH-009,LDAP Servers With A Weak Server Password,A *ABBREV*LDAP*-ABBREV* server provides remote authentication services for network connected devices such as routers and switches. Authentication requests are sent to the *ABBREV*LDAP*-ABBREV* server and a access response is returned to the device. *ABBREV*LDAP*-ABBREV* is described in greater detail in *RFC*4510*-RFC*.,,,
NSA-AUTH-010,Weak User Account Lockout Policy Setting,"When configured, the user account lockout policy setting will prevent a user account from authenticating if the user has failed to logon the number of times defined by the threshold.",AC.2.009,8.1.6.a,AC-7
NSA-AUTH-011,User Administrative Restrictions Disabled,"Many network devices support the configuration of different levels of user, enabling different users to be assigned different capabilities depending on requirements. This helps to prevent unauthorized users from modifying a device's configuration. It is possible to configure a setting to restrict users from performing significant administrative tasks such as clearing a device's configuration or modifying a device's users.",,,
NSA-AUTH-012,User Authentication With No Password,Access to restricted network user and administration services are typically secured using username and password authentication credentials. The strength of the authentication credentials is even more important if the service allows for devices to be reconfigured or it allows access to potentially sensitive information.,,,IA-5(1)
NSA-AUTH-013,RADIUS Servers With A Default Shared Secret,A *ABBREV*RADIUS*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*RADIUS*-ABBREV* server and a access response is returned to the device. A *ABBREV*RADIUS*-ABBREV* shared secret can be configured to encrypt the traffic between the service and requesting device. *ABBREV*RADIUS*-ABBREV* is detailed in *RFC*2138*-RFC*.,IA.1.077,2.1.a,IA-5(5)
NSA-AUTH-014,RADIUS Servers With A Dictionary-Based Shared Secret,A *ABBREV*RADIUS*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*RADIUS*-ABBREV* server and a access response is returned to the device. A *ABBREV*RADIUS*-ABBREV* shared secret can be configured to encrypt the traffic between the service and requesting device. *ABBREV*RADIUS*-ABBREV* is detailed in *RFC*2138*-RFC*.,,,
NSA-AUTH-015,RADIUS Servers With No Shared Secret,: A *ABBREV*RADIUS*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*RADIUS*-ABBREV* server and a access response is returned to the device. A *ABBREV*RADIUS*-ABBREV* shared secret can be configured to encrypt the traffic between the service and requesting device. *ABBREV*RADIUS*-ABBREV* is detailed in *RFC*2138*-RFC*.,,,
NSA-AUTH-016,RADIUS Servers With A Weak Shared Secret,A *ABBREV*RADIUS*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*RADIUS*-ABBREV* server and a access response is returned to the device. A *ABBREV*RADIUS*-ABBREV* shared secret can be configured to encrypt the traffic between the service and requesting device. *ABBREV*RADIUS*-ABBREV* is detailed in *RFC*2138*-RFC*.,,,
NSA-AUTH-017,Weak Password Expiry Warning Policy Setting,The password expiry policy setting is used to determine how long until a password is about to expire a user should be warned. The warning will then enable the user to change their password before it is older than the maximum password age and expires.,,,IA-5(1)
