match_string,vendor
3COM,3COM
Altus,Altus
ABB,ABB
Advantech Technology,Advantech Technology
American Power,American Power
ASUSTek,ASUSTek
Axis Communications AB,Axis Communications AB
Beckhoff,Beckhoff
Bently Nevada,Bently Nevada
B&R Industrial Automation,B&R Industrial Automation
Buffalo,Buffalo
Canon,Canon
Check Point,Check Point
Cisco,Cisco
Cognex,Cognex
Comtrol,Comtrol
Control Technology,Control Technology
Dell,Dell
Econolite,Econolite
Emerson,Emerson
Fanuc Robotics,Fanuc Robotics
FlexKom,FlexKom
Fortinet,Fortinet
Foxboro,Foxboro
GE Automation,GE Automation
GE Fanuc Automation,GE Fanuc Automation
Gigabyte Technology,Gigabyte Technology
Google,Google
Hikvision,Hikvision
Hirschmann,Hirschmann
HMS Industrial Networks,HMS Industrial Networks
Honeywell,Honeywell
Hewlett Packard,Hewlett Packard
Huawei,Huawei
Intel,Intel
Juniper Networks,Juniper Networks
Keyence,Keyence
Kongsberg,Kongsberg
Konica Minolta,Konica Minolta
Koyo,Koyo
Lantronix,Lantronix
Lcfc Hefei Electronics Technology,Lcfc Hefei Electronics Technology
LG,LG
LS Electric,LS Electric
Matrox Electronic,Matrox Electronic
Mitsubishi Hitachi Power Systems,Mitsubishi Hitachi Power Systems
Micro Industries,Micro Industries
Microsoft,Microsoft
Mikronika,Mikronika
Mitsubishi,Mitsubishi
Motorola,Motorola
Omniflow,Omniflow
Omron,Omron
OnePlus,OnePlus
Opto 22,Opto 22
Panasonic,Panasonic
Pegatron,Pegatron
Pepperl+Fuchs,Pepperl+Fuchs
Toyoda Machine Works,Toyoda Machine Works
Plum,Plum
ProSoft,ProSoft
Red Lion,Red Lion
Rockwell Automation,Rockwell Automation
RS Automation,RS Automation
RuggedCom,RuggedCom
Samsung,Samsung
Schneider Electric,Schneider Electric
Schweitzer Engineering Laboratories,Schweitzer Engineering Laboratories
Siemens,Siemens
SolarWinds,SolarWinds
Sony,Sony
Telemecanique,Telemecanique
TP-Link,TP-Link
Trend Micro,Trend Micro
Triconex,Triconex
Ubiquiti Networks,Ubiquiti Networks
UNIX,UNIX
Valmet,Valmet
VMware,VMware
WAGO,WAGO
Wistron,Wistron
Xerox,Xerox
Xiaomi,Xiaomi
Yokogawa,Yokogawa
Zebra Technologies,Zebra Technologies
APC,APC
Advidia,Advidia
Airedale,Airedale
Alien Technology,Alien Technology
Allen Martin,Allen Martin
Allen Organ,Allen Organ
Allen-Bradley,Allen-Bradley
Andover Controls,Andover Controls
Anord Mardix,Anord Mardix
Apex,Apex
Ascom Tateco,Ascom Tateco
Asia Pacific CIS,Asia Pacific CIS
Assured Platform,Assured Platform
Atlas Copco,Atlas Copco
Atmel,Atmel
AutomatedLogic,AutomatedLogic
Automation Direct,Automation Direct
Avery Weigh-Tronix,Avery Weigh-Tronix
Avigilon,Avigilon
B&B Electronics Manufacturing,B&B Electronics Manufacturing
BadgePass,BadgePass
Balluff,Balluff
