event_desc,dataset_name,type
Additional MAC Detected,alert,event
Client Application Timeout,timeout,
Client Application Update,alert,event
Hops Change,alert,event
Host Timeout,timeout,
Identity Timeout,timeout,
MAC Information Change,alert,event
New Client Applicastion,alert,event
New Host,alert,event
New Network Protocol,alert,event
New OS Fingerprint,alert,event
New TCP Service,alert,event
New Transport Protocol,alert,event
New UDP Service,alert,event
TCP Port Timeout,timeout,
TCP Service Information Update,alert,event
UDP Port Timeout,timeout,
UDP Service Information Update,alert,event
User Login Information,alert,event
