Status,Status_meaning
0,STATUS_SUCCESS
259,STATUS_PENDING
3221225506,STATUS_ACCESS_DENIED
1611792386,STATUS_NO_EXISTING_CREDENTIALS
1611726866,STATUS_DEP_DISABLED_APPCOMPAT
3221225533,STATUS_DATA_LATE_ERROR
3759013928,STATUS_PROCESS_CRITICAL
3759013929,STATUS_PROCESS_WHITELISTED
3759013930,STATUS_PROCESS_MICROSOFT_SIGNED
3759013931,STATUS_PROCESS_APPLE_SIGNED
538181633,STATUS_COMPONENT_ENABLED
3759407166,STATUS_COMPONENT_DISABLED
1611923478,STATUS_COMPONENT_STOPPED
1612251168,STATUS_HTTP_VISIBILITY_ENABLED
1612251176,STATUS_SMTP_VISIBILITY_ENABLED
1612447779,STATUS_PREVENTION_NOT_NEEDED
1611530273,STATUS_MASK_ADJUSTED
1612578852,STATUS_ALREADY_BLOCKED
3221226347,STATUS_DRIVER_BLOCKED_CRITICAL
3221225541,STATUS_INVALID_PAGE_PROTECTION
258,STATUS_TIMEOUT
3221225473,STATUS_UNSUCCESSFUL
3221225609,STATUS_RESOURCE_DATA_NOT_FOUND
3221225611,STATUS_RESOURCE_NAME_NOT_FOUND
3221225524,STATUS_OBJECT_NAME_NOT_FOUND
3221225760,STATUS_CANCELLED
3221225492,STATUS_UNRECOGNIZED_MEDIA
3760521403,STATUS_NO_ACTIVE_RPC_THREAD
3221225738,STATUS_PROCESS_IS_TERMINATING
290,STATUS_NOTHING_TO_TERMINATE
3221226138,STATUS_POLICY_OBJECT_NOT_FOUND
3758096423,STATUS_PROCESS_KILLED
3221227780,STATUS_FILE_TOO_LARGE
3221225485,STATUS_INVALID_PARAMETER
3221225659,STATUS_NOT_SUPPORTED
3221225653,STATUS_IO_TIMEOUT
3221226029,STATUS_RETRY
3758358545,STATUS_FEATURE_DISABLED
3760849112,STATUS_NON_CROWDSTRIKE
3760914656,STATUS_LFO_UPLOAD_FAILURE
3760914657,STATUS_LFO_UPLOAD_CLOUD_FAILURE
3760914660,STATUS_PROCESS_LSASS
3760914661,STATUS_PROCESS_CROWDSTRIKE
2147483649,STATUS_GUARD_PAGE_VIOLATION
3221225620,STATUS_INTEGER_DIVIDE_BY_ZERO
3226533891,STATUS_LFO_STATIC_CONFIG_DOWNLOAD_DISABLED
