Total Count,Completed Calls,Failed Calls,status sent,status failed,date_sent,to,from,Message Content,Error Message,Time,Count,No-ans Call
10,7,3,7,1,"Tue, 22 Jun 2021 13:03:44 +0000",8586985588,12569077044,Completed,,22-06-2021 03:00,0,1
,,,,,"Tue, 22 Jun 2021 13:03:44 +0001",8586985588,12569077044,Completed,,22-06-2021 03:30,0,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0002",8586985588,12569077044,Completed,,22-06-2021 04:00,3,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0003",8586985588,12569077044,Completed,,22-06-2021 04:30,0,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0004",8586985588,12569077044,Completed,,22-06-2021 05:00,2,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0005",8586985588,12569077044,Completed,,22-06-2021 05:30,0,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0006",8586985588,12569077044,Completed,,22-06-2021 06:00,1,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0007",8586985588,12569077044,Completed,,22-06-2021 06:30,3,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0008",8586985588,12569077044,,No Answer,22-06-2021 07:00,0,
,,,,,"Tue, 22 Jun 2021 13:03:44 +0009",8586985588,12569077044,,Failed,22-06-2021 07:30,1,
