ActivityCategory,ActivityCategoryShortName,ActivityTerm,ActivityTermShortName,StatementType,RepoType
Data Reads,DataReads,Select Data,SelectData,SELECT,postgresql
Data Reads,DataReads,Select Data,SelectData,SELECT,mysql
Data Reads,DataReads,Select Data,SelectData,SELECT,mariadb
Data Reads,DataReads,Select Data,SelectData,SELECT,redshift
Data Reads,DataReads,Select Data,SelectData,SELECT,snowflake
Data Reads,DataReads,Select Data,SelectData,GET,s3
Data Reads,DataReads,Select Data,SelectData,GET OBJECT,s3
Data Reads,DataReads,Select Data,SelectData,LIST OBJECTS V2,s3
Data Reads,DataReads,Select Data,SelectData,SELECT,oracle
Data Reads,DataReads,Select Data,SelectData,SELECT,sqlserver
Data Reads,DataReads,Select Data,SelectData,FIND,mongodb
Data Reads,DataReads,Select Data,SelectData,SELECT,dremio
Data Reads,DataReads,Select Data,SelectData,SELECT,denodo
Data Reads,DataReads,Select Data Bulk,SelectDataBulk,AGGREGATE,mongodb
Data Reads,DataReads,Select Data,SelectData,GET MORE,mongodb
Data Changes,DataChanges,Insert Data,InsertData,INSERT,postgresql
Data Changes,DataChanges,Insert Data,InsertData,INSERT,mysql
Data Changes,DataChanges,Insert Data,InsertData,INSERT,mariadb
Data Changes,DataChanges,Insert Data,InsertData,INSERT,redshift
Data Changes,DataChanges,Insert Data,InsertData,INSERT,snowflake
Data Changes,DataChanges,Insert Data,InsertData,POST,s3
Data Changes,DataChanges,Insert Data,InsertData,INSERT,oracle
Data Changes,DataChanges,Insert Data,InsertData,INSERT,sqlserver
Data Changes,DataChanges,Insert Data,InsertData,INSERT,mongodb
Data Changes,DataChanges,Insert Data,InsertData,FIND AND MODIFY,mongodb
Data Changes,DataChanges,Insert Data,InsertData,INSERT,denodo
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,postgresql
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,mysql
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,mariadb
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,redshift
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,snowflake
Data Changes,DataChanges,Update Data,UpdateData,PUT,s3
Data Changes,DataChanges,Update Data,UpdateData,PUT OBJECT,s3
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,oracle
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,sqlserver
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,mongodb
Data Changes,DataChanges,Update Data,UpdateData,UPDATE,denodo
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,postgresql
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,mysql
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,mariadb
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,redshift
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,snowflake
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,s3
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,oracle
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,sqlserver
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,mongodb
Data Changes,DataChanges,Delete Data,DeleteData,DELETE,denodo
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,mysql
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,mariadb
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,redshift
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,snowflake
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,oracle
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,sqlserver
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,dremio
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,denodo
Schema Changes,SchemaChanges,Create Table,CreateTable,CREATE TABLE,postgresql
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,mysql
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,mariadb
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,redshift
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,snowflake
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,oracle
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,sqlserver
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,dremio
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,denodo
Schema Changes,SchemaChanges,Alter Table,AlterTable,ALTER TABLE,postgresql
Schema Changes,SchemaChanges,Alter Table,AlterTable,RENAME COLUMN,postgresql
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,mysql
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,mariadb
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,redshift
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,snowflake
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,oracle
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,sqlserver
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,dremio
Schema Changes,SchemaChanges,Delete Table,DeleteTable,DROP TABLE,denodo
Schema Changes,SchemaChanges,Create Collection,CreateCollection,CREATE,mongodb
Schema Changes,SchemaChanges,Alter Collection,AlterCollection,COLLMOD,mongodb
Schema Changes,SchemaChanges,Alter Collection,AlterCollection,CLONE COLLECTION AS CAPPED,mongodb
Schema Changes,SchemaChanges,Alter Collection,AlterCollection,CONVERT TO CAPPED,mongodb
Schema Changes,SchemaChanges,Delete Collection,DeleteCollection,DROP,mongodb
Schema Changes,SchemaChanges,Create Bucket,CreateBucket,CREATE BUCKET,s3
Schema Changes,SchemaChanges,Delete Bucket,DeleteBucket,DELETE BUCKET,s3
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,postgresql
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,mysql
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,mariadb
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,redshift
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,snowflake
Access Changes,AccessChanges,Grant Access,GrantAccess,PUT BUCKET POLICY,s3
Access Changes,AccessChanges,Grant Access,GrantAccess,PUT BUCKET ACL,s3
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,oracle
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,sqlserver
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT ROLES TO USER,mongodb
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT PRIVILEGES TO ROLE,mongodb
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT ROLES TO ROLE,mongodb
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,dremio
Access Changes,AccessChanges,Grant Access,GrantAccess,GRANT,denodo
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,postgresql
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,mysql
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,mariadb
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,redshift
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,snowflake
Access Changes,AccessChanges,Revoke Access,RevokeAccess,DELETE BUCKET POLICY,s3
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,oracle
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,sqlserver
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE ROLES FROM USER,mongodb
Access Changes,AccessChanges,Revoke Access,RevokeAccess,GRANT PRIVILEGES TO ROLE,mongodb
Access Changes,AccessChanges,Revoke Access,RevokeAccess,GRANT ROLES TO ROLE,mongodb
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,dremio
Access Changes,AccessChanges,Revoke Access,RevokeAccess,REVOKE,denodo
Privileged Commands,PrivilegedCommands,Modify Log,ModifyLog,ALTER LOGFILE GROUP,mysql
Privileged Commands,PrivilegedCommands,Modify Log,ModifyLog,ALTER LOGFILE GROUP,mariadb
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,ALTER USER,mysql
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,ALTER USER,mariadb
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,ALTER USER,postgresql
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,ALTER ROLE,postgresql
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,UPDATE USER,mongodb
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,ALTER ACCOUNT,snowflake
Privileged Commands,PrivilegedCommands,Modify Auth Mechanism,ModifyAuthMechanism,ALTER INTEGRATION,snowflake
