id,value
1,App added to role
2,App removed from role
3,User assumed user
4,User assigned role
5,User logged into onelogin
6,User failed onelogin login
7,User logged out of onelogin
8,User logged into app
9,User failed app login
10,User requested new password
11,User changed password
12,Unlocked user
13,Created user
14,Updated user
15,Deactivated user
16,Activated user
17,Deleted user
18,Admin approved password request
19,User locked
20,Reached users limit
21,Suspended user
22,User added otp device
23,User bulk operation
24,User removed otp device
25,Provisioning exception
26,Provisioning event
27,User downloaded cert
28,User recently removed
29,User logged out of app
30,Updated payment info
31,Failed update payment info
32,Reactivated user
33,Users imported from directory
34,User requested app
35,User locked out of app
36,User lost otp device
37,User join request
38,App reached user limit
39,Connector broken
40,User unlocked otp device
41,Ad connector started
42,Ad connector stopped
43,Ad connector config reload
44,Ad connector notification
45,Ad connector exception old
46,Ad connector fail over
47,Ad connector exception
48,Imported user
49,Update user failed
50,Rejected user
51,User created in app
52,User updated in app
53,User suspended in app
54,User reactivated in app
55,User deleted in app
56,Unmatched users
57,Rabbit down
58,Rabbit restarted
59,User linked in app
60,Provisioning deprovisioning mode do nothing warning
61,User failed suspending in app
62,User failed reactivating in app
63,User failed deleting in app
64,User failed creating in app
65,User failed updating in app
66,No users to import from directory
67,Directory import exception
68,User authenticated by radius
69,User rejected by radius
70,Privilege granted to account
71,Privilege revoked from account
72,Privilege granted to user
73,Privilege revoked from user
74,Trusted idp added
75,Trusted idp removed
76,Trusted idp modified
77,User failed proxy login
78,User succeeded proxy login
79,Ad connector provisioning error
80,User created in directory
81,User updated in directory
82,User suspended in directory
83,User reactivated in directory
84,User deleted in directory
85,App could not authenticate
86,User failed remote authentication
87,User viewed note
88,User edited note
89,User deleted note
90,User unauthorized app access
91,User undetermined by radius
92,User nthash requested by radius
95,Directory groups write back import started
96,Directory groups write back import finished
100,Self registration request
101,Self registration approved
102,Self registration denied
103,Self registration request unverified
104,Self registration request verified
105,Sms failure
106,User change password failed
110,App logins updated
111,App logins update failed
112,Trusted idp made default
113,Directory import started
114,Directory import finished
115,User invited
116,Create user failed
117,Directory sync run id
118,Saml acs failed
119,Trusted idp removed as default
120,Unlocked user in directory
121,Scriptlet error
122,User authenticated by api
123,User rejected by api
124,Entitlements cache action
125,Entitlement action
126,Directory connector enabled
127,Directory connector disabled
128,No active active directory connectors
129,Vldap bind failure
130,Vldap bind success
131,Directory export started
132,Directory export finished
133,Directory export exception
134,Directory refresh schema exception
135,Certificate expires
136,Directory fields import started
137,User app request approved
138,User app request denied
139,Directory fields import finished
140,Social sign in
141,Social sign in failure
145,User smart password updated
146,User smart password update failed
147,User manually added to role
148,User manually removed from role
149,User auto added to role
150,User auto removed from role
151,User role management granted
152,User role management revoked
153,Mac login success
154,Mac login failure
155,Directory fields import exception
156,Policy created
157,Policy updated
