re,tf,ignore,sample
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2} ,%Y-%m-%dT%H:%M:%S,0,2021-03-03T14:21:28
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}[+-]\d{2}:?\d{2} ,%Y-%m-%dT%H:%M:%S%z,0,2021-03-03T14:21:28+05:30
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2} [+-]\d{2}:?\d{2} ,%Y-%m-%dT%H:%M:%S %z,0,2021-03-03T14:21:28 -0400
"\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2} [A-Z]{1,4}T ",%Y-%m-%dT%H:%M:%S %Z,0,2021-03-03T14:21:28 ET
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{3} ,%Y-%m-%dT%H:%M:%S.%3N,0,2021-03-03T14:21:28.350
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{3} [+-]\d{2}:?\d{2} ,%Y-%m-%dT%H:%M:%S.%3N %z,0,2021-03-03T14:21:28.350 -0500
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{3}[+-]\d{2}:?\d{2} ,%Y-%m-%dT%H:%M:%S.%3N%z,0,2021-03-03T14:21:28.350-0500
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{3} ,"%Y-%m-%dT%H:%M:%S,%3N",0,"2021-03-03T14:21:28,350"
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{3} [+-]\d{2}:?\d{2} ,"%Y-%m-%dT%H:%M:%S,%3N %z",0,"2021-03-03T14:21:28,350 -0500"
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{3}[+-]\d{2}:?\d{2} ,"%Y-%m-%dT%H:%M:%S,%3N%z",0,"2021-03-03T14:21:28,350-0500"
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{6} ,%Y-%m-%dT%H:%M:%S.%f,0,2021-03-03T14:21:28.354249
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{6} [+-]\d{2}:?\d{2} ,%Y-%m-%dT%H:%M:%S.%f %z,0,2021-03-03T14:21:28.354249 -0500
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}.\d{6}[+-]\d{2}:?\d{2} ,%Y-%m-%dT%H:%M:%S.%f%z,0,2021-03-03T14:21:28.354249-0500
\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2} [AP]M ,%Y-%m-%dT%I:%M:%S %p,0,2021-03-03T2:21:28 PM
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2} ,%Y-%m-%d %H:%M:%S,0,2021-03-03 14:21
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}[+-]\d{2}:?\d{2} ,%Y-%m-%d %H:%M:%S%z,0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2} [+-]\d{2}:?\d{2} ,%Y-%m-%d %H:%M:%S %z,0,
"\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2} [A-Z]{1,4}T ",%Y-%m-%d %H:%M:%S %Z,0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{3} ,%Y-%m-%d %H:%M:%S.%3N,0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{3} [+-]\d{2}:?\d{2} ,%Y-%m-%d %H:%M:%S.%3N %z,0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{3}[+-]\d{2}:?\d{2} ,%Y-%m-%d %H:%M:%S.%3N%z,0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{3} ,"%Y-%m-%d %H:%M:%S,%3N",0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{3} [+-]\d{2}:?\d{2} ,"%Y-%m-%d %H:%M:%S,%3N %z",0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{3}[+-]\d{2}:?\d{2} ,"%Y-%m-%d %H:%M:%S,%3N%z",0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{6} ,%Y-%m-%d %H:%M:%S.%f,0,
\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}.\d{6} [+-]\d{2}:?\d{2} ,%Y-%m-%d %H:%M:%S.%f %z,0,
