description,EventCode
Controlled folder access - Audited Controlled folder access event,1124
Controlled folder access - Audited Controlled folder access sector write block event,1128
Controlled folder access - Blocked Controlled folder access event,1123
Controlled folder access - Blocked Controlled folder access sector write block event,1127
Network protection - Event when Network protection fires in Audit-mode,1125
Network protection - Event when Network protection fires in Block-mode,1126
Attack surface reduction - Event when rule fires in Audit-mode,1122
Attack surface reduction - Event when rule fires in Block-mode,1121
Network protection - Event when settings are changed,5007
Controlled folder access - Event when settings are changed,5007
Attack surface reduction - Event when settings are changed,5007
Connection security rule - Event when a connection security rule is deleted from IPsec settings,2014
