EventCode,Symbolic_Name,action,change_type,object_category,status
1005,MALWAREPROTECTION_SCAN_FAILED,failure,,,
1001,MALWAREPROTECTION_SCAN_COMPLETED,success,,,
1000,MALWAREPROTECTION_SCAN_STARTED,started,,,
1003,MALWAREPROTECTION_SCAN_PAUSED,paused,,,
1004,MALWAREPROTECTION_SCAN_RESUMED,resumed,,,
1002,MALWAREPROTECTION_SCAN_CANCELLED,stopped,,,
2041,MALWAREPROTECTION_OS_EOL,,,,
2040,MALWAREPROTECTION_OS_EXPIRING,,,,
1127,MALWAREPROTECTION_FOLDER_GUARD_SECTOR_BLOCK,,,,
1151,MALWAREPROTECTION_SERVICE_HEALTH_REPORT,,,,
1150,MALWAREPROTECTION_SERVICE_HEALTHY,,,,
1120,MALWAREPROTECTION_THREAT_HASH,,,,
3002,MALWAREPROTECTION_RTP_FEATURE_FAILURE,failure,,,
5001,MALWAREPROTECTION_RTP_DISABLED,stopped,service,MALWAREPROTECTION,success
5000,MALWAREPROTECTION_RTP_ENABLED,started,service,MALWAREPROTECTION,success
3007,MALWAREPROTECTION_RTP_FEATURE_RECOVERED,,,,
5010,MALWAREPROTECTION_ANTISPYWARE_DISABLED,stopped,service,ANTISPYWARE,success
5009,MALWAREPROTECTION_ANTISPYWARE_ENABLED,started,service,ANTISPYWARE,success
5012,MALWAREPROTECTION_ANTIVIRUS_DISABLED,stopped,service,ANTIVIRUS,success
5011,MALWAREPROTECTION_ANTIVIRUS_ENABLED,started,service,ANTIVIRUS,success
5013,,blocked,,,
2000,MALWAREPROTECTION_SIGNATURE_UPDATED,updated,database,MALWAREPROTECTION,success
2020,MALWAREPROTECTION_CLOUD_CLEAN_RESTORE_FILE_DOWNLOADED,modified,database,MALWAREPROTECTION,success
5008,MALWAREPROTECTION_ENGINE_FAILURE,failure,,,
2012,MALWAREPROTECTION_SIGNATURE_FASTPATH_UPDATE_FAILED,failure,,,
2021,MALWAREPROTECTION_CLOUD_CLEAN_RESTORE_FILE_DOWNLOAD_FAILED,,,,
2005,MALWAREPROTECTION_ENGINE_UPDATE_PLATFORMOUTOFDATE,,,,
1006,MALWAREPROTECTION_MALWARE_DETECTED,,,,
2042,MALWAREPROTECTION_PROTECTION_EOL,,,,
2003,MALWAREPROTECTION_ENGINE_UPDATE_FAILED,failure,,,
2002,MALWAREPROTECTION_ENGINE_UPDATED,updated,service,MALWAREPROTECTION,success
2010,MALWAREPROTECTION_SIGNATURE_FASTPATH_UPDATED,updated,database,MALWAREPROTECTION,success
2030,MALWAREPROTECTION_OFFLINE_SCAN_INSTALLED,created,service,MALWAREPROTECTION,success
2031,MALWAREPROTECTION_OFFLINE_SCAN_INSTALL_FAILED,,,,
1008,MALWAREPROTECTION_MALWARE_ACTION_FAILED,,,,
1118,MALWAREPROTECTION_STATE_MALWARE_ACTION_FAILED,,,,
5007,MALWAREPROTECTION_CONFIG_CHANGED,modified,service,MALWAREPROTECTION,success
1012,MALWAREPROTECTION_QUARANTINE_DELETE_FAILED,,,,
1014,MALWAREPROTECTION_MALWARE_HISTORY_DELETE_FAILED,,,,
1010,MALWAREPROTECTION_QUARANTINE_RESTORE_FAILED,,,,
1011,MALWAREPROTECTION_QUARANTINE_DELETE,deleted,file,QUARANTINE,success
1013,MALWAREPROTECTION_MALWARE_HISTORY_DELETE,deleted,file,history,success
1116,MALWAREPROTECTION_STATE_MALWARE_DETECTED,,,,
1015,MALWAREPROTECTION_BEHAVIOR_DETECTED,,,,
1119,MALWAREPROTECTION_STATE_MALWARE_ACTION_CRITICALLY_FAILED,,,,
5101,MALWAREPROTECTION_DISABLED_EXPIRED_STATE,,,,
1007,MALWAREPROTECTION_MALWARE_ACTION_TAKEN,,,,
1117,MALWAREPROTECTION_STATE_MALWARE_ACTION_TAKEN,,,,
1009,MALWAREPROTECTION_QUARANTINE_RESTORE,modified,file,QUARANTINE,success
5100,MALWAREPROTECTION_EXPIRATION_WARNING_STATE,,,,
2013,MALWAREPROTECTION_SIGNATURE_FASTPATH_DELETED_ALL,deleted,database,MALWAREPROTECTION,success
2011,MALWAREPROTECTION_SIGNATURE_FASTPATH_DELETED,deleted,database,MALWAREPROTECTION,success
2006,MALWAREPROTECTION_PLATFORM_UPDATE_FAILED,failure,,,
2007,MALWAREPROTECTION_PLATFORM_ALMOSTOUTOFDATE,,,,
5004,MALWAREPROTECTION_RTP_FEATURE_CONFIGURED,modified,service,MALWAREPROTECTION,success
2001,MALWAREPROTECTION_SIGNATURE_UPDATE_FAILED,failure,,,
2004,MALWAREPROTECTION_SIGNATURE_REVERSION,,,,
2014,A connection security rule was deleted from IPsec settings,deleted,service,rule,success
