Category,Name,Formula,Formula_Subscript,Lifetime (years),RadiativeEfficiency (W m–2 ppb–1),SAR (100-yr),GWP 20 years,GWP 100 years,GWP 500 years
Major Greenhouse Gases,Carbon dioxide,CO2,CO₂,,1.4x10–5,1,1,1,1
Major Greenhouse Gases,Methane,CH4,CH₄,12,3.7x10–4,21,72,25,7.6
Major Greenhouse Gases,Nitrous oxide,N2O,N₂O,114,3.03x10–3,310,289,298,153
Substances controlled by the Montreal Protocol,CFC-11,CCl3F,CCl₃F,45,0.25,3800,6730,4750,1620
Substances controlled by the Montreal Protocol,CFC-12,CCl2F2,CCl₂F₂,100,0.32,8100,11000,10900,5200
Substances controlled by the Montreal Protocol,CFC-13,CClF3,CClF₃,640,0.25,,10800,14400,16400
Substances controlled by the Montreal Protocol,CFC-113,CCl2FCClF2,CCl₂FCClF₂,85,0.3,4800,6540,6130,2700
Substances controlled by the Montreal Protocol,CFC-114,CClF2CClF2,CClF₂CClF₂,300,0.31,,8040,10000,8730
Substances controlled by the Montreal Protocol,CFC-115,CClF2CF3,CClF₂CF₃,1700,0.18,,5310,7370,9990
Substances controlled by the Montreal Protocol,Halon-1301,CBrF3,CBrF₃,65,0.32,5400,8480,7140,2760
Substances controlled by the Montreal Protocol,Halon-1211,CBrClF2,CBrClF₂,16,0.3,,4750,1890,575
Substances controlled by the Montreal Protocol,Halon-2402,CBrF2CBrF2,CBrF₂CBrF₂,20,0.33,,3680,1640,503
Substances controlled by the Montreal Protocol,Carbon tetrachloride,CCl4,CCl₄,26,0.13,1400,2700,1400,435
Substances controlled by the Montreal Protocol,Methyl bromide,CH3Br,CH₃Br,0.7,0.01,,17,5,1
Substances controlled by the Montreal Protocol,Methyl chloroform,CH3CCl3,CH₃CCl₃,5,0.06,,506,146,45
Substances controlled by the Montreal Protocol,HCFC-22,CHClF2,CHClF₂,12,0.2,1500,5160,1810,549
Substances controlled by the Montreal Protocol,HCFC-123,CHCl2CF3,CHCl₂CF₃,1.3,0.14,90,273,77,24
Substances controlled by the Montreal Protocol,HCFC-124,CHClFCF3,CHClFCF₃,5.8,0.22,470,2070,609,185
Substances controlled by the Montreal Protocol,HCFC-141b,CH3CCl2F,CH₃CCl₂F,9.3,0.14,,2250,725,220
Substances controlled by the Montreal Protocol,HCFC-142b,CH3CClF2,CH₃CClF₂,17.9,0.2,1800,5490,2310,705
Substances controlled by the Montreal Protocol,HCFC-225ca,CHCl2CF2CF3,CHCl₂CF₂CF₃,1.9,0.2,,429,122,37
Substances controlled by the Montreal Protocol,HCFC-225cb,CHClFCF2CClF2,CHClFCF₂CClF₂,5.8,0.32,,2030,595,181
Hydrofluorocarbons,HFC-23,CHF3,CHF₃,270,0.19,"11,700","12,000","14,800","12,200"
Hydrofluorocarbons,HFC-32,CH2F2,CH₂F₂,4.9,0.11,650,"2,330",675,205
Hydrofluorocarbons,HFC-125,CHF2CF3,CHF₂CF₃,29,0.23,"2,800","6,350","3,500","1,100"
Hydrofluorocarbons,HFC-134a,CH2FCF3,CH₂FCF₃,14,0.16,"1,300","3,830","1,430",435
Hydrofluorocarbons,HFC-143a,CH3CF3,CH₃CF₃,52,0.13,"3,800","5,890","4,470","1,590"
Hydrofluorocarbons,HFC-152a,CH3CHF2,CH₃CHF₂,1.4,0.09,140,437,124,38
Hydrofluorocarbons,HFC-227ea,CF3CHFCF3,CF₃CHFCF₃,34.2,0.26,"2,900","5,310","3,220","1,040"
Hydrofluorocarbons,HFC-236fa,CF3CH2CF3,CF₃CH₂CF₃,240,0.28,"6,300","8,100","9,810","7,660"
Hydrofluorocarbons,HFC-245fa,CHF2CH2CF3,CHF₂CH₂CF₃,7.6,0.28,,"3,380",1030,314
Hydrofluorocarbons,HFC-365mfc,CH3CF2CH2CF3,CH₃CF₂CH₂CF₃,8.6,0.21,,"2,520",794,241
Hydrofluorocarbons,HFC-43-10mee,CF3CHFCHFCF2CF3,CF₃CHFCHFCF₂CF₃,15.9,0.4,"1,300","4,140","1,640",500
Perfluorinated compounds,Sulphur hexafluoride,SF6,SF₆,"3,200",0.52,"23,900","16,300","22,800","32,600"
Perfluorinated compounds,Nitrogen trifluoride,NF3,NF₃,740,0.21,,"12,300","17,200","20,700"
Perfluorinated compounds,PFC-14,CF4,CF₄,"50,000",0.1,"6,500","5,210","7,390","11,200"
Perfluorinated compounds,PFC-116,C2F6,C₂F₆,"10,000",0.26,"9,200","8,630","12,200","18,200"
Perfluorinated compounds,PFC-218,,,"2,600",0.26,"7,000","6,310","8,830","12,500"
Perfluorinated compounds,PFC-318,,,"3,200",0.32,"8,700","7,310","10,300","14,700"
Perfluorinated compounds,PFC-3-1-10,,,"2,600",0.33,"7,000","6,330","8,860","12,500"
