Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18400
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18365
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00010
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20444
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CO2,0.20405
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CO2e,0.47527
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CH4,0.00066
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CO2,0.47436
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg N2O,0.00025
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CO2e,"2,715.82599"
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CH4,3.76372
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CO2,"2,710.63714"
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg N2O,1.42512
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18400
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18365
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00010
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20444
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CO2,0.20405
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CO2e,1.22888
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CH4,0.00170
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CO2,1.22653
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg N2O,0.00064
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CO2e,"2,715.82599"
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CH4,3.76372
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CO2,"2,710.63714"
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg N2O,1.42512
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.21458
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00019
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.21419
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00020
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.23041
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00020
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CO2,0.22999
