Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18396
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00024
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18362
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20437
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00027
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.20399
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CO2e,CNG litres,0.48066
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CH4,CNG litres,0.00063
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CO2,CNG litres,0.47977
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg N2O,CNG litres,0.00025
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,2746.63000
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CH4,CNG tonnes,3.63000
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2741.56000
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.44000
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18396
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00024
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18362
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LNG kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.20437
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LNG kWh (Net CV),0.00027
