"source","target","value","area"
"Cisco","Redfish add-on","1","data flow sankey"
"Dell Technologies","Redfish add-on","1","data flow sankey"
"Hewlett Packard Enterprise","Redfish add-on","1","data flow sankey"
"Intel Corporation","Redfish add-on","1","data flow sankey"
"Google LLC","Redfish add-on","1","data flow sankey"
"Supermicro","Redfish add-on","1","data flow sankey"
"American Megatrends, Inc.","Redfish add-on","1","data flow sankey"
"ARM, Inc","Redfish add-on","1","data flow sankey"
"Meta Platforms Inc.","Redfish add-on","1","data flow sankey"
"Microchip Technology Inc","Redfish add-on","1","data flow sankey"
"Non-member","Redfish add-on","1","data flow sankey"
"Advantech Co., Ltd.","Redfish add-on","1","data flow sankey"
"Edge Hub","Push to HEC","1","data flow sankey"
"Electricity Maps","Add-on for Electricity Carbon Intensity","1","data flow sankey"
"National Grid ESO's Carbon Intensity API","Add-on for Electricity Carbon Intensity","1","data flow sankey"
"Redfish add-on","Electricity Consumption","12","data flow sankey"
"Push to HEC","Electricity Consumption","1","data flow sankey"
"Add-on for Electricity Carbon Intensity","Electricity Carbon Intensity","2","data flow sankey"
"Other Carbon Intensity Monitors","Electricity Carbon Intensity","1","data flow sankey"
"Electricity Consumption","Event Indexes","14","data flow sankey"
"Electricity Carbon Intensity","Event Indexes","3","data flow sankey"
"Event Indexes","Summarization","17","data flow sankey"
"Summarization","Dashboards","19","data flow sankey"
"Dashboards","kWh ","6","data flow sankey"
"Dashboards","CO2e","7","data flow sankey"
"Dashboards","CO2e/kWh","6","data flow sankey"
"Other Electricity Monitors","Electricity Consumption","1","data flow sankey"
"Lookups","Summarization","1","data flow sankey"
"Lookups","Summarization","1","data flow sankey"
"Asset Attributes","Lookups","1","data flow sankey"
"Site Attributes","Lookups","1","data flow sankey"
"summary-asset-metrics-index","asset-time-range-to-summarize","1","macro and search sankey"
"summary-fill-increment","asset-time-range-to-summarize","1","macro and search sankey"
"summary-fill-start","asset-time-range-to-summarize","1","macro and search sankey"
"electricity-carbon-intensity-index","electricity-carbon-intensity","1","macro and search sankey"
"electricity-time-range-to-summarize","electricity-carbon-intensity","3","macro and search sankey"
"electricity-carbon-intensity-index","electricity-carbon-intensity-for-assets","1","macro and search sankey"
"asset-time-range-to-summarize","electricity-carbon-intensity-for-assets","2","macro and search sankey"
"redfish-snmp-index","electricity-carbon-intensity-for-assets","1","macro and search sankey"
"cmdb-lookup-name","electricity-carbon-intensity-for-assets","1","macro and search sankey"
"sites-lookup-name","electricity-carbon-intensity-for-assets","1","macro and search sankey"
"summary-electricity-metrics-index","electricity-time-range-to-summarize","1","macro and search sankey"
"summary-fill-start","electricity-time-range-to-summarize","1","macro and search sankey"
"summary-fill-increment","electricity-time-range-to-summarize","1","macro and search sankey"
"power-redfish-snmp","power-asset-location","2","macro and search sankey"
"cmdb-lookup-name","power-asset-location","1","macro and search sankey"
"sites-lookup-name","power-asset-location","1","macro and search sankey"
"redfish-snmp-index","power-redfish-snmp","1","macro and search sankey"
"asset-time-range-to-summarize","power-redfish-snmp","1","macro and search sankey"
"power-asset-location","🔍 Summarize Asset CO2e & kW V1.0","4","macro and search sankey"
"electricity-carbon-intensity-for-assets","🔍 Summarize Asset CO2e & kW V1.0","6","macro and search sankey"
"cmdb-lookup-name","🔍 Summarize Asset CO2e & kW V1.0","1","macro and search sankey"
"summary-asset-metrics-index","🔍 Summarize Asset CO2e & kW V1.0","1","macro and search sankey"
"electricity-carbon-intensity","🔍 Summarize Electricity CO2e/kWh V1.0","4","macro and search sankey"
"summary-electricity-metrics-index","🔍 Summarize Electricity CO2e/kWh V1.0","1","macro and search sankey"
