Period,"Location Code","Location Name","electricity.forecast.CO2e per kWh","Time Forecast Made"
0,"electricity_maps_carbon_intensity_latest/CH","Zone/CH",61,"1689159021.232000"
0,"electricity_maps_carbon_intensity_latest/DE","Zone/DE",114,"1689159031.971000"
0,"electricity_maps_carbon_intensity_latest/NO-NO1","Zone/NO-NO1",33,"1689159077.764000"
0,"electricity_maps_carbon_intensity_latest/CH","Zone/CH",61,"1689159021.232000"
0,"electricity_maps_carbon_intensity_latest/DE","Zone/DE",114,"1689159031.971000"
0,"electricity_maps_carbon_intensity_latest/NO-NO1","Zone/NO-NO1",33,"1689159077.764000"
0,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
0,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",16,1689164113
0,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",41,1689164113
0,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",120,1689164113
0,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",196,1689164113
0,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",68,1689164113
0,"carbon_intensity_api_regional_postcodes/RG1","GB/South England/RG1",119,1689164113
0,"carbon_intensity_api_regional_postcodes/W2","GB/London/W2",144,1689164113
0,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
0,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",16,1689164113
0,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",41,1689164113
0,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",120,1689164113
0,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",196,1689164113
0,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",68,1689164113
0,"carbon_intensity_api_regional_postcodes/RG1","GB/South England/RG1",119,1689164113
0,"carbon_intensity_api_regional_postcodes/W2","GB/London/W2",144,1689164113
1,"electricity_maps_carbon_intensity_latest/CH","Zone/CH",61,"1689159021.232000"
1,"electricity_maps_carbon_intensity_latest/DE","Zone/DE",114,"1689159031.971000"
1,"electricity_maps_carbon_intensity_latest/NO-NO1","Zone/NO-NO1",33,"1689159077.764000"
1,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
1,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",15,1689164113
1,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",40,1689164113
1,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",120,1689164113
1,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",193,1689164113
1,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",60,1689164113
1,"carbon_intensity_api_regional_postcodes/RG1","GB/South England/RG1",108,1689164113
1,"carbon_intensity_api_regional_postcodes/W2","GB/London/W2",140,1689164113
1,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
1,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",15,1689164113
1,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",40,1689164113
1,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",120,1689164113
1,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",193,1689164113
1,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",60,1689164113
1,"carbon_intensity_api_regional_postcodes/RG1","GB/South England/RG1",108,1689164113
1,"carbon_intensity_api_regional_postcodes/W2","GB/London/W2",140,1689164113
2,"electricity_maps_carbon_intensity_latest/CH","Zone/CH",68,"1689159021.232000"
2,"electricity_maps_carbon_intensity_latest/DE","Zone/DE",111,"1689159031.971000"
2,"electricity_maps_carbon_intensity_latest/NO-NO1","Zone/NO-NO1",36,"1689159077.764000"
2,"electricity_maps_carbon_intensity_latest/CH","Zone/CH",68,"1689159021.232000"
2,"electricity_maps_carbon_intensity_latest/DE","Zone/DE",111,"1689159031.971000"
2,"electricity_maps_carbon_intensity_latest/NO-NO1","Zone/NO-NO1",36,"1689159077.764000"
2,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
2,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",15,1689164113
2,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",46,1689164113
2,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",117,1689164113
2,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",206,1689164113
2,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",69,1689164113
2,"carbon_intensity_api_regional_postcodes/RG1","GB/South England/RG1",115,1689164113
2,"carbon_intensity_api_regional_postcodes/W2","GB/London/W2",136,1689164113
2,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
2,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",15,1689164113
2,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",46,1689164113
2,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",117,1689164113
2,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",206,1689164113
2,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",69,1689164113
2,"carbon_intensity_api_regional_postcodes/RG1","GB/South England/RG1",115,1689164113
2,"carbon_intensity_api_regional_postcodes/W2","GB/London/W2",136,1689164113
3,"electricity_maps_carbon_intensity_latest/CH","Zone/CH",68,"1689159021.232000"
3,"electricity_maps_carbon_intensity_latest/DE","Zone/DE",111,"1689159031.971000"
3,"electricity_maps_carbon_intensity_latest/NO-NO1","Zone/NO-NO1",36,"1689159077.764000"
3,"carbon_intensity_api_regional_postcodes/AB10","GB/North Scotland/AB10",0,1689164113
3,"carbon_intensity_api_regional_postcodes/EH1","GB/South Scotland/EH1",15,1689164113
3,"carbon_intensity_api_regional_postcodes/M1","GB/North West England/M1",46,1689164113
3,"carbon_intensity_api_regional_postcodes/LS1","GB/Yorkshire/LS1",114,1689164113
3,"carbon_intensity_api_regional_postcodes/E14","GB/South Wales/E14",241,1689164113
3,"carbon_intensity_api_regional_postcodes/B1","GB/West Midlands/B1",83,1689164113
