MESSAGE_CODE,MESSAGE_CLASS,MESSAGE_TEXT,dataset_name,action,type
61084,System-Management,Unable to validate and attach private key of ISE system certificate private key,alert,,alert
60469,System-Management,Admin certificate replaced on PPAN and all node(s) will be restarted based on configuration,alert,,warning
60472,System-Management,"Below node(s) restart failed, please check and restart manually if required",alert,,warning
61092,System-Management,Unable to verify ISE system certificate private key,alert,,alert
61083,System-Management,Unable to create ISE system certificate private key,alert,,alert
60470,System-Management,"Below node(s) will be restarted in 5 days, please plan accordingly",alert,,warning
61088,System-Management,Successfully imported ISE system certificate private key,general,,
61085,System-Management,Unable to store private key of ISE system certificate private key,alert,,alert
61089,System-Management,Successfully deleted ISE system certificate private key,change,deleted,
61086,System-Management,Unable to encrypt a new private key encryption password of ISE system certificate private key,alert,,alert
61090,System-Management,Unable to decrypt password of ISE system certificate private key,alert,,alert
61087,System-Management,Unable to encode ISE system certificate private key,alert,,alert
61091,System-Management,Unable to find private key of ISE system certificate,alert,,alert
15504,Policy,No Policy Engine request consumer threads are running,alert,,warning
15506,Policy,Response queue provided for policy-engine is full,alert,,warning
15503,Policy,Policy Engine request queue is full,alert,,alert
15505,Policy,Internal Policy Engine error,alert,,alarm
24045,LDAP,Secure LDAP connection failed because server certificate is revoked,alert,,alarm
24046,LDAP,Secure LDAP connection failed because it was unable to download CRL for the CA that signed server certificate,alert,,alarm
24047,LDAP,Secure LDAP connection failed because server certificate is rejected,alert,,alarm
60467,OCSP,OCSP Certificate renewal failed,cert,,
60468,System-Management,Root CA Regeneration failed,alert,,alarm
60466,System-Management,Unable to regenerate CA certs on secondary node,alert,,alert
61081,Administrative and Operational Audit,ERS packets dropped as packets rate limit was exceeded,alert,,alarm
61082,Administrative and Operational Audit,Synflood packets dropped as packets synflood limit was exceeded,ids,,
62007,UpgradeAudit,The upgrade flow was executed,alert,,event
62008,Meraki-Connector,Meraki connector sync service starts,change,started,
62009,Meraki-Connector,Meraki connector sync service stops,change,stopped,
62010,Meraki-Connector,Meraki connector sync service failure,alert,,alarm
62011,Meraki-Connector,Meraki connector sync cycle starts,change,started,
62012,Meraki-Connector,Meraki connector sync cycle stops,change,stopped,
62013,Meraki-Connector,Meraki connector sync cycle failure,alert,,alarm
62014,Meraki-Connector,Meraki connector sync operation success,general,,
62015,Meraki-Connector,Meraki connector sync operation failure,alert,,alarm
62016,Data-Connect,Port 2484 opened for Data Connect,alert,,event
62017,Data-Connect,Data Connect port 2484 closed,alert,,event
80017,Edda-Connector,Edda schedular job started,change,started,
80018,Edda-Connector,Edda new connector has been added or modified,change,modified,
80019,Edda-Connector,Edda connector has been deleted,change,deleted,
90503,PassiveID,Request from registered client was dropped due to unsupported protocol,alert,,warning
90506,PassiveID,Running Authorize Only Flow for Passive ID,alert,,alert
62006,PostureScriptCondition,Posture Script Condition event was received,alert,,event
61303,OpenAPI,OpenApi request,alert,,alert
11700,RADIUS,5G AKA Authentication succeeded,auth,,
11701,RADIUS,5G AKA request detected,alert,,alert
11702,RADIUS,5G AKA Protocol is not allowed,alert,,warning
11703,RADIUS,IMSI was parsed successfully,alert,,event
11704,RADIUS,IMSI was found in the internal database,alert,,alert
11705,RADIUS,5G AKA Authentication data was generated successfully,alert,,event
11706,RADIUS,Single IMEI was found,alert,,alert
11707,RADIUS,5G AKA Authentication failed,auth_fail,,
11708,RADIUS,5G Serving Network Name is missing in request,alert,,warning
11709,RADIUS,5G Serving Network Name has invalid format,alert,,warning
11710,RADIUS,5G Invalid User Name Format,alert,,warning
11711,RADIUS,5G Invalid SUPI,alert,,warning
11712,RADIUS,5G AKA Invalid SUCI,alert,,warning
11713,RADIUS,5G Serving Network Name Was Found,alert,,alert
11714,RADIUS,Cellular request detected,alert,,alert
11715,RADIUS,No IMEI found for IMSI,alert,,alert
11716,RADIUS,Multiple IMEIs found for IMSI,alert,,alert
11717,RADIUS,"User Equipment with this IMEI was not found, creating user equipment",alert,,alert
11724,RADIUS,5G Authorize Only request detected,alert,,alert
11725,RADIUS,5G Authorize Only failed,alert,,alarm
11726,RADIUS,5G Authorize Only user lookup failed,alert,,alarm
11721,RADIUS,5G AKA user lookup failed,alert,,alarm
11722,RADIUS,5G AKA failed to generate auth data,alert,,alarm
11718,RADIUS,Looking up User Equipment,alert,,alert
11719,RADIUS,The User Equipment was not found,alert,,alert
11720,RADIUS,Found User Equipment,alert,,alert
24797,External-SAML-IdP,Signed assertion is required by ISE configuration but SAML assertion is not signed,alert,,warning
24798,External-SAML-IdP,Signed response is required by ISE configuration but SAML response is not signed,alert,,warning
24799,External-SAML-IdP,Encrypted assertion is required by ISE configuration but SAML assertion is not encrypted,alert,,warning
91001,IRF,IRF Core Engine is not running,alert,,warning
91002,IRF,Lost connection to adapter,alert,,alarm
91003,IRF,Stopped adapter instance,change,stopped,
91004,IRF,Started adapter instance,change,started,
91005,IRF,Configuration changed for adapter instance,change,modified,
91006,IRF,An error occurred for adapter instance,alert,,warning
91007,IRF,Threat event received,ids,,
91008,IRF,Vulnerability Scan failure,alert,,alarm
91009,IRF,Adapter had encountered a connection or configuration error,alert,,warning
91010,IRF,An IRF Service component has reported some errors,alert,,warning
91011,IRF,An IRF Service component has send some notification,alert,,warning
91012,IRF,An IRF Service component is down,alert,,alarm
91013,IRF,COA initiated,general,,
91014,IRF,COA successful,general,,
91015,IRF,COA initiated,general,,
91016,IRF,Adapter connection initiated,general,,
91017,IRF,Adapter connection success,general,,
91018,IRF,Adapter connection failed,alert,,alarm
91019,IRF,Vulnerability Assessment Scan Status,vuln,,
91020,External-Active-Directory,Active Directory dialin access denied for user,alert,,alert
91030,RADIUS,RADIUS DTLS handshake started,general,,
91031,RADIUS,RADIUS DTLS: received client hello message,general,,
91032,RADIUS,RADIUS DTLS: sent server hello message,general,,
91033,RADIUS,RADIUS DTLS: sent server certificate,general,,
91034,RADIUS,RADIUS DTLS: sent client certificate request,general,,
91035,RADIUS,RADIUS DTLS: sent server done message,general,,
91036,RADIUS,RADIUS DTLS: received client certificate,general,,
91037,RADIUS,RADIUS DTLS: received client key exchange message,general,,
91038,RADIUS,RADIUS DTLS: received certificate verify message,general,,
91039,RADIUS,RADIUS DTLS: received finished message,general,,
91040,RADIUS,RADIUS DTLS: sent change cipher spec message,general,,
91041,RADIUS,RADIUS DTLS: sent finished message,general,,
91042,RADIUS,RADIUS DTLS: sent client hello message,general,,
91043,RADIUS,RADIUS DTLS: received server hello message,general,,
91044,RADIUS,RADIUS DTLS: received server certificate,general,,
91045,RADIUS,RADIUS DTLS: received server certificate request,general,,
91046,RADIUS,RADIUS DTLS: received server done message,general,,
91047,RADIUS,RADIUS DTLS: sent client certificate,general,,
91048,RADIUS,RADIUS DTLS: sent client key exchange message,general,,
91049,RADIUS,RADIUS DTLS: read server session ticket,general,,
91050,RADIUS,RADIUS DTLS: TLS handshake failed because of an unknown CA in the certificates chain,alert,,alarm
91051,RADIUS,RADIUS DTLS: TLS handshake failed because of a bad certificate in the certificate chain,alert,,alarm
91052,RADIUS,RADIUS DTLS: TLS handshake failed because decryption error,alert,,alarm
91053,RADIUS,RADIUS DTLS: TLS handshake failed because certificate has expired,alert,,alarm
91054,RADIUS,RADIUS DTLS: TLS handshake failed because unknown certificate,alert,,alarm
91055,RADIUS,RADIUS packet is encrypted,alert,,alert
